Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Contact Rating @ Voltage","Actuator Type","Mounting Type","Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Termination Style","Outline","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Operating Force","Ingress Protection","Features","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3s.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/B3S-1000P,%20B3S-1100P,%20B3S-1000.jpg",SW844DKR-ND,B3S-1100P,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,66219,65000,"Digi-Reel","0","1","Digi-Reel®","B3S","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.60mm x 6.00mm","Non-Illuminated","-","-","160gf","IP67 - Dust Tight, Waterproof","Grounding Pin, Sealed - Fully","-25°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/C&K/RS-282G05A-SM_RT.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RS-282G05A3-SM%20RT.JPG,CKN10384TR-ND,RS-282G05A3-SM RT,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,9000,0,"0.38788","0","3000","Tape & Reel (TR)","RS, COMAX","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount","2.50mm","-","Top Actuated","Gull Wing","6.00mm x 3.60mm","Non-Illuminated","-","-","250gf","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/C&K/RS-282G05A-SM_RT.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RS-282G05A3-SM%20RT.JPG,CKN10384CT-ND,RS-282G05A3-SM RT,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,14904,0,"0.81000","0","1","Cut Tape (CT)","RS, COMAX","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount","2.50mm","-","Top Actuated","Gull Wing","6.00mm x 3.60mm","Non-Illuminated","-","-","250gf","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/C&K/RS-282G05A-SM_RT.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RS-282G05A3-SM%20RT.JPG,CKN10384DKR-ND,RS-282G05A3-SM RT,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,14904,0,"Digi-Reel","0","1","Digi-Reel®","RS, COMAX","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount","2.50mm","-","Top Actuated","Gull Wing","6.00mm x 3.60mm","Non-Illuminated","-","-","250gf","-","-","-"
http://spec_sheets.e-switch.com/specs/P410002.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014BF160QG.JPG,EG5042TR-ND,TL1014BF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,82500,0,"0.39005","0","3300","Tape & Reel (TR)","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","Board Guide","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P410002.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014BF160QG.JPG,EG5042CT-ND,TL1014BF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,85419,0,"0.81000","0","1","Cut Tape (CT)","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","Board Guide","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P410002.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014BF160QG.JPG,EG5042DKR-ND,TL1014BF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,85419,0,"Digi-Reel","0","1","Digi-Reel®","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","Board Guide","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P410000.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014AF160QG.JPG,EG5043TR-ND,TL1014AF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,6600,0,"0.39005","0","3300","Tape & Reel (TR)","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P410000.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014AF160QG.JPG,EG5043CT-ND,TL1014AF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,7738,0,"0.81000","0","1","Cut Tape (CT)","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P410000.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1014AF160QG.JPG,EG5043DKR-ND,TL1014AF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,7738,0,"Digi-Reel","0","1","Digi-Reel®","TL1014","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Rectangular Button","Surface Mount, Right Angle","-","-","Side Actuated","Gull Wing","6.40mm x 3.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
