Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Termination Style","Panel Cutout Dimensions","Bushing Thread","Ingress Protection","Features","Operating Temperature"
http://www.electro-nc.com/power/power06.pdf,//media.digikey.com/Photos/Electroswitch/6601-100.jpg,451-1183-ND,6601-100,Electroswitch,SWITCH TOGGLE SPST 10A 125V,1883,0,"6.18000","0","1","Bulk","6600","Active","Panel Mount","SPST","On-Off","10A (AC)","125V","-","Standard Round","17.45mm","Non-Illuminated","-","-","Wire Leads","-","15/32-32","-","-","-10°C ~ 65°C"
https://www.carlingtech.com/sites/default/files/documents/G-SeriesSW_Details_%26_COS.pdf,//media.digikey.com/Photos/Carling%20Technologies%20Photos/2GK51-73.jpg,432-1080-ND,2GK51-73,Carling Technologies,SWITCH TOGGLE DPST 15A 125V,650,0,"6.18000","0","1","Bulk","G","Active","Panel Mount","DPST","On-Off","15A (AC)","125V","-","Standard Round","17.45mm","Non-Illuminated","-","-","Quick Connect - 0.250"" (6.3mm)","Circular - 12.70mm Dia","15/32-32","-","-","0°C ~ 85°C"
http://www.nkkswitches.com/pdf/gtogglesilluminated.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G12JPCF,%20G13JPCF.jpg",360-1695-ND,G12JPCF,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,1237,936,"6.20000","0","1","Bulk","G","Active","Through Hole","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.80mm","Illuminated","LED, Red/Green","2.0, 2.1 VDC","PC Pin","-","Unthreaded","-","Process Sealed","-25°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=740,//media.digikey.com/Photos/APEM%20Comp%20Photos/5637AB.jpg,679-2484-ND,5637AB,APEM Inc.,SWITCH TOGGLE SPDT 6A 125V,240,400,"6.24000","0","1","Tray","5000","Active","Panel Mount","SPDT","Mom-Off-Mom","6A (AC), 4A (DC)","125V","30V","Standard Round","10.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.50mm Dia","1/4-40","-","Epoxy Sealed Terminals","-40°C ~ 85°C"
https://www.ckswitches.com/media/1387/ettoggle.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/ET03SD1CBE,%20ET01SD1CBE,%20ET08SD1CBE.jpg",CKN1071-ND,ET01SD1CBE,C&K,SWITCH TOGGLE SPDT 0.4VA 20V,329,0,"6.25000","0","1","Bulk","ET","Active","Through Hole","SPDT","On-On","0.4VA (AC/DC)","20V","20V","Standard Round","10.16mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","IP57 - Dust Protected, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/M2028SS1W03-RO.jpg,M2028SS1W03-ND,M2028SS1W03,NKK Switches,SWITCH TOGGLE DPDT 6A 125V,787,1107,"6.32000","0","1","Bulk","M","Active","Panel Mount","DPDT","Mom-Off-Mom","6A (AC), 3A (DC)","125V","30V","Standard Round","10.50mm","Non-Illuminated","-","-","PC Pin","Circular - 6.50mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MINI%20TOGGLE%20SWITCH%20TO53-1310.jpg,360-2073-ND,M2024SS1W01,NKK Switches,SWITCH TOGGLE SP3T 6A 125V,570,1102,"6.32000","0","1","Bulk","M","Active","Panel Mount","SP3T","On-On-On","6A (AC), 3A (DC)","125V","30V","Standard Round","10.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.50mm Dia","1/4-40","-","Jumper needed to achieve triple throw","-30°C ~ 85°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/TOGGLE%20SWITCH%20SPDT%20TO61-384%20BLUE.jpg,CKN1453-ND,7101SHZQE,C&K,SWITCH TOGGLE SPDT 5A 120V,1549,0,"6.38000","0","1","Bulk","7000","Active","Panel Mount","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","10.67mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825139&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/A211SYZQ04.jpg,450-1536-ND,3-1825139-9,TE Connectivity ALCOSWITCH Switches,SWITCH TOGGLE SP3T 5A 120V,478,0,"6.38000","0","1","Bulk","Gemini A","Active","Panel Mount","SP3T","On-On-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Jumper needed to achieve triple throw","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_M2013B2B1W03-RO.jpg,360-3306-ND,M2013B2B1W03,NKK Switches,SWITCH TOGGLE SPDT 6A 125V,407,637,"6.40000","0","1","Bulk","M","Active","Panel Mount","SPDT","On-Off-On","6A (AC), 3A (DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","PC Pin","Circular - 12.50mm Dia","M12 x 1","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/M2022B2B1W01,%20M2023B2B1W01.jpg",360-1829-ND,M2022B2B1W01,NKK Switches,SWITCH TOGGLE DPDT 6A 125V,115,468,"6.40000","0","1","Bulk","M","Active","Panel Mount","DPDT","On-On","6A (AC), 4A (DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 12.50mm Dia","M12 x 1","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.nkkswitches.com/pdf/stoggleslowcap.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/S300%20Series.jpg,360-1899-ND,S302T,NKK Switches,SWITCH TOGGLE SPDT 15A 125V,107,204,"6.40000","0","1","Bulk","S300","Active","Panel Mount","SPDT","On-On","15A (AC), 20A (DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","Screw Terminal","Circular - 12.50mm Dia","M12 x 1","-","-","-10°C ~ 70°C"
https://www.carlingtech.com/sites/default/files/110-SeriesTog_Details_&_COS.pdf,//media.digikey.com/photos/Carling%20Technologies%20Photos/110-S-73.jpg,432-1217-ND,110-S-73,Carling Technologies,SWITCH TOGGLE SPST 6A 125V,115,0,"6.46000","0","1","Bulk","110","Active","Panel Mount","SPST","On-Off","6A (AC/DC)","125V","125V","Standard Round","17.45mm","Non-Illuminated","-","-","Screw Terminal","Circular - 12.70mm Dia","15/32-32","-","-","-17.8°C ~ 65.6°C"
http://www.nkkswitches.com/pdf/gtogglesilluminated.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G12JPCF,%20G13JPCF.jpg",360-1698-ND,G13JPCF,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,273,162,"6.50000","0","1","Bulk","G","Active","Through Hole","SPDT","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.80mm","Illuminated","LED, Red/Green","2.0, 2.1 VDC","PC Pin","-","Unthreaded","-","Process Sealed","-25°C ~ 85°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/7101SYAV2BE.jpg,CKN1458-ND,7101SYAV2BE,C&K,SWITCH TOGGLE SPDT 0.4VA 20V,650,0,"6.51000","0","1","Tray","7000","Active","Panel Mount, Right Angle, Vertical","SPDT","On-On","0.4VA (AC/DC)","20V","20V","Standard Round","10.67mm","Non-Illuminated","-","-","PC Pin","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_M2024SS1W03_RO.jpg,360-2074-ND,M2024SS1W03,NKK Switches,SWITCH TOGGLE SP3T 6A 125V,676,283,"6.52000","0","1","Bulk","M","Active","Panel Mount","SP3T","On-On-On","6A (AC), 3A (DC)","125V","30V","Standard Round","10.50mm","Non-Illuminated","-","-","PC Pin","Circular - 6.50mm Dia","1/4-40","-","Jumper needed to achieve triple throw","-30°C ~ 85°C"
https://www.ckswitches.com/media/1391/ttoggle.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/T103SHZQE,%20T101SHZQE,%20T105SHZQE,%20T107SHZQE.jpg",CKN1066-ND,T101SHZQE,C&K,SWITCH TOGGLE SPDT 3A 120V,269,0,"6.56000","0","1","Bulk","T","Active","Panel Mount","SPDT","On-On","3A (AC/DC)","120V","28V","Standard Round","9.40mm","Non-Illuminated","-","-","Solder Lug","Circular - 4.95mm Dia","10-48","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/M2022LL1W01,%20M2023LL1W01.jpg",360-1834-ND,M2022LL1W01,NKK Switches,SWITCH TOGGLE DPDT 6A 125V,240,1224,"6.56000","0","1","Bulk","M","Active","Panel Mount","DPDT","On-On","6A (AC), 4A (DC)","125V","30V","Locking Lever","16.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.50mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/7101MD9V3QE,%207103MD9V3QE.jpg",CKN1175-ND,7101MD9V3QE,C&K,SWITCH TOGGLE SPDT 5A 120V,1427,0,"6.58000","0","1","Tray","7000","Active","Through Hole","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","6.86mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_M2022B2B1W03-RO.jpg,M2022B2B1W03-ND,M2022B2B1W03,NKK Switches,SWITCH TOGGLE DPDT 6A 125V,2113,1879,"6.60000","0","1","Bulk","M","Active","Panel Mount","DPDT","On-On","6A (AC), 4A (DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","PC Pin","Circular - 12.50mm Dia","M12 x 1","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1387/ettoggle.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/ET01MD1V3QE.JPG,CKN11289-ND,ET01MD1V3QE,C&K,SWITCH TOGGLE SPDT 3A 120V,206,0,"6.60000","0","1","Tray","ET","Active","Through Hole","SPDT","On-On","3A (AC/DC)","120V","28V","Standard Round","6.10mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","IP57 - Dust Protected, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=755,//media.digikey.com/photos/APEM%20Comp%20Photos/631NH~2.jpg,679-1246-ND,631NH/2,APEM Inc.,SWITCH TOGGLE SPST 15A 125V,172,2325,"6.60000","0","1","Bulk","600NH","Active","Panel Mount","SPST","On-Off","15A (AC)","125V","-","Flatted","13.50mm","Non-Illuminated","-","-","Quick Connect - 0.250"" (6.3mm)","Circular - 12.20mm Dia","M12 x 0.75","-","-","-20°C ~ 55°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/RT%20ANGLE%20TOGGLE%20SWITCH%20SPDT%20TO61-1383.jpg,CKN1046-ND,7101MD9AGE,C&K,SWITCH TOGGLE SPDT 5A 120V,1045,0,"6.70000","0","1","Tray","7000","Active","Through Hole, Right Angle","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","6.86mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1391/ttoggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/t101mhcge.JPG,CKN9900-ND,T101MHCGE,C&K,SWITCH TOGGLE SPDT 3A 120V,2454,0,"6.71000","0","1","Bulk","T","Active","Panel Mount","SPDT","On-On","3A (AC/DC)","120V","28V","Standard Round","5.33mm","Non-Illuminated","-","-","PC Pin","Circular - 4.95mm Dia","10-48","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/RT%20ANGLE%20TOGGLE%20SWITCH%20SPDT%20TO61-1383.jpg,CKN1172-ND,7105MD9ABE,C&K,SWITCH TOGGLE SPDT 0.4VA 20V,395,0,"6.84000","0","1","Tray","7000","Active","Through Hole, Right Angle","SPDT","Mom-Off-Mom","0.4VA (AC/DC)","20V","20V","Standard Round","6.86mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/gtogglesilluminated.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G12JVCF,%20G13JVCF.jpg",360-1765-ND,G12JVCF,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,1639,1361,"6.86000","0","1","Bulk","G","Active","Through Hole, Right Angle, Vertical","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.80mm","Illuminated","LED, Red/Green","2.0, 2.1 VDC","PC Pin","-","Unthreaded","-","Process Sealed","-25°C ~ 85°C"
http://www.nkkswitches.com/pdf/gtogglesilluminated.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/G12JHCF.jpg,360-1761-ND,G12JHCF,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,208,201,"6.86000","0","1","Bulk","G","Active","Through Hole, Right Angle","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.80mm","Illuminated","LED, Red/Green","2.0, 2.1 VDC","PC Pin","-","Unthreaded","-","Process Sealed","-25°C ~ 85°C"
https://www.bulgin.com/products/pub/media/bulgin/data/A_Toggle%20Switch.pdf,//media.digikey.com/Photos/Arcolectric/C3950BA.JPG,1091-1029-ND,C3950BA,Bulgin,SWITCH TOGGLE DPST 20A 125V,138,0,"6.87000","0","1","Bulk","3900","Active","Panel Mount","DPST","On-Off","20A (AC), 14A (DC)","125V","36V","Standard Round","17.50mm","Non-Illuminated","-","-","Quick Connect - 0.250"" (6.3mm)","Circular - 12.70mm Dia","15/32-32","-","-","-"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_M2011B2B3W01.jpg,360-2824-ND,M2011B2B3W01,NKK Switches,SWITCH TOGGLE SPST 6A 125V,1088,450,"6.96000","0","1","Bulk","M","Active","Panel Mount","SPST","On-Off","6A (AC), 4A (DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 12.50mm Dia","M12 x 1","IP67 - Dust Tight, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/MtogglesBushing.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_M2011LL3W03.jpg,360-2825-ND,M2011LL3W03,NKK Switches,SWITCH TOGGLE SPST 6A 125V,271,176,"6.96000","0","1","Bulk","M","Active","Panel Mount","SPST","On-Off","6A (AC), 4A (DC)","125V","30V","Locking Lever","16.50mm","Non-Illuminated","-","-","PC Pin","Circular - 6.50mm Dia","1/4-40","IP67 - Dust Tight, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/7101MCWCQE.jpg,CKN10171-ND,7101MCWCQE,C&K,SWITCH TOGGLE SPDT 5A 120V,640,0,"6.97000","0","1","Tray","7000","Active","Panel Mount","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","5.08mm","Non-Illuminated","-","-","PC Pin","Circular - 6.35mm Dia","1/4-40","IP67 - Dust Tight, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1390/etoggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/E101MD1AV2BE.jpg,CKN1065-ND,E101MD1AV2BE,C&K,SWITCH TOGGLE SPDT 0.4VA 20V,131,0,"6.99000","0","1","Tray","E","Active","Through Hole, Right Angle, Vertical","SPDT","On-On","0.4VA (AC/DC)","20V","20V","Standard Round","7.62mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","IP57 - Dust Protected, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.nkk.com/documents/products/toggle/s/STogglesMedCap.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_S7A_RO.jpg,S7A-ND,S7A,NKK Switches,SWITCH TOGGLE DPDT 20A 125V,310,3583,"7.00000","0","1","Bulk","S","Active","Panel Mount","DPDT","On-Off-On","20A (AC/DC)","125V","30V","Standard Round","17.50mm","Non-Illuminated","-","-","Solder Lug","Circular - 12.50mm Dia","M12 x 1","-","-","-10°C ~ 70°C"
https://www.ckswitches.com/media/1394/7000toggle.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/TOGGLE%20SWITCH%20SPDT%20TO61-1384%20PINK.jpg,CKN1125-ND,7101K2ZQE,C&K,SWITCH TOGGLE SPDT 5A 120V,221,0,"7.00000","0","1","Bulk","7000","Active","Panel Mount","SPDT","On-On","5A (AC/DC)","120V","28V","Locking Lever","17.88mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
