Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Operating Temperature"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=858,//media.digikey.com/photos/APEM%20Comp%20Photos/25136nab.JPG,679-1886-ND,25136NAB,APEM Inc.,SWITCH SLIDE SPDT 4A 125V,2286,1500,"4.12000","0","1","Bulk","25000N","Active","SPDT","Not Specified","On-On","4A (AC), 1A (DC)","125V","30V","Flush","-","Silver (Ag)","-","Through Hole","PC Pin","Epoxy Sealed Terminals","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/8ss.pdf,//media.digikey.com/Photos/Copal%20Photos/8SS20x2-Z.jpg,563-1625-ND,8SS2012-Z,Nidec Copal Electronics,SWITCH SLIDE DPDT 6A 125V,244,0,"4.12000","0","1","Bulk","8SS","Active","DPDT","Non-Shorting (BBM)","On-On","6A (AC), 4A (DC)","125V","30V","Standard","5.00mm","-","Silver","Through Hole","PC Pin","-","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_AS13AW.jpg,360-3409-ND,AS13AW,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,3413,1749,"4.13000","0","1","Tube","AS","Active","SPDT","Non-Shorting (BBM)","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole","Wire Wrap","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825265&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/MSS4200R04.jpg,450-1594-ND,1825265-1,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE 4PDT 300MA 125V,1260,0,"4.14000","0","1","Bulk","MSS","Active","4PDT","Shorting (MBB)","On-On","300mA (AC)","125V","-","Standard","7.00mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals","-20°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/8ss.pdf,//media.digikey.com/Photos/Copal%20Photos/8SS10x2-Z.jpg,563-1623-ND,8SS1022-Z,Nidec Copal Electronics,SWITCH SLIDE SPDT 6A 125V,454,0,"4.17000","0","1","Bulk","8SS","Active","SPDT","Non-Shorting (BBM)","On-Off-On","6A (AC), 4A (DC)","125V","30V","Standard","5.00mm","-","Silver","Through Hole","PC Pin","-","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/AS12BH.jpg,360-2611-ND,AS12BH,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,106,1729,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Flush","Flush","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1433/s.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/S602031MS02Q.JPG,CKN10660-ND,S602031MS02Q,C&K,SWITCH SLIDE DPDT 12A 125V,755,0,"4.21000","0","1","Bulk","S","Active","DPDT","Not Specified","On-On","12A (AC), 1A (DC)","125V","125V","Standard","8.51mm","Copper","Silver","Through Hole","PC Pin","-","-30°C ~ 65°C"
http://spec_sheets.e-switch.com/specs/T521003.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SDP1S1M2REA.jpg,EG2474-ND,500SDP1S1M2REA,E-Switch,SWITCH SLIDE DPDT 0.4VA 20V,455,0,"4.24000","0","1","Bulk","500","Active","DPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","5.08mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.nkkswitches.com/pdf/MSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MS12ASG13.JPG,360-2388-ND,MS12ASG13,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,547,1073,"4.32000","0","1","Bulk","MS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","5.10mm","Copper","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1418/gs.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/GS02MSAKE(T&R).jpg,CKN9106TR-ND,GS02MSABE,C&K,SWITCH SLIDE SPST 0.4VA 20V,3000,0,"4.34228","0","600","Tape & Reel (TR)","GS","Active","SPST","Not Specified","On-Off","0.4VA (AC/DC)","20V","20V","Standard","1.27mm","Copper","Gold","Surface Mount, Right Angle","Gull Wing","Epoxy Sealed Terminals","-40°C ~ 85°C"
