Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Display Mode","LED Color","Viewing Area","Face Size","Pixel Format","Circuit","Switch Function","Contact Rating @ Voltage","Supply Voltage","Mounting Type","Termination Style","Operating Temperature"
http://www.nkkswitches.com/pdf/IS15BSAFP4CF_DataSheet.pdf,-,IS15BSAFP4CF-ND,IS15BSAFP4CF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"30.26000","0","10","Bulk","SmartSwitch®","Active","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green","14.5mm L x 11.8mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","-15°C ~ 50°C"
-,-,IS15DBFP4RGB-09YN-ND,IS15DBFP4RGB-09YN,NKK Switches,IS LCD 64X32 RGB SWITCH WITH TAC,0,0,"55.75000","0","1","Bulk","SmartSwitch®","Active","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","64 x 32","SPST-NO","Off-Mom","0.1A @ 12VDC","4.9 ~ 5.1VDC","Through Hole","PC Pin","-15°C ~ 50°C"
-,-,IS15DSBFP4RGB-3D-ND,IS15DSBFP4RGB-3D,NKK Switches,IS LCD 64X32 RGB COMPACT 3D GLAS,0,3232,"55.75000","0","1","Bulk","SmartSwitch®","Active","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","64 x 32","SPST-NO","Off-Mom","0.1A @ 12VDC","4.9 ~ 5.1VDC","Through Hole","PC Pin","-15°C ~ 50°C"
-,-,IS15BSBFP4EF-ND,IS15BSBFP4EF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"64.72000","0","1","Bulk","SmartSwitch®","Active","Pushbutton, LCD","Black and White, FSTN Positive","Yellow - Green","14.5mm L x 11.8mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","-15°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15SBCP4CF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15SBCP4CF.jpg,360-2329-ND,IS15SBCP4CF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Red - Green, Super Bright","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABCP4CF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15ABCP4CF.jpg,360-2330-ND,IS15ABCP4CF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Red - Green, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15SBFP4RGB.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20COMPACT.jpg,360-2331-ND,IS15SBFP4RGB,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABFP4RGB.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15ABFP4RGB.jpg,360-2332-ND,IS15ABFP4RGB,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15AACP4CF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15ABCP4CF.jpg,360-2547-ND,IS15AACP4CF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Red - Green","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABCP4E.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20STANDARD.jpg,IS15ABCP4E-ND,IS15ABCP4E,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Yellow, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABCP4EF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15ABCP4EF.jpg,IS15ABCP4EF-ND,IS15ABCP4EF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Yellow - Green, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABDP4E.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20STANDARD.jpg,IS15ABDP4E-ND,IS15ABDP4E,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Blue, STN Negative","Yellow, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABDP4EG.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20STANDARD.jpg,IS15ABDP4EG-ND,IS15ABDP4EG,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Blue, STN Negative","Yellow - Blue, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABDP4B.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20STANDARD.jpg,IS15ABDP4B-ND,IS15ABDP4B,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Blue, STN Negative","White, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15ABFP4B.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20STANDARD.jpg,IS15ABFP4B-ND,IS15ABFP4B,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","White, Super Bright","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15SACP4CF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15SBCP4CF.jpg,IS15SACP4CF-ND,IS15SACP4CF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Red - Green","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15SBCP4EF.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15SBCP4CF.jpg,IS15SBCP4EF-ND,IS15SBCP4EF,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Yellow, STN Positive","Yellow - Green, Super Bright","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/IS15SBFP4B.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS%20COMPACT.jpg,IS15SBFP4B-ND,IS15SBFP4B,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","White, Super Bright","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","36 x 24","SPST-NO","Off-Mom","0.1A @ 12VDC","3.0 ~ 5.5VDC","Through Hole","PC Pin","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/LCD-64x32-smartswitch.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15DBFP4RGB.jpg,360-2343-ND,IS15DBFP4RGB,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","15.0mm L x 10.8mm W","23.13mm L x 20.59mm W","64 x 32","SPST-NO","Off-Mom","0.1A @ 12VDC","4.9 ~ 5.1VDC","Through Hole","PC Pin","-15°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/LCD-64x32-smartswitch.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_IS15DSBFP4RGB.jpg,360-2345-ND,IS15DSBFP4RGB,NKK Switches,SW PROG DISPLAY SPST-NO 0.1A 12V,0,0,"Obsolete","0","1","Bulk","SmartSwitch®","Obsolete","Pushbutton, LCD","Black and White, FSTN Positive","Red - Green - Blue","13.0mm L x 10.7mm W","19.0mm L x 18.0mm W","64 x 32","SPST-NO","Off-Mom","0.1A @ 12VDC","4.9 ~ 5.1VDC","Through Hole","PC Pin","-15°C ~ 50°C"
