Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Mounting Type","Termination Style","Ingress Protection","Features","Operating Force","Release Force","Pretravel","Differential Travel","Overtravel","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxR.jpg,SW1544CT-ND,D3SK-B1R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NC 1MA 5V,6523,0,"1.67000","0","1","Cut Tape (CT)","D3SK","Active","SPST-NC","On-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Board Guide, Right Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxR.jpg,SW1544DKR-ND,D3SK-B1R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NC 1MA 5V,6523,0,"Digi-Reel","0","1","Digi-Reel®","D3SK","Active","SPST-NC","On-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Board Guide, Right Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1537TR-ND,D3SK-A0L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2000,0,"0.88908","0","1000","Tape & Reel (TR)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1537CT-ND,D3SK-A0L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2459,0,"1.67000","0","1","Cut Tape (CT)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1537DKR-ND,D3SK-A0L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2459,0,"Digi-Reel","0","1","Digi-Reel®","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxR.jpg,SW1538TR-ND,D3SK-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2000,0,"0.88908","0","1000","Tape & Reel (TR)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Right Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxR.jpg,SW1538CT-ND,D3SK-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,3032,0,"1.67000","0","1","Cut Tape (CT)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Right Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxR.jpg,SW1538DKR-ND,D3SK-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,3032,0,"Digi-Reel","0","1","Digi-Reel®","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Right Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1539TR-ND,D3SK-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2000,0,"0.88908","0","1000","Tape & Reel (TR)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Board Guide, Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1539CT-ND,D3SK-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2840,0,"1.67000","0","1","Cut Tape (CT)","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Board Guide, Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
