Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Number of Positions","Current Rating (Amps)","Voltage Rating","Actuator Type","Actuator Level","Contact Material","Contact Finish","Height Above Board","Mounting Type","Termination Style","Pitch","Washable","Features","Operating Temperature"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-2LPST,%20219-2MST.jpg",CT2192LPST-ND,219-2LPST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,5295,0,"0.60000","0","1","Tube","219","Active","SPST","2","100mA","20VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.160"" (4.06mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TA.jpg,563-1003-2-ND,CHS-01TA,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,111000,0,"0.61850","0","1000","Tape & Reel (TR)","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","J Lead","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TA.jpg,563-1003-1-ND,CHS-01TA,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,111168,0,"1.03000","0","1","Cut Tape (CT)","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","J Lead","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TA.jpg,563-1003-6-ND,CHS-01TA,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,111168,0,"Digi-Reel","0","1","Digi-Reel®","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","J Lead","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TB.jpg,563-1004-2-ND,CHS-01TB,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,78000,0,"0.61850","0","1000","Tape & Reel (TR)","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TB.jpg,563-1004-1-ND,CHS-01TB,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,78899,0,"1.03000","0","1","Cut Tape (CT)","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/chs.pdf,//media.digikey.com/photos/Copal%20Photos/CHS-01TB.jpg,563-1004-6-ND,CHS-01TB,Nidec Copal Electronics,SWITCH SLIDE DIP SPST 100MA 6V,78899,0,"Digi-Reel","0","1","Digi-Reel®","CHS","Active","SPST","1","100mA","6VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.098"" (2.50mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Tape Seal","-40°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-3LPST,%20219-3MST.jpg",CT2193MST-ND,219-3MST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,9740,0,"0.68000","0","1","Tube","219","Active","SPST","3","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-2LPST.jpg,CT3108TR-ND,218-2LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,0,0,"0.72765","0","2000","Tape & Reel (TR)","218","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-2LPST.jpg,CT3108CT-ND,218-2LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,372,0,"1.21000","0","1","Cut Tape (CT)","218","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-2LPST.jpg,CT3108DKR-ND,218-2LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,372,0,"Digi-Reel","0","1","Digi-Reel®","218","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,//media.digikey.com/Photos/CTS%20Photos/219-4LPST.JPG,CT2194LPST-ND,219-4LPST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,16432,0,"0.75000","0","1","Tube","219","Active","SPST","4","100mA","20VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.160"" (4.06mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-4LPST,%20219-4MST.jpg",CT2194MST-ND,219-4MST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,9712,0,"0.75000","0","1","Tube","219","Active","SPST","4","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,//media.digikey.com/Photos/CTS%20Photos/MFG_219-8LPSTRF.jpg,CT3120TR-ND,219-8LPSTRF,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,14000,0,"0.75889","0","1000","Tape & Reel (TR)","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.160"" (4.06mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
