Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6b.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/G6B-1177P-ND-USDC24.JPG,Z3298-ND,G6B-1177P-ND-USDC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 8A 24V,1072,0,"20.02000","0","1","Bulk","G6B","Active","Through Hole","24VDC","SPST-NO (1 Form A)","8A","380VAC, 125VDC - Max","8.3mA","Non Latching","-","PC Pin","Sealed - Flux Protection","-","16.8 VDC","2.4 VDC","10ms","10ms","-25°C ~ 70°C","Silver Alloy, Cadmium Free","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_T92&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/T92P7A52-120.jpg,PB1009-ND,T92P7D52-12,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPST 30A 12V,1252,0,"21.50000","0","1","Bulk","T92","Active","Chassis Mount","12VDC","DPST-NO (2 Form A)","30A","277VAC - Nom","140mA","Non Latching","-","Screw Terminal","-","Class F","9 VDC","1.2 VDC","15ms","15ms","-55°C ~ 85°C","Silver Cadmium Oxide (AgCdO)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_sp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SP-PC.JPG,255-3454-ND,SP2-P-DC24V,Panasonic Electric Works,RELAY GEN PURPOSE DPDT 15A 24V,853,0,"22.74000","0","1","Bulk","SP","Active","Through Hole","24VDC","DPDT (2 Form C)","15A","250VAC, 30VDC - Max","12.5mA","Non Latching","-","PC Pin","-","-","16.8 VDC","2.4 VDC","30ms","20ms","-50°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_sp.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SP2-DC%20SERIES.jpg,255-2837-ND,SP2-DC24V,Panasonic Electric Works,RELAY GEN PURPOSE DPDT 15A 24V,1445,0,"23.74000","0","1","Tube","SP","Active","Socketable","24VDC","DPDT (2 Form C)","15A","250VAC, 30VDC - Max","12.5mA","Non Latching","-","Plug In, Quick Connect - 0.187"" (4.7mm)","-","-","16.8 VDC","2.4 VDC","30ms","20ms","-50°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966171,//media.digikey.com/Photos/Phoenix%20Photos/2966171.JPG,277-2365-ND,2966171,Phoenix Contact,RELAY GEN PURPOSE SPDT 6A 24V,837,16300,"25.23000","0","1","Bulk","PLC-RSC","Active","DIN Rail","24VDC","SPDT (1 Form C)","6A","250VAC, 250VDC - Max","9.0mA","Non Latching","Lighted Indicator, Socket Included","Screw Terminal","-","-","-","-","5ms","8ms","-25°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2967060,//media.digikey.com/Photos/Phoenix%20Photos/2967060.JPG,277-2372-ND,2967060,Phoenix Contact,RELAY GEN PURPOSE DPDT 6A 24V,157,3110,"30.50000","0","1","Bulk","PLC-RSC","Active","DIN Rail","24VDC","DPDT (2 Form C)","6A","250VAC, 250VDC - Max","18.0mA","Non Latching","Lighted Indicator, Socket Included","Screw Terminal","-","-","-","-","8ms","10ms","-40°C ~ 60°C","Silver Nickel (AgNi)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_sp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SP4-P-DC12V.JPG,255-3456-ND,SP4-P-DC12V,Panasonic Electric Works,RELAY GEN PURPOSE 4PDT 10A 12V,573,10,"31.58000","0","1","Tube","SP","Active","Through Hole","12VDC","4PDT (4 Form C)","10A","250VAC, 30VDC - Max","25.0mA","Non Latching","-","PC Pin","-","-","8.4 VDC","1.2 VDC","30ms","20ms","-50°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_sp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SP4.JPG,255-3457-ND,SP4-P-DC24V,Panasonic Electric Works,RELAY GEN PURPOSE 4PDT 10A 24V,122,0,"31.58000","0","1","Box","SP","Active","Through Hole","24VDC","4PDT (4 Form C)","10A","250VAC, 30VDC - Max","12.5mA","Non Latching","-","PC Pin","-","-","16.8 VDC","2.4 VDC","30ms","20ms","-50°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900290,//media.digikey.com/Photos/Phoenix%20Photos/2900290.JPG,277-11063-ND,2900290,Phoenix Contact,RELAY GEN PURPOSE SPDT 10A 12V,119,0,"32.64000","0","1","Bulk","PLC-RPT","Active","DIN Rail","12VDC","SPDT (1 Form C)","10A","250VAC, 250VDC - Max","33.0mA","Non Latching","Lighted Indicator, Socket Included","Spring Terminal","-","-","-","-","8ms","10ms","-40°C ~ 60°C","Silver Nickel (AgNi)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_hepv.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_HE-PV.jpg,255-2777-ND,HE1AN-P-DC12V-Y5,Panasonic Electric Works,RELAY GEN PURPOSE SPST 48A 12V,1671,0,"33.04000","0","1","Bulk","HE-PV","Active","Through Hole","12VDC","SPST-NO (1 Form A)","48A","250VAC - Max","160mA","Non Latching","-","PC Pin","-","-","8.4 VDC","1.2 VDC","30ms","10ms","-50°C ~ 55°C","Silver Nickel (AgNi)","General Purpose"
