Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Operating Temperature","Must Operate Voltage","Must Release Voltage"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_P30P40&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/7-1393132-2.JPG,PB1336-ND,P40P42A12P1-240,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR 3PST 40A 240V,0,0,"168.99000","0","1","Bulk","P40","Active","Chassis Mount","240VAC","3PST-NO (DM) (3 Form X)","40A","600VAC - Max","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-55°C ~ 65°C","177 VAC","-"
-,//media.digikey.com/Photos/TE%20Connectivity/9-1618380-3.jpg,A107261-ND,CAP200HAANA,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 12V,1,0,"1065.54000","0","1","Bulk","CAP200, KILOVAC","Active","Chassis Mount","12VDC","SPST-NO (1 Form A)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","9 VDC","6 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_P25&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/P25P42D22P1-24.jpg,PB1330-ND,P25P42A22P1-120,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR 3PST 25A 120V,1,0,"132.16000","0","1","Bulk","P25","Active","Chassis Mount","120VAC","3PST-NO (DM) (3 Form X)","25A","600VAC - Max","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-55°C ~ 65°C","102 VAC","-"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_GDP_1SS.jpg,1864-1828-ND,GDP251SS220V,Carlo Gavazzi Inc.,1P+S DPC SCRW TERM 25A 220VAC,20,0,"18.81000","0","1","Bulk","GDP","Active","Chassis Mount","220VAC","SPST-NO (1 Form A)","25A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","187 VAC","44 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_GDP_1SS.jpg,1864-1827-ND,GDP251SS120V,Carlo Gavazzi Inc.,1P+S DPC SCRW TERM 25A 120VAC,15,0,"18.81000","0","1","Bulk","GDP","Active","Chassis Mount","120VAC","SPST-NO (1 Form A)","25A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","102 VAC","24 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_GDP_1SS.jpg,1864-1829-ND,GDP251SS24V,Carlo Gavazzi Inc.,1P+S DPC SCRW TERM 25A 24VAC,5,0,"18.81000","0","1","Bulk","GDP","Active","Chassis Mount","24VAC","SPST-NO (1 Form A)","25A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","20.4 VAC","4.8 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_GDP_1SS.jpg,1864-1835-ND,GDP321SS120V,Carlo Gavazzi Inc.,1P+S DPC SCRW TERM 32A 120VAC,17,0,"18.95000","0","1","Bulk","GDP","Active","Chassis Mount","120VAC","SPST-NO (1 Form A)","32A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","102 VAC","24 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/GDP321SS24V.JPG,1864-1836-ND,GDP321SS24V,Carlo Gavazzi Inc.,1P+S DPC SCRW TERM 32A 24VAC,7,0,"18.95000","0","1","Bulk","GDP","Active","Chassis Mount","24VAC","SPST-NO (1 Form A)","32A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","20.4 VAC","4.8 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/GDP401SL120V.jpg,1864-1843-ND,GDP401SL120V,Carlo Gavazzi Inc.,1P+S DPC LUG TERM 40A 120VAC,8,0,"21.67000","0","1","Bulk","GDP","Active","Chassis Mount","120VAC","SPST-NO (1 Form A)","40A","277VAC - Nom","-","Box Lug, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","102 VAC","24 VAC"
http://www.altechcorp.com/PDFS/Contactors_MC.pdf,//media.digikey.com/Photos/Altech-Corporation/GMC-12M-10-AC120V.jpg,1920-1928-ND,GMC-6M-10-AC120V,Altech Corporation,MINI CONTACTOR6A380440V 3P1NO120,18,0,"22.07000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-"
