Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coil Type","Coil Current","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Features","Mounting Type","Termination Style","Operating Temperature"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP31012.JPG,255-3108-ND,AEP31012,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 10A 12V,43,0,"87.61000","0","1","Bulk","AEP","Active","Non Latching","103mA","12VDC","SPST-NO (1 Form A)","10A","400VDC - Nom","9 VDC","0.96 VDC","50ms","30ms","Sealed - Hermetically","Through Hole","PC Pin","-40°C ~ 80°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23130-C2421-A431&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/7-1414778-3.JPG,PB1328-ND,7-1414778-3,TE Connectivity Potter & Brumfield Relays,RELAY AUTO SPST-NO 260A 24V,97,0,"102.59000","0","1","Bulk","V23130","Active","Latching, Dual Coil","-","24VDC","SPST-NO (DM) (1 Form X)","260A","24VDC - Nom","12 VDC","-","5ms","5ms","IP54 - Dust Protected, Water Resistant","Chassis Mount","Connector","-40°C ~ 120°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/JJ-M_Series_2W.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/JJM1-12V.jpg,255-3693-ND,JJM2W-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 12A 12V,84,0,"3.79000","0","1","Bulk","JJM","Active","Non Latching","83.3mA","12VDC","SPST-NO (DM) (1 Form U)","12A","14VDC - Nom","6.9 VDC","1 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ2212.JPG,255-4128-5-ND,ACJ2212,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,49,0,"4.18000","0","1","Tube","ACJ","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
http://www.panasonic-electric-works.com/eu-asset/en/downloads/ds_61204_en_cm_pd2014.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CM1A-12V.JPG,255-3415-ND,CM1AF-R-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 35A 12V,26,0,"4.54000","0","1","Tube","CM","Active","Non Latching","125mA","12VDC","SPST-NO (1 Form A)","35A","14VDC - Nom","7 VDC","1.2 VDC","10ms","10ms","Resistor, Sealed - Flux Protection","Socketable","Plug In","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/JS-M%20Relays.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/JSM1-%20SERIES.jpg,255-3692-ND,JSM1-9V-5,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 15A 9V,75,0,"4.80000","0","1","Bulk","JS-M","Active","Non Latching","71.4mA","9VDC","SPDT (1 Form C)","15A","16VDC - Max","4.7 VDC","0.7 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ2112P.JPG,255-5161-ND,ACJ2112P,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,72,0,"4.99000","0","1","Tube","ACJ","Active","Non Latching","66.7mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","6.5 VDC","0.8 VDC","10ms","10ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1A-P-12V,%20CB1A-P-24V.jpg",255-2175-ND,CB1AF-P-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 40A 12V,100,0,"5.14000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",255-1826-ND,CB1A-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 40A 12V,98,0,"5.23000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1A-P-12V,%20CB1A-P-24V.jpg",255-2176-ND,CB1AF-P-24V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 20A 24V,75,0,"5.35000","0","1","Bulk","CB","Active","Non Latching","75.0mA","24VDC","SPST-NO (1 Form A)","20A","28VDC - Nom","14 VDC","2.4 VDC","15ms","15ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
