Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Mounting Type","Termination Style","For Use With/Related Products"
http://sensing.honeywell.com/honeywell-sensing-szr-my-series-product-sheet-009550-4-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/SZX-SMF-14N.jpg,480-5939-ND,SZX-SMF-14N,Honeywell Sensing and Productivity Solutions,RELAY SOCKET 14 POS DIN RAIL,5,0,"11.14000","0","1","SZR-MY","Active","Socket","14","DIN Rail","Screw Terminal","SZR-MY Series"
http://www.ia.omron.com/data_pdf/cat/mk-s_ds_e_6_3_csm1382.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/PF083A.JPG,Z5336-ND,PF083A,Omron Automation and Safety,RELAY SOCKET 8 POSITION DIN RAIL,20,74,"13.29000","0","1","MK","Active","Socket","8","DIN Rail","Screw Terminal","MK Series, DPDT"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900443,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900443.jpg,277-14781-ND,2900443,Phoenix Contact,RELAY SOCKET DIN RAIL,20,0,"14.71000","0","1","PLC-BPIT","Active","Socket","-","DIN Rail","Spring Terminal","Miniature Relays"
https://industrial.omron.us/en/media/LY_Electromechanical_Relay_Datasheet_tcm849-96656.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/PTF14A.JPG,Z5341-ND,PTF14A,Omron Automation and Safety,RELAY SOCKET 14 POS DIN RAIL,6,0,"15.87000","0","1","LY","Active","Socket","14","DIN Rail","Screw Terminal","LY Series, 4PDT"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900283,//media.digikey.com/Photos/Phoenix%20Photos/2900283.JPG,277-11888-ND,2900283,Phoenix Contact,TERM BLOCK,23,480,"16.32000","0","1","PLC-BPT","Active","Socket","-","DIN Rail","Spring Terminal","Miniature Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966058,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2966058.jpg,277-4910-ND,2966058,Phoenix Contact,RELAY SOCKET DIN RAIL,5,240,"16.85000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
http://www.omron.com.au/data_pdf/cat/h3ja_l110-e1-01a.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PF085-A.jpg,Z2368-ND,PF085A,Omron Automation and Safety,RELAY SOCKET 8 POSITION DIN RAIL,7,62,"17.14000","0","1","H3JA","Active","Socket","8","DIN Rail","Screw Terminal","H3JA Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900449,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900449.jpg,277-14782-ND,2900449,Phoenix Contact,TERM BLOCK,25,0,"17.39000","0","1","PLC-BPT","Active","Socket","-","DIN Rail","Spring Terminal","Miniature Relays"
http://www.omron.com.au/data_pdf/cat/e5c2_ds_e_7_2_csm214.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/P2CF-08-E.JPG,Z2836-ND,P2CF-08-E,Omron Automation and Safety,RELAY SOCKET 8 POSITION DIN RAIL,12,111,"17.46000","0","1","-","Active","Socket","8","DIN Rail","Screw Terminal","Multiple Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966045,//media.digikey.com/Photos/Phoenix%20Photos/2966045.jpg,277-7314-ND,2966045,Phoenix Contact,RELAY SOCKET DIN RAIL,0,0,"20.06000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
