Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Mounting Type","Termination Style","For Use With/Related Products"
http://media.crouzet.com/datasheets/english/timers-panel-mount-48-x-48-digital-lcd-timer-814-Part%20number-88857003.pdf,//media.digikey.com/Photos/Crouzet%20Photos/25622076.JPG,966-1106-ND,25622076,Crouzet,RELAY SOCKET 11 POS FREE HANGING,18,0,"7.20000","0","1","-","Active","Socket","11","Free Hanging","Solder Lug","Multiple Series"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS4-PS.jpg,255-5723-ND,SFS6-PS,Panasonic Electric Works,RELAY SOCKET 14 POS THROUGH HOLE,13,10,"7.37000","0","1","SFS","Active","Socket","14","Through Hole","PC Pin","SFS Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900936,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900936.jpg,277-17655-ND,2900936,Phoenix Contact,RELAY SOCKET 11 POS DIN RAIL,20,120,"7.38000","0","1","RIF","Active","Socket","11","DIN Rail","Screw Terminal","Relays, 11 Pin Octal"
https://www.gavazzionline.com/pdf/RRM-DS.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/ZRM4N.jpg,1864-2884-ND,ZRM4N,Carlo Gavazzi Inc.,RELAY SOCKET 14 POS DIN RAIL,15,0,"7.66000","0","1","RRM","Active","Socket","14","DIN Rail","Screw Terminal","RRM Relays"
https://www.gavazzionline.com/pdf/ZPY8A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/MFG_ZPY08A.jpg,1864-2877-ND,ZPY08A,Carlo Gavazzi Inc.,RELAY SOCKET 8 POS CHASSIS MOUNT,16,0,"8.59000","0","1","RPY","Active","Socket","8","Chassis Mount","Screw Terminal","RPY Relays"
https://www.gavazzionline.com/pdf/ZPY11A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/MFG_ZPY11A.jpg,1864-2878-ND,ZPY11A,Carlo Gavazzi Inc.,RELAY SOCKET 11 POS CHASSIS MT,10,0,"9.65000","0","1","RPY","Active","Socket","11","Chassis Mount","Screw Terminal","RPY Relays"
https://www.gavazzionline.com/pdf/ZPY14A.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/ZPY14A.JPG,1864-2879-ND,ZPY14A,Carlo Gavazzi Inc.,RELAY SOCKET 14 POS CHASSIS MT,8,0,"10.44000","0","1","RPY","Active","Socket","14","Chassis Mount","Screw Terminal","RPY Relays"
https://industrial.omron.us/en/media/MY_S__Datasheet_en_201603_J199-E1-03_tcm849-112850.pdf,//media.digikey.com/Photos/Omron%20Auto/PYF14-ESN-B.jpg,Z11282-ND,PYF14-ESN-B,Omron Automation and Safety,MY SOCKET/BOX TYPE,0,0,"10.77000","0","1","*","Active","-","-","-","-","-"
-,//media.digikey.com/photos/Omron%20Auto/PL20.JPG,Z9911-ND,PL20,Omron Automation and Safety,RELAY SOCKET 20 POS PANEL MOUNT,5,0,"11.32000","0","1","MK","Active","Socket","20","Panel Mount","Solder Lug","-"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_coversandmountingadapters_sockets.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/OT08PC.JPG,F10610-ND,OT08PC,Littelfuse Inc.,RELAY SOCKET 8 POSITION DIN RAIL,11,0,"12.42000","0","1","OT","Active","Socket","8","DIN Rail","Screw Terminal","Multiple Series"
http://info.littelfuse.com/hubfs/Electrical/Protection-Relays/landing-pages/ALT-datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/CT0T08-PC.jpg,F10509-ND,CT0T08-PC,Littelfuse Inc.,RELAY SOCKET 8 POSITION,9,0,"12.42000","0","1","-","Active","Socket","8","-","-","Multiple Series"
http://us.idec.com/Common/Download.aspx?d=42660,//media.digikey.com/Photos/IDEC/MFG_SH4B-05C.jpg,1885-1568-ND,SH4B-05C,IDEC,RELAY SOCKET 14 POS DIN RAIL,18,0,"12.74000","0","1","SH","Active","Socket","14","DIN Rail","Screw Terminal","RH Series"
-,//media.digikey.com/photos/Omron%20Elect%20Photos/PYF11A.jpg,Z2288-ND,PYF11A,Omron Automation and Safety,RELAY SOCKET 11 POS DIN RAIL,6,201,"12.92000","0","1","MY","Active","Socket","11","DIN Rail","Screw Terminal","MY3 Relays"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_coversandmountingadapters_sockets.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/P1011-6.JPG,F10621-ND,P1011-6,Littelfuse Inc.,RELAY SOCKET 8 POS CHASSIS MOUNT,2,0,"13.55000","0","1","P1011","Active","Socket","8","Chassis Mount","Screw Terminal","Multiple Series"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_coversandmountingadapters_sockets.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/NDS-11.JPG,F10603-ND,NDS-11,Littelfuse Inc.,RELAY SOCKET 11 POS DIN RAIL,4,0,"13.79000","0","1","NDS","Active","Socket","11","DIN Rail","Screw Terminal","Multiple Series"
https://www.gavazzionline.com/pdf/RSLM-eng.pdf,-,1864-2880-ND,ZRLS12GA,Carlo Gavazzi Inc.,RELAY SOCKET 5 POSITION DIN RAIL,10,0,"14.24000","0","1","RLS","Active","Socket","5","DIN Rail","Spring Terminal","RLS Relays"
https://www.gavazzionline.com/pdf/RSLM-eng.pdf,-,1864-2881-ND,ZRLS14GA,Carlo Gavazzi Inc.,RELAY SOCKET 5 POSITION DIN RAIL,10,0,"14.24000","0","1","RLS","Active","Socket","5","DIN Rail","Spring Terminal","RLS Relays"
https://www.gavazzionline.com/pdf/RSLM-eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/ZRLS15GA.jpg,1864-2882-ND,ZRLS15GA,Carlo Gavazzi Inc.,RELAY SOCKET 5 POSITION DIN RAIL,10,0,"14.24000","0","1","RLS","Active","Socket","5","DIN Rail","Spring Terminal","RLS Relays"
https://industrial.omron.us/en/media/PYF-PU_P2RF-PU_Datasheet_en_201604_J286I-E-01_refJ212_tcm849-112366.pdf,-,Z11279-ND,PYF-08-PU,Omron Automation and Safety,SOCKET FOR MY2 GEN PURP RELAY,23,88,"14.63000","0","1","MY","Active","Socket","8","DIN Rail","Spring Terminal","MY2 Relays"
https://industrial.omron.us/en/media/PYF-PU_P2RF-PU_Datasheet_en_201604_J286I-E-01_refJ212_tcm849-112366.pdf,//media.digikey.com/Photos/Omron%20Auto/PYF-08-PU-L.JPG,Z9923-ND,PYF-08-PU-L,Omron Automation and Safety,SOCKET FOR H3Y(N)-2-B TIMERS,3,0,"14.63000","0","1","MY","Active","Socket","8","DIN Rail","Spring Terminal","H3Y and H3YN Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900444,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900444.jpg,277-16794-ND,2900444,Phoenix Contact,PLC-BPT- 12DC/21,6,0,"15.78000","0","1","PLC-BPT","Active","Socket","-","DIN Rail","Spring Terminal","Miniature Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1047028,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1047028.jpg,277-18241-ND,1047028,Phoenix Contact,RELAY SOCKET DIN RAIL,20,20,"15.84000","0","1","RIF","Active","Socket","14","DIN Rail","Spring Terminal","Industrial Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1047031,-,277-18242-ND,1047031,Phoenix Contact,RELAY SOCKET DIN RAIL,20,30,"15.84000","0","1","RIF","Active","Socket","14","DIN Rail","Screw Terminal","Industrial Relays"
http://media.crouzet.com/datasheets/english/timers-panel-mount-48-x-48-digital-lcd-timer-812-Part%20number-88857409.pdf,//media.digikey.com/Photos/Crouzet%20Photos/SA11NN.jpg,966-1879-ND,79694002,Crouzet,RELAY SOCKET 11 POS CHASSIS MT,23,0,"16.22000","0","1","-","Active","Socket","11","Chassis Mount","Screw Terminal","Multiple Series"
http://www.altechcorp.com/PDFS/RELACAT.PDF,-,1920-1102-ND,56.5669.DR,Altech Corporation,RELAY SOCKET DIN RAIL,23,210,"16.25000","0","1","-","Active","Socket","-","DIN Rail","Screw Terminal","OA and OW Series"
-,//media.digikey.com/Photos/Omron%20Auto/P2RF05ESS.jpg,Z9891-ND,P2RF05ESS,Omron Automation and Safety,1 POLE CAGE CLAMP,10,0,"16.48000","0","1","*","Active","-","-","-","-","-"
http://us.idec.com/Common/Download.aspx?d=43147,//media.digikey.com/Photos/IDEC/SR6P-M11G.JPG,1885-1693-ND,SR6P-M11G,IDEC,RELAY SOCKET 11 POS CHASSIS MT,11,0,"19.78000","0","1","SR","Active","Socket","11","Chassis Mount","Screw Terminal","RR Series"
-,//media.digikey.com/photos/Omron%20Auto/P2RF08ESS.JPG,Z9892-ND,P2RF08ESS,Omron Automation and Safety,2 POLE CAGE CLAMP,10,0,"19.85000","0","1","*","Active","-","-","-","-","-"
https://www.gavazzionline.com/pdf/DatasheetZPD11.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/MFG_ZPD11.jpg,1864-2875-ND,ZPD11,Carlo Gavazzi Inc.,RELAY SOCKET 11 POS DIN RAIL,9,0,"21.17000","0","1","RCP","Active","Socket","11","DIN Rail","Screw Terminal","RCP Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PTacc&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1860100-1.JPG,PB2969-ND,1860100-1,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 8 POSITION DIN RAIL,15,0,"22.44000","0","1","PT, SCHRACK","Active","Socket","8","DIN Rail","Spring Terminal","PT, PTH and KHA Series"
"//media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/RSE116xyz,RSL116xyz_Dwg.pdf",-,APC2009-ND,RSE116685,Amphenol PCD,LOW PROFILE 2 POLE/10 AMP WC,5,0,"55.04000","0","1","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=154746&DocType=Customer+Drawing&DocLang=English,-,154746-1-ND,154746-1,TE Connectivity Potter & Brumfield Relays,RELAY BASE HSG NATURAL,0,0,"0.33515","0","18000","*","Active","-","-","-","-","-"
-,-,154746-2-ND,154746-2,TE Connectivity Potter & Brumfield Relays,RELAY BASE HOUSING BLACK,0,0,"0.38543","0","10000","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=342452&DocType=Customer+Drawing&DocLang=English,-,342452-2-ND,342452-2,TE Connectivity AMP Connectors,5 WAY RELAY BASE BLACK,0,0,"0.50795","0","2000","-","Active","Housing","5","Wiring Harness","-","-"
-,-,2-1904045-1-ND,2-1904045-1,TE Connectivity Potter & Brumfield Relays,V23333Z0001A007-EV-311,0,0,"0.57330","0","500","-","Active","Housing","5","Wiring Harness","Quick Connect Terminals (Not Provided)","-"
-,-,5-1904045-1-ND,5-1904045-1,TE Connectivity Potter & Brumfield Relays,V23333Z0001A007-EV-441,0,0,"0.57330","0","500","*","Active","-","-","-","-","-"
-,-,342452-5-ND,342452-5,TE Connectivity Potter & Brumfield Relays,5 WAY RELAY CONNECTOR YELLO,0,0,"0.59956","0","3000","-","Active","Housing","5","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=626040&DocType=Customer+Drawing&DocLang=English,-,626040-ND,626040,TE Connectivity Potter & Brumfield Relays,RELAY BASE MOLDING,0,0,"0.62266","0","6300","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=927144&DocType=Customer+Drawing&DocLang=English,-,927144-1-ND,927144-1,TE Connectivity Potter & Brumfield Relays,6 POS RELAY CONNECTOR HOUSING,0,0,"0.65891","0","4800","-","Active","Housing","6","Wiring Harness","Quick Connect Terminals (Not Provided)","-"
-,-,1904045-1-ND,1904045-1,TE Connectivity Potter & Brumfield Relays,V23333Z0001A007-EV-000,0,0,"0.67200","0","250","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282435&DocType=Customer+Drawing&DocLang=English,-,282435-8-ND,282435-8,TE Connectivity AMP Connectors,RELAY HSG W SEC LOCK ASSY 9 POS,0,0,"0.68137","0","5760","-","Active","Housing","9","Wiring Harness, Interlockable","Quick Connect Terminals (Not Provided)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282435&DocType=Customer+Drawing&DocLang=English,-,282435-5-ND,282435-5,TE Connectivity AMP Connectors,RELAY HSG W SEC LOCK ASSY 9 POS,0,0,"0.68424","0","5760","-","Active","Housing","9","Wiring Harness, Interlockable","Quick Connect Terminals (Not Provided)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23333-X0000-A001&DocType=DS&DocLang=English,-,2-1904045-6-ND,2-1904045-6,TE Connectivity Potter & Brumfield Relays,V23333Z0001B046-EV-311,0,0,"0.83865","0","400","*","Active","-","-","-","-","-"
-,-,4-1904045-6-ND,4-1904045-6,TE Connectivity Potter & Brumfield Relays,V23333Z0001B046-EV-441,0,0,"0.83865","0","400","*","Active","-","-","-","-","-"
-,-,3-1904045-3-ND,3-1904045-3,TE Connectivity Potter & Brumfield Relays,V23333Z0002A010-EV-311,0,0,"0.91728","0","500","*","Active","-","-","-","-","-"
-,-,5-1904045-3-ND,5-1904045-3,TE Connectivity Potter & Brumfield Relays,V23333Z0002A010-EV-441,0,0,"0.91728","0","500","*","Active","-","-","-","-","-"
-,-,27E936-ND,27E936,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 5 POS THROUGH HOLE,0,0,"0.97625","0","4000","-","Active","Socket","5","Through Hole","PC Pin","RKA/RKS Series"
-,-,1-1904045-3-ND,1-1904045-3,TE Connectivity Potter & Brumfield Relays,V23333Z0002A010-EV-100,0,0,"1.03194","0","500","*","Active","-","-","-","-","-"
-,-,4-1904045-1-ND,4-1904045-1,TE Connectivity Potter & Brumfield Relays,V23333Z0001A007-EV-896,0,0,"1.03220","0","250","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282435&DocType=Customer+Drawing&DocLang=English,-,282435-1-ND,282435-1,TE Connectivity Potter & Brumfield Relays,RELAY HSG W SEC LOCK ASSY 9 POS,0,0,"1.05595","0","576","*","Active","-","-","-","-","-"
-,-,344040-1-ND,344040-1,TE Connectivity Potter & Brumfield Relays,4 WAY RELAY CONNECTOR,0,0,"1.23035","0","1000","*","Active","-","-","-","-","-"
-,-,2-1904045-2-ND,2-1904045-2,TE Connectivity Potter & Brumfield Relays,V23333Z1001A008-EV-311,0,0,"1.39121","0","1000","*","Active","-","-","-","-","-"
-,-,4-1904045-5-ND,4-1904045-5,TE Connectivity Potter & Brumfield Relays,V23333Z1001B045-EV-03D,0,0,"1.55000","0","150","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23333-X0000-A001&DocType=DS&DocLang=English,-,2-1904045-5-ND,2-1904045-5,TE Connectivity Potter & Brumfield Relays,V23333Z1001B045-EV-311,0,0,"1.55000","0","150","*","Active","-","-","-","-","-"
-,-,27E150-ND,27E150,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET THROUGH HOLE,0,0,"1.60000","0","250","-","Active","Socket","-","Through Hole","PC Pin","-"
-,-,670-0016-ND,670-0016,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET,0,0,"1.70800","0","1500","-","Active","Socket","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,-,27E637-ND,27E637,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 16 POS THROUGH HOLE,0,0,"1.72500","0","600","R10","Active","Socket","16","Through Hole","PC Pin","R10 Series"
-,-,3-1904045-6-ND,3-1904045-6,TE Connectivity Potter & Brumfield Relays,V23333Z0001B046-EV-896,0,0,"1.72900","0","50","*","Active","-","-","-","-","-"
-,-,GD50-ND,GD50,Altech Corporation,RELAY SOCKET DR FORPCB RM84RM85R,0,90,"1.77800","0","10","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=185403&DocType=Customer+Drawing&DocLang=French,-,185403-3-ND,185403-3,TE Connectivity Potter & Brumfield Relays,MODULAR RELAY HOLDER,0,0,"1.87032","0","2720","*","Active","-","-","-","-","-"
-,-,GD35-ND,GD35,Altech Corporation,RELAY SOCKET DR FORPCB RM87; 12A,0,80,"1.91300","0","10","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/HC_Series_Accessories.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/HC1-SS-K.JPG,255-3718-ND,HC1-SS-K,Panasonic Electric Works,RELAY SOCKET 5 POS PANEL MOUNT,16,0,"2.01000","0","1","HC","Obsolete","Socket","5","Panel Mount","Solder Lug","HC1 Relays"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/HC_Series_Accessories.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/HC2-PS-K.jpg,255-1629-ND,HC2-PS-K,Panasonic Electric Works,RELAY SOCKET 8 POS THROUGH HOLE,6,0,"2.12000","0","1","HC","Obsolete","Socket","8","Through Hole","PC Pin","HC2 Relays"
http://www3.panasonic.biz/ac/e_download/option/option/catalog/mech_eng_hl_op.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/HL1-PS-K.JPG,255-3696-ND,HL1-PS-K,Panasonic Electric Works,RELAY SOCKET 5 POS THROUGH HOLE,3,0,"2.12000","0","1","HL","Obsolete","Socket","5","Through Hole","PC Pin","HL1 Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=964597&DocType=Customer+Drawing&DocLang=English,-,964597-1-ND,964597-1,TE Connectivity Potter & Brumfield Relays,HALTER F RELAIS,0,0,"2.16724","0","500","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=185403&DocType=Customer+Drawing&DocLang=French,-,185403-2-ND,185403-2,TE Connectivity Potter & Brumfield Relays,MODULAR RELAY HOLDER,0,0,"2.18578","0","15232","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/HC_Series_Accessories.pdf,//media.digikey.com/photos/Panasonic%20Photos/HC3-PS-K.JPG,255-2210-ND,HC3-PS-K,Panasonic Electric Works,RELAY SOCKET 11 POS THROUGH HOLE,5,0,"2.22000","0","1","HC","Obsolete","Socket","11","Through Hole","PC Pin","HC3 Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=380993&DocType=Customer+Drawing&DocLang=English,-,1-380993-0-ND,1-380993-0,TE Connectivity Potter & Brumfield Relays,RELAY HOUSING 11 POS PANEL MOUNT,0,0,"2.30932","0","750","KU","Active","Housing","11","Panel Mount","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,-,27E271-ND,27E271,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 22 POS THROUGH HOLE,0,0,"2.32500","0","600","R10","Active","Socket","22","Through Hole","PC Pin","R10 Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=964599&DocType=Customer+Drawing&DocLang=English,-,964599-1-ND,964599-1,TE Connectivity Potter & Brumfield Relays,HALTER F RELAIS,0,0,"2.37280","0","500","-","Active","Housing","10","Wiring Harness","Quick Connect Terminals (Not Provided)","Micro Relays"
-,-,GZS8-ND,GZS8,Altech Corporation,RELAY SOCKET DR SCREW TERM R15;,0,120,"2.37500","0","10","*","Active","-","-","-","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/s1dxop_e_cata.pdf,-,ADX18006-ND,ADX18006,Panasonic Industrial Automation Sales,SCKT LIME HLDNG CLIP S1DXM-A/M,0,0,"2.40000","0","1","*","Active","-","-","-","-","-"
-,-,4-1415035-1-ND,4-1415035-1,TE Connectivity Potter & Brumfield Relays,MT78N55,0,0,"2.47500","0","600","*","Active","-","-","-","-","-"
-,-,S258-2PC00-ND,S258-2PC00,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET,0,0,"2.50200","0","100","-","Active","Socket","-","-","-","-"
-,-,1904045-2-ND,1904045-2,TE Connectivity Potter & Brumfield Relays,V23333Z1001A008-EV-000,0,0,"2.54015","0","200","*","Active","-","-","-","-","-"
-,-,5-1904045-2-ND,5-1904045-2,TE Connectivity Potter & Brumfield Relays,V23333Z1001A008-EV-03D,0,0,"2.54015","0","200","*","Active","-","-","-","-","-"
-,-,4-1904045-3-ND,4-1904045-3,TE Connectivity Potter & Brumfield Relays,V23333Z0002A010-EV-896,0,0,"2.62000","0","1","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23333-X0000-A001&DocType=DS&DocLang=English,-,1904045-6-ND,1904045-6,TE Connectivity Potter & Brumfield Relays,V23333Z0001B046-EV-000,0,0,"2.65580","0","50","*","Active","-","-","-","-","-"
-,-,8690860000-ND,8690860000,Weidmüller,RELAY SOCKET 5 POS THROUGH HOLE,0,0,"2.70000","0","1","RCL","Active","Socket","5","Through Hole","PC Pin","RCL Relays"
-,-,11S-SOCKET-ND,11S-SOCKET,TE Connectivity AMP Connectors,RELAY SOCKET 11 POSITION,0,0,"2.79027","0","1500","11S, Buchanan","Active","Socket","11","-","-","Multiple Series"
-,-,P6B-06P-ND,P6B-06P,Omron Electronics Inc-EMC Div,RELAY SOCKET 6 POS THROUGH HOLE,0,0,"3.08850","0","20","G6B","Active","Socket","6","Through Hole","PC Pin","G6BK Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_KUP93&DocType=DS&DocLang=English,-,27E168-ND,27E168,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 11 POS THROUGH HOLE,0,0,"3.15000","0","100","KUP93","Active","Socket","11","Through Hole","PC Pin","KUP93 Series"
-,-,1904045-5-ND,1904045-5,TE Connectivity Potter & Brumfield Relays,V23333Z1001B045-EV-000,0,0,"3.15360","0","50","*","Active","-","-","-","-","-"
-,-,5-1904045-5-ND,5-1904045-5,TE Connectivity Potter & Brumfield Relays,V23333Z1001B045-EV-896,0,0,"3.15360","0","50","*","Active","-","-","-","-","-"
-,-,1904045-3-ND,1904045-3,TE Connectivity Potter & Brumfield Relays,V23333Z0002A010-EV-000,0,0,"3.19200","0","50","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/NC_Relays.pdf,-,NC4-L2PS-ND,NC4-L2PS,Panasonic Electric Works,RELAY SOCKET 16 POS THROUGH HOLE,0,0,"3.19500","0","20","NC","Active","Socket","16","Through Hole","PC Pin","NC4D-L2 Relays"
https://industrial.omron.us/en/media/H3Y_H3Y-B_H3YN_H3YN-B_Datasheet_en_201603_M25I-E-01_tcm849-113625.pdf,-,PY08-0FORMY-ND,PY08-0 FOR MY,Omron Automation and Safety,RELAY SOCKET 8 POS THROUGH HOLE,0,0,"3.25000","0","1","MY","Active","Socket","8","Through Hole","PC Pin","MY2 Relays"
//media.digikey.com/pdf/Data%20Sheets/Curtis%20Industries/Terminal_Blocks_Cat.pdf,-,18821CU-ND,18821,Curtis Industries,RELAY SOCKET ROUND OCTAL,0,0,"3.25240","0","25","*","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=953615&DocType=Customer+Drawing&DocLang=English,-,2-953615-2-ND,2-953615-2,TE Connectivity AMP Connectors,RELAY HOUSING 50-60A,0,0,"3.27220","0","400","-","Active","Housing","-","-","-","-"
-,-,27E806-ND,27E806,TE Connectivity Potter & Brumfield Relays,SOCKET 5PIN FOR RK SER PCB,0,0,"3.31200","0","250","-","Active","Socket","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,-,27E164-ND,27E164,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 22 POS PANEL MOUNT,0,0,"3.43500","0","600","R10","Active","Socket","22","Panel Mount","Solder Lug","R10 Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,-,27E636-ND,27E636,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 10 POS THROUGH HOLE,0,0,"3.51000","0","600","R10","Active","Socket","10","Through Hole","PC Pin","R10 Series"
http://sensing.honeywell.com/honeywell-sensing-szr-my-series-product-sheet-009550-4-en.pdf,-,SZX-SMB-14-ND,SZX-SMB-14,Honeywell Sensing and Productivity Solutions,RELAY SOCKET 14 POS PANEL MOUNT,0,0,"3.75200","0","1000","SZR-MY","Active","Socket","14","Panel Mount","Solder Lug","SZR-MY Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/27E446.jpg,PB811-ND,27E446,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 10 POS CHASSIS MT,0,0,"3.81000","0","600","R10","Active","Socket","10","Chassis Mount","Solder Lug","R10 Series"
//media.digikey.com/pdf/Data%20Sheets/Curtis%20Industries/Terminal_Blocks_Cat.pdf,-,18832-ND,18832,Curtis Industries,RELAY SOCKET 8PIN SQUARE,0,0,"3.89880","0","25","*","Active","-","-","-","-","-"
-,-,GZT92-ND,GZT92,Altech Corporation,RELAY SOCKET DR SCREW TERM RM87;,0,190,"3.90400","0","10","*","Active","-","-","-","-","-"
-,-,1-1415035-1-ND,1-1415035-1,TE Connectivity Potter & Brumfield Relays,MT78N50,0,0,"3.94200","0","100","*","Active","-","-","-","-","-"
-,-,GZT80-ND,GZT80,Altech Corporation,RELAY SOCKET DR SCREW TERM RM84R,0,760,"4.07000","0","10","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Curtis%20Industries/Terminal_Blocks_Cat.pdf,-,18835-ND,18835,Curtis Industries,RELAY SOCKET 11PIN ROUND,0,0,"4.08040","0","25","*","Active","-","-","-","-","-"
