Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
http://www.grayhill.com/assets/1/7/IO_Racks_32_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70GRCP32-HL.jpg,GH3034-ND,70GRCP32-HL,Grayhill Inc.,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","1","System 50","Obsolete","G5 (PAMUX Controllers)","32","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_24_InLine_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK24-HL.JPG,GH7435-ND,70RCK24-HL,Grayhill Inc.,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","1","System 50","Obsolete","Standard","24","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_32_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70GRCM32-HL.JPG,GH7445-ND,70GRCM32-HL,Grayhill Inc.,I/O MODULE RACK 32 CHANNEL,0,1,"Active","0","0","System 50","Active","G5 (MicroDAC, PAMUX Controllers)","32","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,-,GH3051-ND,70LRCK16-HL,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,0,0,"Active","0","0","System 50","Active","OpenLine®","16","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_24_InLine_Channel.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70LRCK24-HL.jpg,GH3052-ND,70LRCK24-HL,Grayhill Inc.,I/O MODULE RACK 24 CHANNEL,0,21,"Active","0","0","System 50","Active","OpenLine®","24","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,-,70LRCK16-48WP-ND,70LRCK16-48WP,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","1","OpenDAC®","Obsolete","OpenLine®","16","DIN Connector, Screw Terminal Blocks","DIN Rail"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70GRCK16I-DIN.JPG,GH7617-ND,70GRCK16I-DIN,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,0,0,"Active","0","0","System 50","Active","G5","16","Screw Terminal Blocks","DIN Rail"
//media.digikey.com/pdf/Data%20Sheets/Crydom%20PDFs/MS_Series.pdf,-,MS-4H-ND,MS-4H,Sensata-Crydom,I/O MODULE RACK 4 CHANNEL,0,0,"Obsolete","0","2","MS","Obsolete","Mini","4","-","Standoffs"
http://www.crydom.com/en/products/catalog/p_b4h.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB4.jpg,PB-4H-ND,PB-4H,Sensata-Crydom,I/O MODULE RACK 4 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","4","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/2IO4A,%202IO4B.jpg",PB695-ND,2IO4B,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 4 CHANNEL,0,0,"Obsolete","0","1","2IO","Obsolete","Standard","4","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/2IO16B.jpg,PB697-ND,2IO16B,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","24","2IO","Obsolete","Standard","16","Screw Terminal Blocks","Standoffs"
