Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Output Type","Voltage - Input","Voltage - Load","Load Current","On-State Resistance (Max)","Termination Style","Package / Case","Supplier Device Package"
http://www.ixysic.com/home/pdfs.nsf/www/LBA716.pdf/$file/LBA716.pdf,//media.digikey.com/photos/Clare%20Photos/212-8-SMD.jpg,CLA307CT-ND,LBA716STR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO/NC 1A 0-60V,2483,0,"7.23000","0","1","Cut Tape (CT)","LBA, OptoMOS®","Active","Surface Mount","SPST-NO + SPST-NC (1 Form A and B)","AC, DC","1.2VDC","0V ~ 60V","1A","400 mOhms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
http://www.ixysic.com/home/pdfs.nsf/www/LBA716.pdf/$file/LBA716.pdf,//media.digikey.com/photos/Clare%20Photos/212-8-SMD.jpg,CLA307DKR-ND,LBA716STR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO/NC 1A 0-60V,2483,0,"Digi-Reel","0","1","Digi-Reel®","LBA, OptoMOS®","Active","Surface Mount","SPST-NO + SPST-NC (1 Form A and B)","AC, DC","1.2VDC","0V ~ 60V","1A","400 mOhms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-3342-2-ND,AQY225R1SX,Panasonic Electric Works,SSR RELAY SPST-NO 350MA 0-80V,19000,0,"3.55600","0","1000","Tape & Reel (TR)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 80V","350mA","1.2 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-3342-1-ND,AQY225R1SX,Panasonic Electric Works,SSR RELAY SPST-NO 350MA 0-80V,20482,0,"6.71000","0","1","Cut Tape (CT)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 80V","350mA","1.2 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-3862-2-ND,AQY225R2SX,Panasonic Electric Works,SSR RELAY SPST-NO 150MA 0-80V,2000,0,"3.55600","0","1000","Tape & Reel (TR)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 80V","150mA","15 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-3862-1-ND,AQY225R2SX,Panasonic Electric Works,SSR RELAY SPST-NO 150MA 0-80V,2168,0,"7.12000","0","1","Cut Tape (CT)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 80V","150mA","15 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-3862-6-ND,AQY225R2SX,Panasonic Electric Works,SSR RELAY SPST-NO 150MA 0-80V,2168,0,"Digi-Reel","0","1","Digi-Reel®","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 80V","150mA","15 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr10.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-2148-2-ND,AQY221N2SX,Panasonic Electric Works,SSR RELAY SPST-NO 120MA 0-40V,8000,4000,"3.65400","0","1000","Tape & Reel (TR)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 40V","120mA","12.5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr10.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-2148-1-ND,AQY221N2SX,Panasonic Electric Works,SSR RELAY SPST-NO 120MA 0-40V,8616,4000,"6.89000","0","1","Cut Tape (CT)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 40V","120mA","12.5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_s_cr10.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-4-SOP.jpg,255-2148-6-ND,AQY221N2SX,Panasonic Electric Works,SSR RELAY SPST-NO 120MA 0-40V,8616,4000,"Digi-Reel","0","1","Digi-Reel®","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 40V","120mA","12.5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
