Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://api.kemet.com/component-edge/download/datasheet/EE2-3NU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11007-6-ND,EE2-3NU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 3VDC,13836,0,"Digi-Reel","0","1","Digi-Reel®","EE2","Active","Surface Mount","3VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","46.7mA","Non Latching","-","Gull Wing","-","-","2.25 VDC","0.3 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-3TNU-L.pdf,//media.digikey.com/photos/Kemet%20Photos/EE2-3TNU-L.JPG,399-11011-2-ND,EE2-3TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 3VDC,1000,0,"1.48400","0","1000","Tape & Reel (TR)","EE2","Active","Surface Mount","3VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","46.7mA","Latching, Dual Coil","-","Gull Wing","-","-","2.25 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-3TNU-L.pdf,//media.digikey.com/photos/Kemet%20Photos/EE2-3TNU-L.JPG,399-11011-1-ND,EE2-3TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 3VDC,1324,0,"2.80000","0","1","Cut Tape (CT)","EE2","Active","Surface Mount","3VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","46.7mA","Latching, Dual Coil","-","Gull Wing","-","-","2.25 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-3TNU-L.pdf,//media.digikey.com/photos/Kemet%20Photos/EE2-3TNU-L.JPG,399-11011-6-ND,EE2-3TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 3VDC,1324,0,"Digi-Reel","0","1","Digi-Reel®","EE2","Active","Surface Mount","3VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","46.7mA","Latching, Dual Coil","-","Gull Wing","-","-","2.25 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-12TNU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11001-2-ND,EE2-12TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 12VDC,500,0,"1.65000","0","500","Tape & Reel (TR)","EE2","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Latching, Dual Coil","-","Gull Wing","-","-","9 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-12TNU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11001-1-ND,EE2-12TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 12VDC,927,0,"2.90000","0","1","Cut Tape (CT)","EE2","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Latching, Dual Coil","-","Gull Wing","-","-","9 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-12TNU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11001-6-ND,EE2-12TNU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 12VDC,927,0,"Digi-Reel","0","1","Digi-Reel®","EE2","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Latching, Dual Coil","-","Gull Wing","-","-","9 VDC","-","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G6L.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G6L-1F-DC3,%20G6L-1F-DC4.5,%20G6L-1F-DC5,%20G6L-1F-DC12,%20G6L-1F-DC24.jpg",Z8228TR-ND,G6L-1F-TRDC3,Omron Electronics Inc-EMC Div,RELAY TELECOM SPST 1A 3VDC,1000,0,"1.71262","0","1000","Tape & Reel (TR)","G6L","Active","Surface Mount","3VDC","SPST-NO (1 Form A)","1A","125VAC, 60VDC - Max","60.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","2.25 VDC","0.3 VDC","5ms","5ms","-40°C ~ 70°C","-","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G6L.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G6L-1F-DC3,%20G6L-1F-DC4.5,%20G6L-1F-DC5,%20G6L-1F-DC12,%20G6L-1F-DC24.jpg",Z8228CT-ND,G6L-1F-TRDC3,Omron Electronics Inc-EMC Div,RELAY TELECOM SPST 1A 3VDC,1574,0,"3.23000","0","1","Cut Tape (CT)","G6L","Active","Surface Mount","3VDC","SPST-NO (1 Form A)","1A","125VAC, 60VDC - Max","60.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","2.25 VDC","0.3 VDC","5ms","5ms","-40°C ~ 70°C","-","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G6L.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G6L-1F-DC3,%20G6L-1F-DC4.5,%20G6L-1F-DC5,%20G6L-1F-DC12,%20G6L-1F-DC24.jpg",Z8228DKR-ND,G6L-1F-TRDC3,Omron Electronics Inc-EMC Div,RELAY TELECOM SPST 1A 3VDC,1574,0,"Digi-Reel","0","1","Digi-Reel®","G6L","Active","Surface Mount","3VDC","SPST-NO (1 Form A)","1A","125VAC, 60VDC - Max","60.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","2.25 VDC","0.3 VDC","5ms","5ms","-40°C ~ 70°C","-","Telecom"
