Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1)","Resistor - Emitter Base (R2)","DC Current Gain (hFE) (Min) @ Ic, Vce","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Frequency - Transition","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/dtd123yk.pdf,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTD123YKT146CT-ND,DTD123YKT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,17398,0,"0.39000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","500mA","50V","2.2 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/dtd123yk.pdf,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTD123YKT146DKR-ND,DTD123YKT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,17398,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","500mA","50V","2.2 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT3GOSTR-ND,MMUN2211LT3G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,40000,20000,"0.01743","0","10000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT3GOSCT-ND,MMUN2211LT3G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,48235,20000,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT3GOSDKR-ND,MMUN2211LT3G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,48235,20000,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2111LT3GOSTR-ND,MMUN2111LT3G,ON Semiconductor,TRANS PREBIAS PNP 246MW SOT23-3,20000,30000,"0.01743","0","10000","Tape & Reel (TR)","-","Active","PNP - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2111LT3GOSCT-ND,MMUN2111LT3G,ON Semiconductor,TRANS PREBIAS PNP 246MW SOT23-3,27063,30000,"0.13000","0","1","Cut Tape (CT)","-","Active","PNP - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2111LT3GOSDKR-ND,MMUN2111LT3G,ON Semiconductor,TRANS PREBIAS PNP 246MW SOT23-3,27063,30000,"Digi-Reel","0","1","Digi-Reel®","-","Active","PNP - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SC%E2%88%9275-3_463.jpg,DTC143EET1GOSTR-ND,DTC143EET1G,ON Semiconductor,TRANS PREBIAS NPN 0.2W SC75,96000,219000,"0.01981","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","200mW","Surface Mount","SC-75, SOT-416","SC-75, SOT-416"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SC%E2%88%9275-3_463.jpg,DTC143EET1GOSCT-ND,DTC143EET1G,ON Semiconductor,TRANS PREBIAS NPN 0.2W SC75,99593,219000,"0.12000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","200mW","Surface Mount","SC-75, SOT-416","SC-75, SOT-416"
