Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Voltage","Barrel Depth","Wire Gauge","Shielding","Color - Cap","Color - Wire","Material - Cap"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=839564&DocType=Customer+Drawing&DocLang=English,-,2-839564-9-ND,2-839564-9,TE Connectivity AMP Connectors,LGH-2 PLUG TO CBL 16AWG 18.38"",0,0,"250.17300","0","80","-","Active","LGH-2 Plug to Cable (Round)","18.38"" (466.852mm)","30kV","1.43"" (36.32mm)","16 AWG","Unshielded","Green","-","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830637&DocType=Customer+Drawing&DocLang=English,-,1-830637-2-ND,1-830637-2,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 12.38"",0,0,"250.72000","0","10","-","Active","LGH-1L Plug to Cable (Round)","12.38"" (314.452mm)","25kV","1.69"" (42.93mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862602&DocType=Customer+Drawing&DocLang=English,-,862602-4-ND,862602-4,TE Connectivity AMP Connectors,LGH-1/2L PLG TO J1-21 SCKT 16AWG,0,0,"251.02400","0","10","-","Active","LGH-1/2L Plug to J1-21 Socket Contact, Right Angle","6.00"" (152.400mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=837655&DocType=Customer+Drawing&DocLang=English,-,837655-2-ND,837655-2,TE Connectivity AMP Connectors,LGH-1 PLUG TO CBL 16AWG 24"",0,0,"251.85050","0","20","-","Active","LGH-1 Plug to Cable (Round)","24.00"" (609.600mm)","20kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862547&DocType=Customer+Drawing&DocLang=English,-,862547-9-ND,862547-9,TE Connectivity AMP Connectors,LGH-1/2L PLG TO CBL 16AWG 36.38"",0,0,"251.85600","0","40","-","Active","LGH-1/2L Plug to Cable (Round)","36.38"" (924.052mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862424&DocType=Customer+Drawing&DocLang=English,-,862424-1-ND,862424-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO WIRE 22AWG 12"",0,0,"251.86500","0","20","-","Active","Micro-Miniature LGH, Plug, 3 pos to Individual Wire Leads","12.00"" (304.800mm)","7.5kV","0.27"" (6.86mm)","22 AWG","Unshielded","No Cap","Multiple Colors","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=832692&DocType=Customer+Drawing&DocLang=English,-,832692-2-ND,832692-2,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 24"",0,0,"253.51800","0","10","-","Active","LGH-1L Plug to Cable (Round)","24.00"" (609.600mm)","25kV","0.91"" (23.11mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830612&DocType=Customer+Drawing&DocLang=English,-,830612-4-ND,830612-4,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO 1/2 PLG 16AWG 4',0,0,"258.92650","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","4.00' (1.22m)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","-","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830612&DocType=Customer+Drawing&DocLang=English,-,830612-3-ND,830612-3,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO 1/2 PLG 16AWG 6"",0,0,"259.59350","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","6.00"" (152.400mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","-","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830612&DocType=Customer+Drawing&DocLang=English,-,830612-2-ND,830612-2,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLG TO LGH-1/2 PLG 16AWG,0,0,"260.01400","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","12.00"" (304.800mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","-","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=869085&DocType=Customer+Drawing&DocLang=English,-,869085-1-ND,869085-1,"TE Connectivity Aerospace, Defense and Marine",LGH-3 PLG TO LGH-3 PLG 16AWG 10"",0,0,"260.14500","0","30","-","Active","LGH-3 Plug to LGH-3 Plug","10.00"" (254.000mm)","40kV","1.81"" (45.97mm)","16 AWG","Unshielded","Green","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=837975&DocType=Customer+Drawing&DocLang=English,-,837975-2-ND,837975-2,"TE Connectivity Aerospace, Defense and Marine",LGH-3 PLUG TO CBL 16AWG 36"",0,0,"261.14500","0","20","-","Active","LGH-3 Plug to Cable (Round)","36.00"" (914.400mm)","40kV","1.81"" (45.97mm)","16 AWG","Unshielded","Green","White","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862546&DocType=Customer+Drawing&DocLang=English,-,862546-5-ND,862546-5,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLG TO LGH-1/2 PLG 16AWG,0,0,"265.11800","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","15.00"" (381.000mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=832692&DocType=Customer+Drawing&DocLang=English,-,6-832692-7-ND,6-832692-7,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 25.38"",0,0,"265.17600","0","10","-","Active","LGH-1L Plug to Cable (Round)","25.38"" (644.652mm)","25kV","0.91"" (23.11mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=846290&DocType=Customer+Drawing&DocLang=English,-,846290-1-ND,846290-1,TE Connectivity AMP Connectors,LGH-4 PLUG TO CBL 16AWG 12.38"",0,0,"265.35000","0","10","-","Active","LGH-4 Plug to Cable (Round)","12.38"" (314.452mm)","50kV","2.00"" (50.80mm)","16 AWG","Unshielded","Green","White","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830612&DocType=Customer+Drawing&DocLang=English,-,2-830612-1-ND,2-830612-1,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO 1/2 PLG 16AWG 5"",0,0,"265.56800","0","10","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","5.00"" (127.000mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","-","White","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862548&DocType=Customer+Drawing&DocLang=English,-,862548-5-ND,862548-5,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2L PLUG TO 1/2L PLUG 16AWG,0,0,"266.35050","0","20","-","Active","LGH-1/2L Plug to LGH-1/2L Plug","15.00"" (381.000mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830612&DocType=Customer+Drawing&DocLang=English,-,830612-1-ND,830612-1,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLG TO LGH-1/2 PLG 16AWG,0,0,"266.82900","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","24.00"" (609.600mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","-","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868353&DocType=Customer+Drawing&DocLang=English,-,868353-2-ND,868353-2,TE Connectivity AMP Connectors,LGH-3 PLUG TO CBL 16AWG 5.03',0,0,"267.30800","0","10","-","Active","LGH-3 Plug to Cable (Round)","5.03' (1.53m)","40kV","1.81"" (45.97mm)","16 AWG","Unshielded","Green","Yellow","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=866905&DocType=Customer+Drawing&DocLang=English,-,866905-1-ND,866905-1,TE Connectivity AMP Connectors,LGH-1L PLG TO J1-21 SCKT 16AWG,0,0,"269.87040","0","50","-","Active","LGH-1L Plug to J1-21 Socket Contact, Right Angle","26.00"" (660.400mm)","25kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862548&DocType=Customer+Drawing&DocLang=English,-,1-862548-6-ND,1-862548-6,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2L PLUG TO 1/2L PLUG 16AWG,0,0,"269.87850","0","40","-","Active","LGH-1/2L Plug to LGH-1/2L Plug","36.00"" (914.400mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868361&DocType=Customer+Drawing&DocLang=English,-,868361-1-ND,868361-1,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 6.62',0,0,"270.16400","0","10","-","Active","LGH-1L Plug to Cable (Round)","6.62' (2.02m)","25kV","1.69"" (42.93mm)","16 AWG","Unshielded","-","Red","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=849813&DocType=Customer+Drawing&DocLang=English,-,849813-6-ND,849813-6,TE Connectivity AMP Connectors,LGH-1/2 PLG TO LGH1/2L PLG 16AWG,0,0,"270.83100","0","10","-","Active","LGH-1/2 Plug to LGH-1/2L Plug","11.75"" (298.450mm)","10kV","0.53"" (13.46mm), 0.89"" (22.61mm)","16 AWG","Unshielded","-","White","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862546&DocType=Customer+Drawing&DocLang=English,-,2-862546-7-ND,2-862546-7,TE Connectivity AMP Connectors,LGH-1/2 PLG TO LGH-1/2 PLG 16AWG,0,0,"273.20900","0","10","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","10.00' (3.05m)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=849310&DocType=Customer+Drawing&DocLang=English,-,849310-6-ND,849310-6,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 26.38"",0,0,"273.25360","0","25","-","Active","LGH-1L Plug to Cable (Round)","26.38"" (670.052mm)","25kV","1.69"" (42.93mm)","16 AWG","Unshielded","-","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=849103&DocType=Customer+Drawing&DocLang=English,-,849103-5-ND,849103-5,TE Connectivity AMP Connectors,LGH-1 PLUG TO CBL 16AWG 18.38"",0,0,"273.59440","0","50","-","Active","LGH-1 Plug to Cable (Round)","18.38"" (466.852mm)","25kV","0.88"" (22.35mm)","16 AWG","Shielded","Red","-","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=836917&DocType=Customer+Drawing&DocLang=English,-,2-836917-8-ND,2-836917-8,TE Connectivity AMP Connectors,LGH-1L PLG TO J1-21 SCKT 16AWG,0,0,"274.71150","0","60","-","Active","LGH-1L Plug to J1-21 Socket Contact","16.50"" (419.100mm)","25kV","0.91"" (23.11mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
