Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Usage","Convert From (Adapter End)","Convert To (Adapter End)","Length","Shielding"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS232_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS232-WE-5000-BT_5.0.jpg,768-1065-ND,USB-RS232-WE-1800-BT_0.0,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 WIRE END 1.8M,1103,0,"26.33000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_C232HM_MPSSE_CABLE.PDF,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/C232HM-EDHSL-0.JPG,768-1105-ND,C232HM-EDHSL-0,"FTDI, Future Technology Devices International Ltd",CABLE USB HS SPI/I2C/JTAG 5V .5M,173,0,"26.50000","0","1","C232HM","Active","USB to MPSSE","USB - A, Plug","Single Pole, 10 Female Sockets","1.64' (500.00mm)","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_C232HM_MPSSE_CABLE.PDF,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/C232HM-DDHSL-0.JPG,768-1106-ND,C232HM-DDHSL-0,"FTDI, Future Technology Devices International Ltd",CABLE USB HS SPI/I2C/JTAG 3.3V,453,0,"27.56000","0","1","C232HM","Active","USB to MPSSE","USB - A, Plug","Single Pole, 10 Female Sockets","1.64' (500.00mm)","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_C232HD_UART_CABLE.PDF,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/C232HD-EDHSP-0.JPG,768-1112-ND,C232HD-EDHSP-0,"FTDI, Future Technology Devices International Ltd","CABLE USB HS UART 5V, 1.8M",165,0,"29.65000","0","1","C232HD","Active","USB to UART","USB - A, Plug","Single Pole, 10 Female Sockets","5.90' (1.80m)","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_C232HD_UART_CABLE.PDF,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/C232HD-DDHSP-0.jpg,768-1011-ND,C232HD-DDHSP-0,"FTDI, Future Technology Devices International Ltd","CABLE USB HS UART 3.3V, 1.8M",479,0,"30.23000","0","1","C232HD","Active","USB to UART","USB - A, Plug","Single Pole, 10 Female Sockets","5.90' (1.80m)","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_UT232R-500.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_UT232R.jpg,768-1084-ND,UT232R-200,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 W/THUMB SCREW 2M,678,0,"30.63000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","6.56' (2.00m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS485_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VIP-WE.jpg,768-1041-ND,USB-RS485-WE-1800-BT,"FTDI, Future Technology Devices International Ltd",CABLE USB RS485 WIRE END 1.8M,2102,0,"32.50000","0","1","USBmadeEZ-UART","Active","USB to RS485","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_UT232R-500.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_UT232R.jpg,768-1085-ND,UT232R-500,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 W/THUMB SCREW 5M,271,0,"36.50000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","16.40' (5.00m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USBNMC.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-NMC-2.5M.jpg,768-1076-ND,USB NMC-2.5M,"FTDI, Future Technology Devices International Ltd",CABLE USB NULL MODEM CABLE 2.5M,532,0,"36.75000","0","1","USBmadeEZ-UART","Active","USB Null Modem","USB - A, Plug","Cable, 6 Wire Leads","8.20' (2.50m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS232_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS232-WE-5000-BT_0.0.jpg,768-1079-ND,USB-RS232-WE-5000-BT_0.0,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 WIRE END 5M,240,0,"37.25000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","Cable, 6 Wire Leads","16.40' (5.00m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS422_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS422-WE-1800-BT.jpg,768-1042-ND,USB-RS422-WE-1800-BT,"FTDI, Future Technology Devices International Ltd",CABLE USB-RS422 WIRE END 1.8M,1160,0,"37.50000","0","1","USBmadeEZ-UART","Active","USB to RS422","USB - A, Plug","Cable, 9 Wire Leads","5.90' (1.80m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS485_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VIP-WE.jpg,768-1083-ND,USB-RS485-WE-5000-BT,"FTDI, Future Technology Devices International Ltd",CABLE USB RS485 WIRE END 5M,362,0,"44.38000","0","1","USBmadeEZ-UART","Active","USB to RS485","USB - A, Plug","Cable, 6 Wire Leads","16.40' (5.00m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS422_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS422-WE-1800-BT.jpg,768-1082-ND,USB-RS422-WE-5000-BT,"FTDI, Future Technology Devices International Ltd",CABLE USB RS422 WIRE END 5M,156,0,"50.63000","0","1","USBmadeEZ-UART","Active","USB to RS422","USB - A, Plug","Cable, 9 Wire Leads","16.40' (5.00m)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/954_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_954.jpg,1528-2128-ND,954,Adafruit Industries LLC,USB TO TTL SERIAL CABLE - DEBUG,961,0,"9.95000","0","1","-","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/18_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_18.jpg,1528-1115-ND,18,Adafruit Industries LLC,CONVERTER CBL USB/SERIAL 54.25"",341,0,"14.95000","0","1","-","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","4.50' (1.37m)","-"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/US232%20Manual%20and%20Guide.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/US232B%5ELC-BULK.JPG,768-1100-ND,US232B/LC-BULK,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 10CM,638,0,"28.50000","0","1","US232B","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","Shielded"
