Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Pitch","Length","Length - Exposed Ends","Termination Style"
https://www.molex.com/pdm_docs/sd/152670201_sd.pdf,-,WM21862-ND,0152670423,Molex,CABLE FFC 26POS 1.00MM 2"",9786,0,"2.41000","0","1","Premo-Flex 15267","Active","FFC, FPC","26","0.039"" (1.00mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152670201_sd.pdf,//media.digikey.com/Photos/Molex/0152670225.jpg,WM10540-ND,0152670225,Molex,CABLE FFC 8POS 1.00MM 2"",5314,0,"2.47000","0","1","Premo-Flex 15267","Active","FFC, FPC","8","0.039"" (1.00mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152670201_sd.pdf,//media.digikey.com/Photos/Molex/0152670357.jpg,WM10551-ND,0152670363,Molex,CABLE FFC 20POS 1.00MM 5"",1828,0,"2.47000","0","1","Premo-Flex 15267","Active","FFC, FPC","20","0.039"" (1.00mm)","5.000"" (127.00mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R08.jpg,HF08U-02-ND,100R8-51B,Parlex USA LLC,CABLE FFC 8POS 1.00MM 2"",2973,0,"2.48000","0","1","-","Active","FFC, FPC","8","0.039"" (1.00mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/150150423_sd.pdf,//media.digikey.com/Photos/Molex/0150150433.jpg,WM9648-ND,0150150245,Molex,CABLE FFC 45POS 0.30MM 2"",3452,0,"2.54000","0","1","Premo-Flex 15015","Active","FFC, FPC","45","0.012"" (0.30mm)","2.000"" (50.80mm)","0.118"" (3.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660073_sd.pdf,//media.digikey.com/Photos/Molex/0152660077.jpg,WM11348-ND,0152660073,Molex,CABLE FFC 8POS 0.50MM 1.18"",3495,0,"2.60000","0","1","Premo-Flex 15266","Active","FFC, FPC","8","0.020"" (0.50mm)","1.180"" (29.97mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/151670201_sd.pdf,//media.digikey.com/Photos/Molex/0151670243.jpg,WM13122-ND,0151670225,Molex,CABLE FFC 8POS 1.00MM 2"",10384,0,"2.68000","0","1","Premo-Flex 15167","Active","FFC, FPC","8","0.039"" (1.00mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R10.jpg,HF10U-02-ND,100R10-51B,Parlex USA LLC,CABLE FFC 10POS 1.00MM 2"",5292,0,"2.72000","0","1","-","Active","FFC, FPC","10","0.039"" (1.00mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660121.jpg,WM10515-ND,0152660119,Molex,CABLE FFC 12POS 0.50MM 2"",4855,0,"2.76000","0","1","Premo-Flex 15266","Active","FFC, FPC","12","0.020"" (0.50mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660165.jpg,WM10517-ND,0152660165,Molex,CABLE FFC 16POS 0.50MM 3"",3824,0,"2.76000","0","1","Premo-Flex 15266","Active","FFC, FPC","16","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660219.jpg,WM10520-ND,0152660209,Molex,CABLE FFC 20POS 0.50MM 3"",5762,0,"2.81000","0","1","Premo-Flex 15266","Active","FFC, FPC","20","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660055_sd.pdf,//media.digikey.com/Photos/Molex/0152660053.jpg,WM11377-ND,0152660055,Molex,CABLE FFC 6POS 0.50MM 3"",1027,0,"2.83000","0","1","Premo-Flex 15266","Active","FFC, FPC","6","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660099_sd.pdf,//media.digikey.com/Photos/Molex/0152660101.jpg,WM11355-ND,0152660099,Molex,CABLE FFC 10POS 0.50MM 3"",2761,0,"2.84000","0","1","Premo-Flex 15266","Active","FFC, FPC","10","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660101.jpg,WM10513-ND,0152660101,Molex,CABLE FFC 10POS 0.50MM 4"",1413,0,"2.85000","0","1","Premo-Flex 15266","Active","FFC, FPC","10","0.020"" (0.50mm)","4.000"" (101.60mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660219.jpg,WM10519-ND,0152660207,Molex,CABLE FFC 20POS 0.50MM 2"",9369,0,"2.93000","0","1","Premo-Flex 15266","Active","FFC, FPC","20","0.020"" (0.50mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660121.jpg,WM10516-ND,15266-0121,Molex,CABLE FFC 12POS 0.50MM 3"",8128,0,"2.93000","0","1","Premo-Flex 15266","Active","FFC, FPC","12","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R06.jpg,HF06U-05-ND,100R6-127B,Parlex USA LLC,CABLE FFC 6POS 1.00MM 5"",6315,0,"2.97000","0","1","-","Active","FFC, FPC","6","0.039"" (1.00mm)","5.000"" (127.00mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R12.jpg,HF12U-02-ND,100R12-51B,Parlex USA LLC,CABLE FFC 12POS 1.00MM 2"",2917,0,"2.97000","0","1","-","Active","FFC, FPC","12","0.039"" (1.00mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
