Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","1st Connector","2nd Connector","Number of Conductors","Cord Type","Wire Gauge","Shielding","Length","Approval Marks","Approved Countries","Color","Voltage Rating","Current Rating (Amps)","Operating Temperature","Features"
http://www.globtek.com/pdf/manual-datasheets/23144272M5701T-GGY(R).pdf,-,1939-1624-ND,23144272M5701T-GGY(R,"GlobTek, Inc.",EUROPEAN POWER CORD,475,0,"7.23000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/7","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","8.20' (2.50m)","CEBEC, DEMKO, FIMKO, KEMA, LCIE, NEMKO, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, France, Germany, Netherlands, Norway, Sweden","Gray","250V","10A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/364002d06.pdf,//media.digikey.com/photos/Qualtek%20Photos/3640xx-x06.jpg,Q1042-ND,364002-D06,Qualtek,CRD CEE 7/VII - IEC320-C13 8.20',502,0,"7.25000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/VII","IEC 320-C13","3","H05VV-F","-","Unshielded","8.20' (2.50m)","CB","Austria, Belgium, Denmark, Finland, Germany, Netherlands, Norway, Sweden","Gray","250V","10A","70°C","Gray Housing"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/31201006.pdf,//media.digikey.com/Photos/Qualtek%20Photos/312010-06.jpg,Q1049-ND,312010-06,Qualtek,CORD 18AWG 5-15P - 320-C13 9.84',500,0,"7.25000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SJT","18 AWG","Unshielded","9.84' (3.00m)","CSA, UL","Canada, United States","Gray","125VAC","10A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/3021247F701%28R%29.pdf,-,1939-1646-ND,3021247F701(R),"GlobTek, Inc.",NORTH AMERICAN DETACHABLE CORDSE,182,0,"7.31000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SJTW","16 AWG","Unshielded","7.00' (2.13m)","CSA, UL","Canada, United States","Black","125V","13A","105°C","-"
https://www.globtek.com/pdf/manual-datasheets/1191068F0712-L%28R%29.pdf,-,1939-1587-ND,1191068F0712-L(R),"GlobTek, Inc.",MEDICAL GRADE DETACHABLE CORDSET,195,0,"7.36000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C5","3","SJT","18 AWG","Unshielded","8.04' (2.45m)","CSA, cULus, UL","Canada, United States","Black","125V","10A","60°C","Hospital Grade"
https://www.globtek.com/pdf/manual-datasheets/2054262M000.pdf,-,1939-1594-ND,2054262M000,"GlobTek, Inc.",S.AFRICAN CORDSETBLK 2M LG H05VV,700,0,"7.39000","0","1","-","Active","-","SANS 164-1, Right Angle","-","3","H05VV-F","18 AWG","Unshielded","6.73' (2.05m)","-","-","Black","250V","6A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/3611068F2701(R).pdf,-,1939-1022-ND,3611068F2701(R),"GlobTek, Inc.",CORD 18AWG 6-15P - 320-C13 8.2',114,0,"7.41000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 6-15P","IEC 320-C13","3","SJT","18 AWG","Unshielded","8.20' (2.50m)","CSA, UL","Canada, United States","Black","250V","10A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/11910510F0701-GYL(R).pdf,-,1939-1000-ND,11910510F0701-GYL(R),"GlobTek, Inc.",CRD 16AWG NEMA5-15P - 320C13 10',232,0,"7.52000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SJT","16 AWG","Unshielded","10.00' (3.05m)","CSA, UL","Canada, United States","Gray","125VAC","13A","-","Hospital Grade"
https://www.globtek.com/pdf/manual-datasheets/G8014272M5701%28R%29.pdf,-,1939-1697-ND,G8014272M5701(R),"GlobTek, Inc.",DANISHH05VVF3X1MM10A250V,179,0,"7.52000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","AFSNIT 107-2-D1","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","8.20' (2.50m)","CE, DEMKO","Denmark, Europe","Black","250V","10A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/39700301.pdf,-,Q1131-ND,397003-01,Qualtek,CRD 16AWG JIS8303 - 320C13 5.91',394,0,"7.56000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","JIS 8303","IEC 320-C13","3","VCTF","16 AWG","Unshielded","5.91' (1.80m)","PSE","Japan","Black","125V","12A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/23134272M5701W%28R%29.pdf,-,1939-1614-ND,23134272M5701W(R),"GlobTek, Inc.",EURO CRSTALL APPR2.5M LGBLKANGLE,500,0,"7.59000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/7, Right Angle","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","8.20' (2.50m)","CEBEC, DEMKO, FIMKO, IMQ, KEMA, LCIE, NEMKO, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, France, Germany, Italy, Netherlands, Norway, Sweden","Black","250V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/401P1988F702.pdf,-,1939-1658-ND,401P1988F702,"GlobTek, Inc.",NACRS;EL401(POL);+SJT16X2;105CIE,725,0,"7.62000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 1-15P, Polarized","-","2","SJT","16 AWG","Unshielded","8.00' (2.44m)","CSA, UL","Canada, United States","Black","125V","13A","105°C","-"
https://www.globtek.com/pdf/manual-datasheets/70321054F700.pdf,-,1939-1680-ND,70321054F700,"GlobTek, Inc.",NA CRDSTIEC 320/C19 +SJT 16/3 BL,472,0,"7.78000","0","1","-","Active","Female Sockets (Slots) to Leads","IEC 320-C19","Cable","3","SJT","16 AWG","Unshielded","4.63' (1.41m)","CSA, UL","Canada, United States","Black","125V","20A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/2084272M5701%28R%29.pdf,-,1939-1601-ND,2084272M5701(R),"GlobTek, Inc.",S. AFRICAN CRDST;EL208+H05VVF3X1,319,0,"7.78000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","SANS 164-1, Right Angle","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","8.20' (2.50m)","SABS","Africa, South Africa","Black","250V","10A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/39700501.pdf,-,Q1133-ND,397005-01,Qualtek,CORD 16AWG JIS 8303 TO CBL 8.20',241,0,"7.85000","0","1","-","Active","Male Pins (Blades) to Leads","JIS 8303","Cable","3","VCTF","16 AWG","Unshielded","8.20' (2.50m)","PSE","Japan","Black","125V","12A","60°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/39200801.pdf,-,Q1130-ND,392008-01,Qualtek,CORD 18AWG NBR 14136 - C13 8.20',262,0,"7.90000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NBR 14136","IEC 320-C13","3","H05VV-F","18 AWG","Unshielded","8.20' (2.50m)","INMETRO","Brazil","Black","250V","10A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/39901301.pdf,-,Q1126-ND,399013-01,Qualtek,CORD 18AWG IEC 320-C13 8.20' BLK,219,0,"7.90000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","-","IEC 320-C13","3","RVV 300/500","18 AWG","Unshielded","8.20' (2.50m)","CCC","China","Black","250V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/7011438F2705%28R%29.pdf,-,1939-1677-ND,7011438F2705(R),"GlobTek, Inc.",N.A.CORDSET UL/CSA 8'2""BLK EL701,500,0,"7.91000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","IEC 320-C14","IEC 320-C13","3","SJT","18 AWG","Unshielded","8.20' (2.50m)","CSA, UL","Canada, United States","Black","250V","10A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/6104262M0712T-GGY%28R%29.pdf,-,1939-1675-ND,6104262M0712T-GGY(R),"GlobTek, Inc.",BRITISH DETACHABLE CORDSET,500,0,"8.16000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","BS1363","IEC 320-C5","3","H05VV-F","18 AWG","Unshielded","6.73' (2.05m)","ASTA, BSI Kitemark","United Kingdom","Gray","250V","2.5A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/3011046F7TTR%28R%29.pdf,-,1939-1638-ND,3011046F7TTR(R),"GlobTek, Inc.",DWG TITLE: NORTH AMERICAN NON-DE,199,0,"8.16000","0","1","-","Active","Male Pins (Blades) to Leads with Terminals","NEMA 5-15P","2 QC Terminals, 1 Ring Terminal","3","SJT","14 AWG","Unshielded","6.56' (2.00m)","CSA, UL","Canada, United States","Black","125V","15A","105°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/36401906.pdf,//media.digikey.com/photos/Qualtek%20Photos/3640xx-x06.jpg,Q1046-ND,364019-06,Qualtek,CRD CEE 7/VII - IEC320-C13 9.84',397,0,"8.17000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/VII","IEC 320-C13","3","H05VV-F","-","Unshielded","9.84' (3.00m)","CB","Austria, Belgium, Denmark, Finland, Germany, Netherlands, Norway, Sweden","Gray","250V","10A","70°C","Gray Housing"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/36401901.pdf,//media.digikey.com/Photos/Qualtek%20Photos/364002-D01.JPG,Q1045-ND,364019-01,Qualtek,CRD CEE 7/VII - IEC320-C13 9.84',239,0,"8.17000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/VII","IEC 320-C13","3","H05VV-F","-","Unshielded","9.84' (3.00m)","CB","Austria, Belgium, Denmark, Finland, Germany, Netherlands, Norway, Sweden","Black","250V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/23024282M5000-10A.pdf,-,1939-1609-ND,23024282M5000-10A,"GlobTek, Inc.",EL502H05VVF1.5/3CX2.5MSTRIP ROJ,500,0,"8.22000","0","1","-","Active","Male Pins (Blades) to Leads","-","Cable","3","H05VV-F","16 AWG","Unshielded","8.50' (2.59m)","-","-","Black","150V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/23144282M5001%28R%29.pdf,"//media.digikey.com/photos/Globtek,%20Inc/23144282M5001(R).jpg",1939-1627-ND,23144282M5001(R),"GlobTek, Inc.",EURO CRDST;ALL APPR;STR SCHUKO;H,236,0,"8.22000","0","1","-","Active","Male Pins (Blades) to Leads","CEE 7/7","Cable","3","H05VV-F","16 AWG","Unshielded","-","CEBEC, DEMKO, FIMKO, IMQ, KEMA, LCIE, NEMKO, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, France, Germany, Italy, Netherlands, Norway, Sweden","Black","250V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/3601281M500(R).pdf,"//media.digikey.com/Photos/Globtek,%20Inc/3601281M500(R).jpg",1939-1018-ND,3601281M500(R),"GlobTek, Inc.",US CRD;NEMA 6-20P(EL360) +SJTO18,339,0,"8.29000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/24301206.pdf,-,Q1216-ND,243012-06,Qualtek,CORD 18AWG 5-15P TO 320-C13 10',446,0,"8.78000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P, Right Angle","IEC 320-C13, Right Angle","3","SJT","18 AWG","Unshielded","10.00' (3.05m)","CSA, UL","-","Gray","125V","10A","60°C","Hospital Grade"
https://www.globtek.com/pdf/manual-datasheets/3021889F10701.pdf,-,1939-1651-ND,3021889F10701,"GlobTek, Inc.",NACRDST;NEMA5-15P;IEC320/C14 18/,475,0,"8.94000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SJT","18 AWG","Shielded","9.84' (3.00m)","CSA, UL","Canada, United States","Black","125V","10A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/70542710F0701%28R%29.pdf,-,1939-1684-ND,70542710F0701(R),"GlobTek, Inc.",EUROCRS;IEC320/C14+H05VV-F3X1.0;,475,0,"8.94000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","IEC 320-C14","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","-","CEBEC, DEMKO, FIMKO, KEMA, LCIE, NEMKO, OVE, SAA, SEMKO, VDE","Australia, Austria, Belgium, Denmark, Finland, France, Germany, New Zealand, Netherlands, Norway, Sweden","Black","250V","10A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/31101606.pdf,//media.digikey.com/Photos/Qualtek%20Photos/311016-06.JPG,Q1050-ND,311016-06,Qualtek,CORD 18AWG NEMA5-15P - CBL 9.84',490,0,"9.04000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 5-15P","Cable","3","SJT","18 AWG","Unshielded","9.84' (3.00m)","CSA, UL","Canada, United States","Gray","125VAC","10A","60°C","-"
https://www.globtek.com/pdf/manual-datasheets/45111211FVF.pdf,-,1939-1661-ND,45111211FVF,"GlobTek, Inc.",CRDSTNEMAL-15/LENGTH11FT/18/2SPT,500,0,"9.32000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 1-15P","Cable","2","SPT-2","18 AWG","Unshielded","11.00' (3.35m)","CSA, UL","Canada, United States","Black","125V","10A","105°C","-"
https://www.globtek.com/pdf/manual-datasheets/3003068F2701-HK%28R%29.pdf,-,1939-1633-ND,3003068F2701-HK(R),"GlobTek, Inc.",JAPAN CRDST;GP3021J+HVCTF3X2.2.5,495,0,"9.36000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","JIS 8303","IEC 320-C13","3","HVCTF","14 AWG","Unshielded","8.20' (2.50m)","PSE","Japan","Black","125V","15A","105°C","-"
https://www.globtek.com/pdf/manual-datasheets/PZ0800100-2M5BK13H%28R.pdf,-,1939-1721-ND,PZ0800100-2M5BK13H(R,"GlobTek, Inc.",UNITED KINGDOM AC POWER CORDSET;,540,0,"9.39000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","BS1363A","IEC 320-C13","3","H05VV-F","17 AWG","Unshielded","8.20' (2.50m)","ASTA","United Kingdom","Black","250V","10A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/3201046F0000(R).pdf,-,1939-1015-ND,3201046F0000(R),"GlobTek, Inc.","N.A.CRDST,NEMA 5-20P SJT14/3 6'L",400,0,"9.69000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.globtek.com/pdf/manual-datasheets/23144282M57032%28R%29.pdf,-,1939-1628-ND,23144282M57032(R),"GlobTek, Inc.",EUROPEAN DETACHABLE CORDSET; CEE,470,0,"9.76000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/7","IEC 320-C19","3","H05VV-F","16 AWG","Unshielded","8.20' (2.50m)","CEBEC, DEMKO, FIMKO, IMQ, KEMA, NEMKO, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, Germany, Italy, Netherlands, Norway, Sweden","Black","250V","16A","70°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/31102706.pdf,//media.digikey.com/Photos/Qualtek%20Photos/311027-06.JPG,Q1051-ND,311027-06,Qualtek,CORD 14AWG NEMA5-15P - CBL 9.84',197,0,"10.26000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 5-15P","Cable","3","SJT","14 AWG","Unshielded","9.84' (3.00m)","CSA, UL","Canada, United States","Gray","125VAC","15A","60°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/24301306.pdf,-,Q1217-ND,243013-06,Qualtek,CORD 16AWG 5-15P TO 320-C13 10',694,0,"10.48000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P, Right Angle","IEC 320-C13, Right Angle","3","SJT","16 AWG","Unshielded","10.00' (3.05m)","CSA, UL","-","Gray","125V","13A","60°C","Hospital Grade"
https://www.globtek.com/pdf/manual-datasheets/23134283M0QQR%28R%29.pdf,-,1939-1615-ND,23134283M0QQR(R),"GlobTek, Inc.",EUROPEAN NON-DETACHABLE CORD,347,0,"10.71000","0","1","-","Active","Male Pins (Blade) to Leads with Terminals","CEE 7/7, Right Angle","2 QC Terminals, 1 Ring Terminal","3","H05VV-F","16 AWG","Unshielded","10.21' (3.11m)","CEBEC, DEMKO, FIMKO, KEMA, NEMKO, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, Germany, Netherlands, Norway, Sweden","Black","230V","16A","70°C","-"
https://www.globtek.com/pdf/manual-datasheets/3003339F701%28R%29.pdf,-,1939-1636-ND,3003339F701(R),"GlobTek, Inc.",JAPAN CRDSTT-MARK;GP3021+VCTF3X2,335,0,"11.10000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","JIS 8303","IEC 320-C13","3","VCTF","14 AWG","Unshielded","9.19' (2.80m)","PSE","Japan","Black","125V","15A","75°C","-"
