Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Lines","Cable Length - Unexposed","Features"
https://industrial.panasonic.com/ac/cdn/e/control/connector/aoc/catalog/con_eng_aocv.pdf,-,AYG5V15085M1-ND,AYG5V15085M1,Panasonic Electric Works,OPTICAL TRANSCEIVER 1CH 6GBS 500,0,0,"132.89400","0","10","V","Last Time Buy","Optical Connector Plug to Wire","2","1.64' (0.50m) 19.69""","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1404799,-,1404799-ND,1404799,Phoenix Contact,PROFINET Y DISTRIBUTOR WITH ASSE,0,0,"133.17000","0","1","-","Active","Terminal Block Plug to Terminal Block Socket (2)","5","0.67' (0.20m) 7.87""","-"
-,-,255-6449-ND,AYG5V1A085M1,Panasonic Electric Works,OPTICAL TRANSCVR 2CH 6GBS 1000MM,0,0,"133.23700","0","10","V","Last Time Buy","Optical Connector Plug to Wire","2","3.28' (1.00m) 39.4""","-"
-,-,20886510015-ND,20886510015,HARTING,SYPCEM CABLE HAN-BRID/CU MET,0,0,"134.96000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","6","4.92' (1.50m) 59.0""","Shielded"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357111XXX0001_100172821DRW012A.pdf,-,33571110050001-ND,33571110050001,HARTING,"IP67, HYBR. CABLE PLUG CAT 5, DC",0,0,"135.42167","0","6","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357111XXX0002_100172821DRW014A.pdf,-,33571110050002-ND,33571110050002,HARTING,"HYBR.CABLE ASSY, AC, 5M -1X HAN3",0,0,"135.42167","0","6","*","Active","-","-","-","-"
-,-,20886110015-ND,20886110015,HARTING,SYPCEM CABLE HAN-BRID/CU THERMOP,0,0,"136.39000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","6","4.92' (1.50m) 59.0""","Shielded"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=558057&DocType=Customer+Drawing&DocLang=English,-,2-558057-9-ND,2-558057-9,TE Connectivity AMP Connectors,CABLE ASSY PWR-PWR 8 WIRE 92"",0,0,"138.18000","0","1","AMPINNERGY","Active","Power Contacts to Power Contacts","8","7.67' (2.34m) 92""","-"
https://www3.panasonic.biz/ac/e_download/control/connector/aoc/catalog/con_eng_aocv.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_V-Series.jpg,AYG4V13065M1-ND,AYG4V13065M1,Panasonic Electric Works,HGH SPD OPTCL TRANS CONN CBL/PLG,0,0,"139.26000","0","10","V","Active","Optical Connector Plug to Wire","1","0.98' (0.30m) 11.81""","-"
-,-,20886110050-ND,20886110050,HARTING,SYPCEM CABLE HAN-BRID/CU THERMOP,0,0,"139.72000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","6","16.40' (5.00m) 197""","Shielded"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=556731&DocType=Customer+Drawing&DocLang=English,-,2-556731-5-ND,2-556731-5,TE Connectivity AMP Connectors,CABLE ASSY PWR-LINE 8 WIRE 120"",0,0,"143.58000","0","1","AMPINNERGY","Active","Line Contacts to Power Contacts","8","10.00' (3.05m) 120""","-"
https://b2b.harting.com/files/TB_20886411xxx_BL01_R411464.pdf,-,20886411150-ND,20886411150,HARTING,SYPCEMKAB.HAN-Q4/2 KU.4QMM PCI+B,0,0,"146.71000","0","1","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/33572110XX000X_100154019DRW013C.pdf,-,33572110010001-ND,33572110010001,HARTING,"HYBR.CABLE ASSY, AC, 1M -2X HAN3",0,0,"146.88000","0","5","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/33572110XX000X_100154019DRW013C.pdf,-,33572110010002-ND,33572110010002,HARTING,"HYBR.CABLE ASSY, DC, 1M -2X HAN3",0,0,"146.88000","0","5","*","Active","-","-","-","-"
