Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Specifications","Wire Gauge","Shielding","Style"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/3025033-01_Dwg.pdf,//media.digikey.com/Photos/Qualtek%20Photos/302503x.jpg,Q968-ND,3025033-01,Qualtek,USB 2.0 A MALE TO USB 2.0 MICRO,1927,0,"2.65000","0","1","-","Active","A Male to Micro B Male","1.00' (304.8mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7066_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AK672%5E2-2-R.jpg,AE1493-ND,AK672/2-2,Assmann WSW Components,CABLE USB A-B MALE 2M 2.0 VERS,16439,0,"2.77000","0","1","-","Active","A Male to B Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7067_CA,//media.digikey.com/Photos/Assmann%20Photos/MFG_AK672_BLK.jpg,AE10618-ND,AK672/2-2-BLACK,Assmann WSW Components,CABLE USB 2.0 A-B MALE BLACK 2M,9723,0,"2.77000","0","1","-","Active","A Male to B Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887328502_sd.pdf,//media.digikey.com/photos/Molex/88732-8602.jpg,WM14083-ND,0887328502,Molex,USB A TO MINI B 0.8M BLACK,13647,0,"2.81000","0","1","88740","Active","A Male to Mini B Male","2.62' (800.0mm)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3025013-06.pdf,//media.digikey.com/Photos/Qualtek%20Photos/3025013-06.jpg,Q855-ND,3025013-06,Qualtek,USB A MALE TO MICRO B MALE 6',10617,0,"2.98000","0","1","-","Active","A Male to Micro B Male","6.00' (1.83m)","-","28 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887328702_sd.pdf,//media.digikey.com/photos/Molex/88732-8602.jpg,WM14084-ND,0887328702,Molex,USB A TO MINI B 1.5M BLACK,1135,0,"3.00000","0","1","88740","Active","A Male to Mini B Male","4.92' (1.50m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887283400_sd.pdf,"//media.digikey.com/photos/Molex/88728-3400,-88738-8200.jpg",WM17104-ND,0887283400,Molex,USB CABLE A-PIGTAIL FULL RATED,4106,0,"3.03000","0","1","88740","Active","A Male to Cable (Round)","6.82' (2.08m)","-","24 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3021009-06.pdf,//media.digikey.com/photos/Qualtek%20Photos/3021009-06.JPG,Q365-ND,3021009-06,Qualtek,CBL USB A-MNI B CON 6' 26/28 AWG,10199,13842,"3.11000","0","1","-","Active","A Male to Mini B Male","6.00' (1.83m)","USB 2.0","26 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887329200_sd.pdf,"//media.digikey.com/photos/Molex/88732-9000,%2088732-9200,%2088732-9400.jpg",WM17103-ND,0887329200,Molex,USB CABLE A-B FULL RATED,8723,0,"3.17000","0","1","88740","Active","A Male to B Male","6.86' (2.09m)","-","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7131_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK672M%20-%20FIG%2039.jpg,AE9929-ND,AK672M/2-2,Assmann WSW Components,CABLE MINI USB 5PIN 2M 2.0 VERS,39092,0,"3.19000","0","1","-","Active","A Male to Mini B Male","6.56' (2.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
