Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Cable Diameter","Cable Type","Features","Fiber Type","Length - Overall","Type","Ratings"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912M-2-1-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/912M-2-1-0xx00-PL.jpg,1175-1949-ND,912M-2-1-01000,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 10M,10,0,"24.05000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","62.5/125","32.8' (10.0m)","Multimode, Duplex, OM1","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/913M-2-1-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/913M-2-1-0xx00-PL.jpg,1175-1967-ND,913M-2-1-01000,CNC Tech,FIBER OPTIC CBL LC-ST DUPLEX 10M,9,0,"24.05000","0","1","-","Active","LC Duplex","ST (2)","0.08"" (2.0mm)","-","-","62.5/125","32.8' (10.0m)","Multimode, Duplex, OM1","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1267-001-CSU.pdf,-,1436-2601-ND,VFA3SCSCOM3,HellermannTyton,FT SC - SC DUPLEX OM3 FIBER ASSE,10,0,"24.20000","0","1","-","Active","SC Duplex","SC Duplex","0.12"" (3.0mm)","-","-","62.5/125","9.8' (3.0m)","Multimode, Duplex, OM3","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/914S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/914S-2-5-0xx00-PL.jpg,1175-2027-ND,914S-2-5-00700-PL,CNC Tech,FIBER OPTIC CBL LC-FC DUPLEX 7M,20,0,"24.24000","0","1","-","Active","LC Duplex","FC (2)","0.08"" (2.0mm)","-","Plenum","9/125","23.0' (7.0m)","Singlemode, Duplex","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911M-2-3-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/911M-2-3-00300-PL.jpg,1175-2001-ND,911M-2-3-00500-PL,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 5M,20,0,"24.61000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","Plenum","50/125","16.4' (5.0m)","Multimode, Duplex, OM3","OFNP"
https://assets.tripplite.com/product-pdfs/en/n36801m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N368%20M%20Series.jpg,TL1523-ND,N368-01M,Tripp Lite,FIBER OPTIC CBL LC-ST DUPLEX 1M,26,0,"24.66000","0","1","-","Active","LC Duplex","ST (2)","-","Twin Zip","Riser, Zipcord","8.3/125","3.3' (1.0m)","Singlemode, Duplex","FDDI, OFNR"
https://www.panduit.com/content/dam/panduit/en/products/assets/n/nk/nkf/nkfp/nkfp91bn1nkm001/media/C-NKNKFP52ELLNKPC--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKFPX2ERLLSM001.jpg,298-16310-ND,NKFPX2ERLLSM001,Panduit Corp,PATCH CORD,28,0,"24.91000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/911S-2-5-0xx00-PL.jpg,1175-2045-ND,911S-2-5-00700-PL,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 7M,14,0,"24.98000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","Plenum","9/125","23.0' (7.0m)","Singlemode, Duplex","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911M-2-3-0XXXX-G.pdf,//media.digikey.com/Photos/CnC%20Tech/911M-2-3-00300-PL.jpg,1175-1903-ND,911M-2-3-00700-G,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 7M,10,0,"24.98000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","-","50/125","23.0' (7.0m)","Multimode, Duplex, OM3","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1267-001-CSU.pdf,-,1436-2602-ND,VFA3SCSCOS2,HellermannTyton,FT SC - SC DUPLEX OS2 FIBER ASSE,10,0,"25.30000","0","1","-","Active","SC Duplex","SC Duplex","0.12"" (3.0mm)","-","-","62.5/125","9.8' (3.0m)","Multimode, Duplex, OS2","-"
