Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Number of Positions","Number of Rows","Pitch - Connector","Pitch - Cable","Length","Features","Color","Shielding","Usage","Cable Termination","Contact Finish","Contact Finish Thickness"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-036.pdf,//media.digikey.com/Photos/JST%20Photos/A04KR04DS28WSock-Plug.jpg,455-3191-ND,A04KR04DA28W305B,JST Sales America Inc.,JUMPER 04DA-8M - 04KR-8M-P 12"",1430,0,"1.35000","0","1","DA, KR","Active","Socket to Plug","4","1","0.079"" (2.00mm)","-","1.00' (304.80mm)","-","White, Individual","-","-","IDC","Tin","-"
https://www.molex.com/pdm_docs/sd/923150410_sd.pdf,//media.digikey.com/Photos/Molex/0923150425.jpg,WM13322-ND,0923150410,Molex,4CC PICOFLEX 100MM LONG,3991,3000,"1.40000","0","1","Picoflex 92315","Active","Socket to Socket","4","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.328' (100.00mm, 3.94"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-019.pdf,//media.digikey.com/Photos/JST%20Photos/A08ZR08ZR28H152B.JPG,455-3036-ND,A08ZR08ZR28H51B,JST Sales America Inc.,JUMPER 08ZR-8M-P - 08ZR-8M-P 2"",1019,0,"1.42000","0","1","ZR","Active","Socket to Socket","8","1","0.059"" (1.50mm)","-","0.167' (50.80mm, 2.00"")","-","Gray, Individual","-","-","IDC","Tin","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-001.pdf,//media.digikey.com/Photos/JST%20Photos/A02XSR02XSR36R152A.jpg,455-3122-ND,A02XSR02XSR36R51A,JST Sales America Inc.,JUMPER 02XSR-36S - 02XSR-36S 2"",1954,0,"1.56000","0","1","XSR","Active","Socket to Socket, Reversed","2","1","0.024"" (0.60mm)","-","0.167' (50.80mm, 2.00"")","-","Red, Individual","-","-","IDC","Tin","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-002.pdf,//media.digikey.com/Photos/JST%20Photos/A02XSR02XSR36R152A.jpg,455-3126-ND,A02XSR02XSR36R152A,JST Sales America Inc.,JUMPER 02XSR-36S - 02XSR-36S 6"",1780,0,"1.69000","0","1","XSR","Active","Socket to Socket, Reversed","2","1","0.024"" (0.60mm)","-","0.500' (152.40mm, 6.00"")","-","Red, Individual","-","-","IDC","Tin","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-041.pdf,//media.digikey.com/Photos/JST%20Photos/A06XAF06XAF22KxxxB.JPG,455-3063-ND,A06XAF06XAF22K152B,JST Sales America Inc.,JUMPER 06XAF-2S - 06XAF-2S 6"",1038,0,"1.76000","0","1","XAF","Active","Socket to Socket","6","1","0.098"" (2.50mm)","-","0.500' (152.40mm, 6.00"")","-","Black, Individual","-","-","IDC","Tin","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1969343&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1969343-5.JPG,A105265-ND,1969343-5,TE Connectivity AMP Connectors,2POS CT LEAD ASSY DOUBLE 150MM,4478,0,"1.84000","0","1","-","Active","Socket to Socket","2","1","-","-","0.492' (150.00mm, 5.91"")","-","White","Unshielded","-","-","Silver","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-001.pdf,//media.digikey.com/Photos/JST%20Photos/A04XSR04XSR36R152A.jpg,455-3123-ND,A04XSR04XSR36R51A,JST Sales America Inc.,JUMPER 04XSR-36S - 04XSR-36S 2"",1115,0,"1.88000","0","1","XSR","Active","Socket to Socket, Reversed","4","1","0.024"" (0.60mm)","-","0.167' (50.80mm, 2.00"")","-","Red, Individual","-","-","IDC","Tin","-"
https://www.molex.com/pdm_docs/sd/923151210_sd.pdf,//media.digikey.com/photos/Molex/0923151225.jpg,WM13331-ND,0923151210,Molex,12CC PICOFLEX 100MM LONG,2076,0,"1.94000","0","1","Picoflex 92315","Active","Socket to Socket","12","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.328' (100.00mm, 3.94"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://www.molex.com/pdm_docs/sd/151350206_sd.pdf,//media.digikey.com/Photos/Molex/MFG_ClikMate%202-Pos.jpg,WM16509-ND,0151350206,Molex,CLICKMATE 2 CIRCUIT 600MM,2284,0,"2.69000","0","1","CLIK-MATE 15135","Active","Plug to Plug","2","1","0.059"" (1.50mm)","-","1.97' (600.00mm)","Latch Lock","Black, Individual","-","-","Crimp","Tin","16.0µin (0.41µm)"
https://www.molex.com/pdm_docs/sd/151330202_sd.pdf,//media.digikey.com/Photos/Molex/MFG_15133_PicoClasp_2-Pos.jpg,WM16320-ND,0151330202,Molex,PICO-CLASP 2 CIRCUIT 150MM,2061,0,"2.69000","0","1","Pico-Clasp 15133","Active","Socket to Socket","2","1","-","0.039"" (1.00mm)","0.492' (150.00mm, 5.91"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-021.pdf,//media.digikey.com/Photos/JST%20Photos/A08ZR08ZR28H305B.JPG,455-3044-ND,A08ZR08ZR28H305B,JST Sales America Inc.,JUMPER 08ZR-8M-P - 08ZR-8M-P 12"",162,0,"2.70000","0","1","ZR","Active","Socket to Socket","8","1","0.059"" (1.50mm)","-","1.00' (304.80mm)","-","Gray, Individual","-","-","IDC","Tin","-"
https://www.molex.com/pdm_docs/sd/923150810_sd.pdf,//media.digikey.com/photos/Molex/0923150810.jpg,WM13325-ND,0923150810,Molex,8CCT PICOFLEX 100MM LONG,679,0,"2.78000","0","1","Picoflex 92315","Active","Socket to Socket","8","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.328' (100.00mm, 3.94"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
-,-,SAM11391-ND,IDD-04-G,Samtec Inc.,FEMALE CABLE BASE ASSEMBLY,3475,0,"2.83000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/151350402_sd.pdf,//media.digikey.com/Photos/Molex/MFG_ClikMate%204-Pos.jpg,WM22839-ND,0151350402,Molex,CLICKMATE 4 CIRCUIT 150MM,1908,0,"2.88000","0","1","CLIK-MATE 15135","Active","Plug to Plug","4","1","0.059"" (1.50mm)","-","0.492' (150.00mm, 5.91"")","Latch Lock","Black, Individual","-","-","Crimp","Tin","16.0µin (0.41µm)"
https://www.molex.com/pdm_docs/sd/451300203_sd.pdf,//media.digikey.com/Photos/Molex/451300203.jpg,WM16366-ND,0451300203,Molex,NANO-FIT 2 CIRCUIT 300M,276,0,"2.88000","0","1","Nano-Fit 45130","Active","Socket to Socket","2","1","0.098"" (2.50mm)","-","0.984' (300.00mm, 11.81"")","-","Black, Individual","Unshielded","-","Crimp","Gold","15.0µin (0.38µm)"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-003.pdf,//media.digikey.com/Photos/JST%20Photos/A06XSR06XSR36R295A.jpg,455-3238-ND,A06XSR06XSR36R295A,JST Sales America Inc.,JUMPER HARNESS,1797,0,"3.03000","0","1","XSR","Active","Socket to Socket","6","1","0.024"" (0.60mm)","-","0.968' (295.00mm, 11.61"")","-","Red, Individual","-","-","IDC","Tin","-"
https://www.molex.com/pdm_docs/sd/151350306_sd.pdf,//media.digikey.com/Photos/Molex/MFG_ClikMate%203-Pos.jpg,WM16510-ND,0151350306,Molex,CLICKMATE 3 CIRCUIT 600MM,910,0,"3.06000","0","1","CLIK-MATE 15135","Active","Plug to Plug","3","1","0.059"" (1.50mm)","-","1.97' (600.00mm)","Latch Lock","Black, Individual","-","-","Crimp","Tin","16.0µin (0.41µm)"
