Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Type","Number of Positions","Length","Shielding","Color","Usage","Contact Finish","Contact Finish Thickness"
http://www.ittcannon.com/Core/medialibrary/ITTCannon/website/Literature/Catalogs-Brochures/ITT-Cannon-Microminiature-Connectors-Catalog.pdf,//media.digikey.com/Photos/ITT%20Cannon/MDM-9PH006B-A174-F222.jpg,1003-2432-ND,MDM-9PH006B-A174-F222,"ITT Cannon, LLC",CABLE ASY D TO MICR D 9P 914.4MM,7,0,"114.15000","0","1","83513-Style Micro D Metal Shell (MDM)","Active","Plug, Male Pins","Individual Wire Leads","D-Type, Micro-D","9","3.00' (914.40mm)","-","Multiple, Individual","-","Gold","-"
http://www.ittcannon.com/Core/webpart/Products/handlers/IttSecurePdfDownloadHandler.ashx?u=https%3a%2f%2fsecure.ittcannon.com%2fmc%2fservlet%2fPDFGeneratorServlet%2f096521-0001_SPEC.pdf?PARTNO=096518-0069,//media.digikey.com/Photos/ITT%20Cannon/096518-0069.jpg,1003-1134-ND,MDM-31PH003B,"ITT Cannon, LLC",CABLE ASY D TO MIC D 31P 457.2MM,8,0,"125.48000","0","1","MDM","Active","Receptacle, Male Pins","Individual Wire Leads","D-Type, Micro-D","31","1.50' (457.20mm)","-","Multiple","-","Gold","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2926250,//media.digikey.com/Photos/Phoenix%20Photos/2926580.JPG,277-14930-ND,2926250,Phoenix Contact,CABLE ASSY DB37 SHIELDED GRAY 2M,23,0,"127.05000","0","1","Varioface","Active","Receptacle, Female Sockets","Individual Wire Leads","DB37","37","6.56' (2.00m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.ittcannon.com/Core/medialibrary/ITTCannon/website/Literature/Catalogs-Brochures/ITT-Cannon-Microminiature-Connectors-Catalog.pdf,//media.digikey.com/Photos/ITT%20Cannon/MDM-31PH006B-F222.jpg,1003-2412-ND,MDM-31PH006B-F222,"ITT Cannon, LLC",CABLE ASY D TO MIC D 31P 914.4MM,12,0,"143.29000","0","1","83513-Style Micro D Metal Shell (MDM)","Active","Plug, Male Pins","Individual Wire Leads","D-Type, Micro-D","31","3.00' (914.40mm)","-","Multiple, Individual","-","Gold","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/Cable-D_Sub_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2302308.JPG,277-5113-ND,2302308,Phoenix Contact,CABLE ASSY DB50 SHIELDED GRAY 3M,21,67,"148.05000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB50","50","9.84' (3.00m)","Shielded","Gray, Individual (Round)","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/ITT%20PDFs/MDM-25SH006L.pdf,//media.digikey.com/Photos/ITT%20Cannon/MDM-25SH006L.jpg,1003-2004-ND,MDM-25SH006L,"ITT Cannon, LLC",CABLE ASY D TO MIC D 25P 914.4MM,21,0,"149.91000","0","1","MDM","Active","Plug, Female Sockets","Individual Wire Leads","D-Type, Micro-D","25","3.00' (914.40mm)","-","Multiple","-","Gold","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2926328.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2926328.jpg,277-9460-ND,2926328,Phoenix Contact,CABLE ASSY DB50 SHIELDED GRAY 2M,15,0,"151.20000","0","1","-","Active","Receptacle, Female Sockets","Individual Wire Leads","DB50","50","6.56' (2.00m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.ittcannon.com/Core/medialibrary/ITTCannon/website/Literature/Catalogs-Brochures/ITT-Cannon-Microminiature-Connectors-Catalog.pdf,//media.digikey.com/Photos/ITT%20Cannon/MDM-25SH006B-A174-F222.jpg,1003-2438-ND,MDM-25PH006B-A174-F222,"ITT Cannon, LLC",CABLE ASY D TO MIC D 25P 914.4MM,15,0,"178.67000","0","1","83513-Style Micro D Metal Shell (MDM)","Active","Plug, Male Pins","Individual Wire Leads","D-Type, Micro-D","25","3.00' (914.40mm)","-","Multiple, Individual","-","Gold","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1925217&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1925217-9.jpg,A118852-ND,1925217-9,"TE Connectivity Aerospace, Defense and Marine",CABLE ASY DB25 TO MICR D 457.2MM,24,0,"179.27000","0","1","-","Active","Plug, Male Pins","Individual Wire Leads","DB25, Micro-D","25","1.50' (457.20mm)","Unshielded","Multiple, Individual","-","Nickel","-"
https://belfuse.com/resources/AIMCambridge/dr-30-9506-29.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/30-9506-29.jpg,367-1184-ND,30-9506-29,Cinch Connectivity Solutions AIM-Cambridge,CABLE ASSY DB09 TO DB25 1.83M,89,0,"4.45000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09, DB25","9, 25","6.00' (1.83m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
http://cnctech.us/pdfs/720-10020-00300.pdf,//media.digikey.com/Photos/CnC%20Tech/720-10020-00300.jpg,1175-1155-ND,720-10020-00300,CNC Tech,CABLE ASSY DB09 SHLD BEIGE 3M,51,0,"4.63000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","9.84' (3.00m)","Shielded","Beige, Individual (Round)","Null Modem","Gold","Flash"
https://assets.tripplite.com/product-pdfs/en/p520006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P520-006.jpg,TL672-ND,P520-006,Tripp Lite,CABLE ASSY DB09 SHLD BEIGE 1.83M,49,0,"5.05000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","6.00' (1.83m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/P502-yyy-SM_Dwg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P502-00x-SM%20Series.jpg,TL651-ND,P502-003-SM,Tripp Lite,CABLE ASSY HD15 SHLD BLK 914.4MM,65,0,"9.85000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD15","14","3.00' (914.40mm)","Shielded","Black, Individual (Round)","VGA Monitor","Gold","Flash"
http://www.cablesondemand.com/images/diagrams/CS-DSSMDB9MM0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSSMDB9MM0.jpg,CS-DSSMDB9MM0-005-ND,CS-DSSMDB9MM0-005,Amphenol ICC (Commercial Products),CABLE ASSY DB09 SHLD GRAY 1.52M,79,0,"11.23000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","DB09","9","5.00' (1.52m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB09MF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB09MF.jpg,CS-DSDMDB09MF-003-ND,CS-DSDMDB09MF-003,Amphenol ICC (Commercial Products),CABLE ASSY DB09 SHLD GRY 914.4MM,73,0,"13.54000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","3.00' (914.40mm)","Shielded","Gray, Individual (Round)","-","-","-"
