Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Length","Color","Features"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821009-06.pdf,-,1821009-06-ND,1821009-06,Qualtek,CBL IEEE1394 6POS TO 4POS 6',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 6 Position","Plug, 4 Position","6.00' (1.83m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821011-06.pdf,-,1821011-06-ND,1821011-06,Qualtek,CBL IEEE1394 4POS TO 4POS 6',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 4 Position","Plug, 4 Position","6.00' (1.83m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821013-10.pdf,-,1821013-10-ND,1821013-10,Qualtek,CBL IEEE1394 6POS TO 6POS 10',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 6 Position","Plug, 6 Position","10.00' (3.05m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821015-10.pdf,-,1821015-10-ND,1821015-10,Qualtek,CBL IEEE1394 6POS TO 4POS 10',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 6 Position","Plug, 4 Position","10.00' (3.05m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821017-10.pdf,-,1821017-10-ND,1821017-10,Qualtek,CBL IEEE1394 4POS TO 4POS 10',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 4 Position","Plug, 4 Position","10.00' (3.05m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821019-15.pdf,-,1821019-15-ND,1821019-15,Qualtek,CBL IEEE1394 6POS TO 6POS 15',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 6 Position","Plug, 6 Position","15.00' (4.57m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821021-15.pdf,-,1821021-15-ND,1821021-15,Qualtek,CBL IEEE1394 6POS TO 4POS 15',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 6 Position","Plug, 4 Position","15.00' (4.57m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/1821023-15.pdf,-,1821023-15-ND,1821023-15,Qualtek,CBL IEEE1394 4POS TO 4POS 15',0,0,"Obsolete","0","3000","-","Obsolete","Plug, 4 Position","Plug, 4 Position","15.00' (4.57m)","Black","-"
-,//media.digikey.com/photos/Bulgin%20Photos/PX0417^2M00.JPG,708-1279-ND,PX0417/2M00,Bulgin,CBL IEEE1394 4POS TO 4POS 6.56',0,0,"Obsolete","0","25","Buccaneer®","Obsolete","Plug, 4 Position, Circular Threaded Housing","Plug, 4 Position","6.56' (2.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/PX0417%204M00.JPG,708-1280-ND,PX0417/4M00,Bulgin,CBL IEEE1394 4POS TO 4POS 13',0,0,"Obsolete","0","25","Buccaneer®","Obsolete","Plug, 4 Position, Circular Threaded Housing","Plug, 4 Position","13.12' (4.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/px0418%202m00.JPG,708-1281-ND,PX0418/2M00,Bulgin,CBL IEEE1394 4POS TO 6POS 6.56',0,0,"Obsolete","0","25","Buccaneer®","Obsolete","Plug, 4 Position, Circular Threaded Housing","Plug, 6 Position","6.56' (2.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/px0418%204m00.JPG,708-1282-ND,PX0418/4M00,Bulgin,CBL IEEE1394 4POS TO 6POS 13',0,0,"Obsolete","0","25","Buccaneer®","Obsolete","Plug, 4 Position, Circular Threaded Housing","Plug, 6 Position","13.12' (4.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/px0846%202m00.JPG,708-1283-ND,PX0846/2M00,Bulgin,CBL IEEE1394 6POS TO 6POS 6.56',0,0,"Obsolete","0","10","Buccaneer®","Obsolete","Plug, 6 Position, Circular Threaded Housing","Plug, 6 Position","6.56' (2.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/PX0846%204M00.JPG,708-1284-ND,PX0846/4M00,Bulgin,CBL IEEE1394 6POS TO 6POS 13',0,0,"Obsolete","0","10","Buccaneer®","Obsolete","Plug, 6 Position, Circular Threaded Housing","Plug, 6 Position","13.12' (4.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/PX0851%5E2M00.JPG,708-1285-ND,PX0851/2M00,Bulgin,CBL IEEE1394 6POS TO 4POS 6.56',0,0,"Obsolete","0","10","Buccaneer®","Obsolete","Plug, 6 Position, Circular Threaded Housing","Plug, 4 Position","6.56' (2.00m)","Black","Industrial Environments - IP68"
-,//media.digikey.com/photos/Bulgin%20Photos/PX0851%204M00.JPG,708-1286-ND,PX0851/4M00,Bulgin,CBL IEEE1394 6POS TO 4POS 13',0,0,"Obsolete","0","10","Buccaneer®","Obsolete","Plug, 6 Position, Circular Threaded Housing","Plug, 4 Position","13.12' (4.00m)","Black","Industrial Environments - IP68"
http://cnctech.us/pdfs/770-10010-00180.pdf,-,770-10010-00180-ND,770-10010-00180,CNC Tech,CBL IEEE1394 4POS TO 4POS 6',0,0,"Active","0","0","-","Active","Plug, 4 Position","Plug, 4 Position","6.00' (1.83m)","Black","-"
-,-,770-10010-00300-ND,770-10010-00300,CNC Tech,CBL IEEE1394 4POS TO 4POS 9.84',0,0,"Active","0","0","-","Active","Plug, 4 Position","Plug, 4 Position","9.84' (3.00m)","Black","-"
-,-,770-10010-00500-ND,770-10010-00500,CNC Tech,CBL IEEE1394 4POS TO 4POS 16',0,0,"Active","0","0","-","Active","Plug, 4 Position","Plug, 4 Position","16.40' (5.00m)","Black","-"
http://cnctech.us/pdfs/770-10011-00180.pdf,-,770-10011-00180-ND,770-10011-00180,CNC Tech,CBL IEEE1394 6POS TO 4POS 6',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 4 Position","6.00' (1.83m)","Black","-"
http://cnctech.us/pdfs/770-10011-00300.pdf,-,770-10011-00300-ND,770-10011-00300,CNC Tech,CBL IEEE1394 6POS TO 4POS 9.84',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 4 Position","9.84' (3.00m)","Black","-"
http://cnctech.us/pdfs/770-10011-00500.pdf,-,770-10011-00500-ND,770-10011-00500,CNC Tech,CBL IEEE1394 6POS TO 4POS 16',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 4 Position","16.40' (5.00m)","Black","-"
http://cnctech.us/pdfs/770-10012-00180.pdf,-,770-10012-00180-ND,770-10012-00180,CNC Tech,CBL IEEE1394 6POS TO 6POS 6',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 6 Position","6.00' (1.83m)","Black","-"
http://cnctech.us/pdfs/770-10012-00300.pdf,-,770-10012-00300-ND,770-10012-00300,CNC Tech,CBL IEEE1394 6POS TO 6POS 9.84',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 6 Position","9.84' (3.00m)","Black","-"
http://cnctech.us/pdfs/770-10012-00500.pdf,-,770-10012-00500-ND,770-10012-00500,CNC Tech,CBL IEEE1394 6POS TO 6POS 16',0,0,"Active","0","0","-","Active","Plug, 6 Position","Plug, 6 Position","16.40' (5.00m)","Black","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654235.jpg,1654248-ND,1654248,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 6.56',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position","Plug, 6 Position","6.56' (2.00m)","Blue","IP20"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1654141.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654141.jpg,1654141-ND,1654141,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 1.64',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position, Circular Threaded Housing","Plug, 6 Position","1.64' (500.00mm)","Blue","Industrial Environments - IP67"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1654222.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654222.jpg,1654222-ND,1654222,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 1.64',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position","Plug, 6 Position","1.64' (500.00mm)","Blue","IP20"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1654235.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654235.jpg,1654235-ND,1654235,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 3.28',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position","Plug, 6 Position","3.28' (1.00m)","Blue","IP20"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1654251.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654235.jpg,1654251-ND,1654251,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 16',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position","Plug, 6 Position","16.40' (5.00m)","Blue","IP20"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1656783.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1654235.jpg,1656783-ND,1656783,Phoenix Contact,CBL IEEE1394 6POS TO 6POS 25',0,0,"Obsolete","0","1","-","Obsolete","Plug, 6 Position","Plug, 6 Position","24.61' (7.50m)","Blue","IP20"
-,-,0687690029-ND,0687690029,Molex,CBL IEEE1394 9POS TO 9POS 15',0,0,"Obsolete","0","100","-","Obsolete","Plug, 9 Position","Plug, 9 Position","15.00' (4.57m)","-","0.86"" (22mm) Tip Length"
