Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact Termination","Length","Number of Positions","Pitch"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-080xx.jpg,A9CCG-0803F-ND,A9CCG-0803F,TE Connectivity AMP Connectors,FLEX CABLE - AFG08G/AF08/AFG08G,552,0,"4.29000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","3.00"" (76.20mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-040xx.jpg,A9CCG-0408F-ND,A9CCG-0408F,TE Connectivity AMP Connectors,FLEX CABLE - AFG04G/AF04/AFG04G,581,0,"4.34000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","8.00"" (203.20mm)","4","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-060xx.jpg,A9BBG-0606F-ND,A9BBG-0606F,TE Connectivity AMP Connectors,FLEX CABLE - AFF06G/AF06/AFF06G,700,0,"4.41000","0","1","-","Active","Receptacle to Receptacle","6.00"" (152.40mm)","6","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-140xx.jpg,A9CAG-1403F-ND,A9CAG-1403F,TE Connectivity AMP Connectors,FLEX CABLE - AFG14G/AF14/AFE14T,505,0,"4.41000","0","1","-","Active","Receptacle with Latch to Solder Tab","3.00"" (76.20mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487547&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-080xx.jpg,A9CCA-0806E-ND,A9CCA-0806E,TE Connectivity AMP Connectors,FLEX CABLE - AFK08A/AE08/AFK08A,893,0,"4.43000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","6.00"" (152.40mm)","8","0.050"" (1.27mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-130xx.jpg,A9BAG-1302F-ND,A9BAG-1302F,TE Connectivity AMP Connectors,FLEX CABLE - AFF13G/AF13/AFE13T,451,0,"4.45000","0","1","-","Active","Receptacle to Solder Tab","2.00"" (50.80mm)","13","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-050xx.jpg,A9CCG-0505F-ND,A9CCG-0505F,TE Connectivity AMP Connectors,FLEX CABLE - AFG05G/AF05/AFG05G,484,0,"4.48000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","5.00"" (127.00mm)","5","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-050xx.jpg,A9BBA-0508F-ND,A9BBA-0508F,TE Connectivity AMP Connectors,FLEX CABLE - AFF05A/AF05/AFF05A,498,0,"4.49000","0","1","-","Active","Receptacle to Receptacle","8.00"" (203.20mm)","5","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0802F-ND,A9BBG-0802F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,514,0,"4.53000","0","1","-","Active","Receptacle to Receptacle","2.00"" (50.80mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-060xx.jpg,A9BBG-0608F-ND,A9BBG-0608F,TE Connectivity AMP Connectors,FLEX CABLE - AFF06G/AF06/AFF06G,519,0,"4.57000","0","1","-","Active","Receptacle to Receptacle","8.00"" (203.20mm)","6","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-130xx.jpg,A9BAG-1303F-ND,A9BAG-1303F,TE Connectivity AMP Connectors,FLEX CABLE - AFF13G/AF13/AFE13T,508,0,"4.57000","0","1","-","Active","Receptacle to Solder Tab","3.00"" (76.20mm)","13","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487547&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-060xx.jpg,A9CCA-0606E-ND,A9CCA-0606E,TE Connectivity AMP Connectors,FLEX CABLE - AFK06A/AE06/AFK06A,486,0,"4.58000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","6.00"" (152.40mm)","6","0.050"" (1.27mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0803F-ND,A9BBG-0803F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,511,0,"4.62000","0","1","-","Active","Receptacle to Receptacle","3.00"" (76.20mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-120xx.jpg,A9CAG-1208F-ND,A9CAG-1208F,TE Connectivity AMP Connectors,FLEX CABLE - AFG12G/AF12/AFE12T,727,0,"4.68000","0","1","-","Active","Receptacle with Latch to Solder Tab","8.00"" (203.20mm)","12","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-130xx.jpg,A9BAG-1304F-ND,A9BAG-1304F,TE Connectivity AMP Connectors,FLEX CABLE - AFF13G/AF13/AFE13T,509,0,"4.70000","0","1","-","Active","Receptacle to Solder Tab","4.00"" (101.60mm)","13","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0804F-ND,A9BBG-0804F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,509,0,"4.72000","0","1","-","Active","Receptacle to Receptacle","4.00"" (101.60mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-160xx.jpg,A9CAG-1602F-ND,A9CAG-1602F,TE Connectivity AMP Connectors,FLEX CABLE - AFG16G/AF16/AFE16T,526,0,"4.73000","0","1","-","Active","Receptacle with Latch to Solder Tab","2.00"" (50.80mm)","16","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0805F-ND,A9BBG-0805F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,518,0,"4.81000","0","1","-","Active","Receptacle to Receptacle","5.00"" (127.00mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-130xx.jpg,A9BAG-1305F-ND,A9BAG-1305F,TE Connectivity AMP Connectors,FLEX CABLE - AFF13G/AF13/AFE13T,498,0,"4.83000","0","1","-","Active","Receptacle to Solder Tab","5.00"" (127.00mm)","13","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1402F-ND,A9BAG-1402F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,1714,0,"4.89000","0","1","-","Active","Receptacle to Solder Tab","2.00"" (50.80mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0806F-ND,A9BBG-0806F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,984,0,"4.90000","0","1","-","Active","Receptacle to Receptacle","6.00"" (152.40mm)","8","0.100"" (2.54mm)"
