Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Cable Type","Shielding","Style"
http://multimedia.3m.com/mws/media/297587O/3mtm-mdr-cable-assy-050-hispeed-video-data-trans-ts2103.pdf,//media.digikey.com/photos/3M%20Photos/14B50-SZWB-100-0NC.jpg,MCA113-1-ND,14B50-SZWB-100-0NC,3M,CABLE ASSY 50POS MDR-MDR PLUG 1M,0,0,"128.31600","0","5","Mini D Ribbon (MDR)","Active","Centronics 50 pos Male to Male","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
-,-,14H26-SZLS-050-0LC-ND,14H26-SZLS-050-0LC,3M,3M MINI D RIBBON (MDR) CABLE RA,0,0,"136.00000","0","5","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male, Right Angle","1.64' (500.00mm)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1SF26-L137-00C--xxx.jpg,1SF26-L137-00C-100-ND,1SF26-L137-00C-100,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"136.08200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_14T26-SZLB-450-0LC.jpg,14T26-SZLB-450-0LC-ND,14T26-SZLB-450-0LC,3M,CABLE ASSY MDR 26POS M-M 4.5M,0,0,"137.55200","0","20","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","14.76' (4.50m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22548O/3mtm-mdr-cable-assy-050-20-20-pos-14520-ezab-xxx-0ex-ts0858.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_14520-EZAB-A00-0EC.jpg,14520-EZAB-A00-0EC-ND,14520-EZAB-A00-0EC,3M,MINI D RIBBON CBL ASSY 20POS 10M,0,0,"139.80800","0","5","Mini D Ribbon (MDR)","Active","Centronics 20 pos Male to Male","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/492444O/3mtm-mini-d-ribbon-mdr-cable-assembly-ts2258.pdf,//media.digikey.com/Photos/3M%20Photos/MDR-14H26-SZ3M-200-03C.JPG,MCA128-2-ND,14H26-SZ3M-200-03C,3M,MDR CAMERA CABLE 26POS M-RA/M 2M,0,0,"142.85400","0","5","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","Round, Gray","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/585365O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2287.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1SD26-3120-00C-500.jpg,1SD26-3120-00C-500-ND,1SD26-3120-00C-500,3M,CABLE POCL SDR SDR 500CM GRAY,0,0,"143.86000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","16.40' (5.00m)","Round, Gray","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22428O/3mtm-mdr-cable-assy-26-position-ts0757.pdf,-,14526-EZ8B-A00-07C-ND,14526-EZ8B-A00-07C,3M,CABLE ASSY MDR 26POS M-M 10M,0,0,"146.59400","0","5","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,-,14B26-SZLB-700-0LC-ND,14B26-SZLB-700-0LC,3M,CABLE ASSY MDR 26POS M-M 7.0M,0,0,"148.37600","0","5","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","23.00' (7.01m)","Round, Beige","Shielded","Bidirectional"
-,-,1MF26-L577-00C-200-ND,1MF26-L577-00C-200,3M,CABLE 26 POS RIBBON SCSI - SCSI,0,0,"152.60600","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
