Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact End","Length","Wire Gauge","Contact Finish","Color","Contact Finish Thickness"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Wx.jpg,0500798000-08-W6-ND,0500798000-08-W6,Molex,8"" PRE-CRIMP 1853 WHITE,1190,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","White","35.4µin (0.90µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-Y6.jpg,H4BXG-10112-Y8-ND,H4BXG-10112-Y8,Hirose Electric Co Ltd,JUMPER-H9991TR/1852YL/X 12"",1150,0,"0.65000","0","10","DF13","Active","Socket to Cable (Round)","12.0"" (304.8mm)","28 AWG","Gold","Yellow","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-R6.jpg,H4BXG-10112-R8-ND,H4BXG-10112-R8,Hirose Electric Co Ltd,JUMPER-H9991TR/1852RD/X 12"",350,0,"0.65000","0","10","DF13","Active","Socket to Cable (Round)","12.0"" (304.8mm)","28 AWG","Gold","Red","-"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Lx.jpg,0500798000-08-L6-ND,0500798000-08-L6,Molex,8"" PRE-CRIMP 1853 BLUE,1020,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Blue","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Yx.jpg,0500798000-08-Y6-ND,0500798000-08-Y6,Molex,8"" PRE-CRIMP 1853 YELLOW,980,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Yellow","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Bx.jpg,0500798000-08-B6-ND,0500798000-08-B6,Molex,8"" PRE-CRIMP 1853 BLACK,940,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Sx.jpg,0500798000-08-S6-ND,0500798000-08-S6,Molex,8"" PRE-CRIMP 1853 SLATE,920,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Slate","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Gx.jpg,0500798000-08-G6-ND,0500798000-08-G6,Molex,8"" PRE-CRIMP 1853 GREEN,917,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Green","35.4µin (0.90µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/Renders/Hirose%20Elect%20Renders/H2BXG-10000-W6.jpg,H4BXG-10112-W8-ND,H4BXG-10112-W8,Hirose Electric Co Ltd,JUMPER-H9991TR/1852WH/X 12"",800,0,"0.65000","0","10","DF13","Active","Socket to Cable (Round)","12.0"" (304.8mm)","28 AWG","Gold","White","-"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Rx.jpg,0500798000-08-R6-ND,0500798000-08-R6,Molex,8"" PRE-CRIMP 1853 RED,820,0,"0.65000","0","10","PicoBlade","Active","Socket to Cable (Round)","8.00"" (203.20mm)","26 AWG","Tin","Red","35.4µin (0.90µm)"
//media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/DF3.pdf,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-R6.jpg,H2BXT-10105-R4-ND,H2BXT-10105-R4,Hirose Electric Co Ltd,JUMPER-H1500TR/A2015R/X 5"",800,0,"0.65100","0","10","DF3","Active","Socket to Cable (Round)","5.00"" (127.00mm)","24 AWG","Tin","Red","-"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Bx-D.jpg,0500798000-06-B8-D-ND,0500798000-06-B8-D,Molex,6"" PRE-CRIMP 1852 BLACK,1140,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Wx-D.jpg,0500798000-06-W8-D-ND,0500798000-06-W8-D,Molex,6"" PRE-CRIMP 1852 WHITE,965,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","White","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Sx-D.jpg,0500798000-06-S8-D-ND,0500798000-06-S8-D,Molex,6"" PRE-CRIMP 1852 SLATE,850,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Slate","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Rx-D.jpg,0500798000-06-R8-D-ND,0500798000-06-R8-D,Molex,6"" PRE-CRIMP 1852 RED,650,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Red","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Lx-D.jpg,0500798000-06-L8-D-ND,0500798000-06-L8-D,Molex,6"" PRE-CRIMP 1852 BLUE,640,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Blue","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/008500113_sd.pdf,//media.digikey.com/Photos/Molex/0008500113-xx-Bx.jpg,0008500113-06-B4-ND,0008500113-06-B4,Molex,6"" PRE-CRIMP A2015 BLACK,600,0,"0.65200","0","10","KK 2759","Active","Socket to Cable (Round)","6.00"" (152.40mm)","24 AWG","Tin","Black","100.0µin (2.54µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Yx-D.jpg,0500798000-06-Y8-D-ND,0500798000-06-Y8-D,Molex,6"" PRE-CRIMP 1852 YELLOW,550,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Yellow","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Gx-D.jpg,0500798000-06-G8-D-ND,0500798000-06-G8-D,Molex,6"" PRE-CRIMP 1852 GREEN,540,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Green","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Ax-D.jpg,0500798000-06-A8-D-ND,0500798000-06-A8-D,Molex,6"" PRE-CRIMP 1852 ORANGE,520,0,"0.65200","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Orange","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/008500113_sd.pdf,//media.digikey.com/Photos/Molex/0008500113-xx-Rx.jpg,0008500113-06-R4-ND,0008500113-06-R4,Molex,6"" PRE-CRIMP A2015 RED,219,0,"0.65200","0","10","KK 2759","Active","Socket to Cable (Round)","6.00"" (152.40mm)","24 AWG","Tin","Red","100.0µin (2.54µm)"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Wx-D.jpg,0500588000-08-W1-D-ND,0500588000-08-W1-D,Molex,8"" PRE-CRIMP 3047 WHITE,1020,0,"0.65400","0","10","PicoBlade","Active","Socket to Socket","8.00"" (203.20mm)","30 AWG","Tin","White","35.4µin (0.90µm)"
