Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Terminal Strips","Number of Distribution Buses","Number of Tie Points (Total)","Number of 5-Tie Point Terminals","Number of Binding Posts","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/Photos/3M%20Photos/923297-I.JPG,3M155886-ND,923297-I,3M,BREADBRD TRM STRP 0.63X0.2"" 20PC,0,0,"21.22600","0","10","-","Active","Terminal Strip (No Frame)","1","-","4","-","-","0.63"" L x 0.20"" W (16.0mm x 5.1mm)"
-,-,923404-01-B-ND,923404-01-B,3M,BREADBOARD TERMINAL STRIP,0,0,"23.98300","0","200","-","Active","Terminal Strip (No Frame)","-","-","-","-","-","-"
http://globalspecialties.com/media/k2/attachments/PB-70E_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-70E.jpg,PB-70E-ND,PB-70E,Global Specialties,BREADBOARD ASSEMBLY 5.12X8.46"",0,0,"32.95000","0","1","-","Active","Assembly (On Frame)","2","4","1260","252","3","5.12"" L x 8.46"" W (130.0mm x 215.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923261-I.jpg,923261-ND,923261-I,3M,BREADBOARD TERM STRIP 6.50X1.36"",0,0,"36.91520","0","25","-","Active","Terminal Strip (No Frame)","1","-","640","128","-","6.50"" x 1.36"" (165.1mm x 34.5mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,-,923301-I-ND,923301-I,3M,BREADBOARD TERMINAL STRIP 20PC,0,0,"38.73280","0","25","-","Active","Terminal Strip (No Frame)","1","-","12","-","-","-"
http://www.globalspecialties.com/solderless-breadboards/breadboards-mounted/download/1033_ffa5366e86343a9e6148f79a84d19f02.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-60.jpg,PB-60-ND,PB-60,Global Specialties,BREADBOARD ASSEMBLY 6.57X6.06"",0,0,"42.00000","0","1","-","Active","Assembly (On Frame)","2","4","1680","256","4","6.57"" L x 6.06"" W (167.0mm x 154.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,-,923303-ND,923303-I,3M,BREADBOARD TERMINAL STRIP 20PC,0,0,"45.63200","0","10","-","Active","Terminal Strip (No Frame)","1","-","16","-","-","-"
http://www.globalspecialties.com/solderless-breadboards/breadboards-powered/download/1552_54fbccce702bcd8864f475a89469828a.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PRO-S-LAB.jpg,PRO-S-LAB-ND,PRO-S-LAB,Global Specialties,BREADBOARD ASSEMBLY 6.89X3.94"",0,0,"75.00000","0","1","-","Active","Assembly (On Frame)","1","2","840","128","3","6.89"" x 3.94"" (175.0mm x 100.0mm)"
http://www.globalspecialties.com/accessories/replacement-parts/download/1621_23bfe50ce10e9bcfbf3c949167dd7430.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_PB-5.jpg,PB-5-ND,PB-5,Global Specialties,BREADBOARD RPLC FOR PB-507,0,0,"116.40000","0","1","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,"//media.digikey.com/photos/3M%20Photos/923253-I,923749-I.jpg",923749-ND,923749-I,3M,BREADBOARD TERM STRIP 4.90X2.25"",0,0,"139.37600","0","10","-","Active","Terminal Strip (No Frame)","1","2","620","96","-","4.90"" x 2.25"" (124.5mm x 57.2mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,"//media.digikey.com/photos/3M%20Photos/923252-I,923748-I.jpg",923748-ND,923748-I,3M,BREADBOARD TERM STRIP 6.50X2.25"",0,0,"262.05900","0","10","-","Active","Terminal Strip (No Frame)","1","2","840","128","-","6.50"" x 2.25"" (165.1mm x 57.2mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2017_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2017.jpg,1528-2236-ND,2017,Adafruit Industries LLC,BREADBOARD TERM STRIP 0.70X0.30"",0,0,"0.75000","0","1","-","Active","Terminal Strip (No Frame)","1","2","-","-","-","0.70"" x 0.30"" (17.8mm x 7.6mm)"
