Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Size / Dimension","Board Thickness","Material"
//media.digikey.com/PDF/Data%20Sheets/Vector%20PDFs/12X12WE.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_12X12WE.jpg,V2041-ND,12X12WE,Vector Electronics,PROTO BOARD UNCLAD 12"" X 12"",94,0,"15.71000","0","1","Vectorbord®","Active","Unclad (No Copper)","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass"
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1010-ND,587,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 4"",95,0,"7.70000","0","1","500","Active","Copper Clad, Uncoated","6.00"" x 4.00"" (152.4mm x 101.6mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1002-ND,509,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 6"",41,0,"8.27000","0","1","500","Active","Copper Clad, Uncoated","6.00"" x 6.00"" (152.4mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1014-ND,603,MG Chemicals,PROTO BOARD COPPER CLAD 5"" X 3"",77,0,"9.13000","0","1","600","Active","Copper Clad, Positive Sensitized","5.00"" x 3.00"" (127.0mm x 76.2mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1015-ND,606,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 4"",68,0,"10.15000","0","1","600","Active","Copper Clad, Positive Sensitized","6.00"" x 4.00"" (152.4mm x 101.6mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1009-ND,588,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",65,0,"10.18000","0","1","500","Active","Copper Clad, Uncoated","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1016-ND,609,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 6"",40,0,"11.48000","0","1","600","Active","Copper Clad, Positive Sensitized","6.00"" x 6.00"" (152.4mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1004-ND,515,MG Chemicals,PROTO BOARD COPPER CLAD 10X8"",79,0,"13.60000","0","1","500","Active","Copper Clad, Uncoated","10.00"" x 8.00"" (254.0mm x 203.2mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1023-ND,650,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 6"",32,0,"15.59000","0","1","600","Active","Copper Clad, Positive Sensitized","6.00"" x 6.00"" (152.4mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/12X12WEC1.pdf,//media.digikey.com/renders/Injectorall%20Electronics%20Renders/304.8mmx304.8mmx1.57mm.jpg,V2021-ND,12X12WEC1,Vector Electronics,PROTO BOARD COPPER CLAD 12X12"",57,0,"15.71000","0","1","Vectorbord®","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1017-ND,612,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",60,0,"16.78000","0","1","600","Active","Copper Clad, Positive Sensitized","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/Pulsar%20PDFs/Copper_Clad_Rigid.pdf,//media.digikey.com/renders/Injectorall%20Electronics%20Renders/254.0mmx203.2mmx0.81mm.jpg,182-1018-ND,50-1502,Pulsar,PROTO BOARD COPPER CLAD 10X8"",70,0,"17.25000","0","1","-","Active","Copper Clad, Uncoated","10.00"" x 8.00"" (254.0mm x 203.2mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Double Sided, 1/2 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1022-ND,698,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",88,0,"21.93000","0","1","600","Active","Copper Clad, Positive Sensitized","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.015"" (0.40mm) 1/64""","Copper Clad FR4, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1025-ND,690,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",43,0,"22.95000","0","1","600","Active","Copper Clad, Positive Sensitized","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1024-ND,660,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",35,0,"22.95000","0","1","600","Active","Copper Clad, Positive Sensitized","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
