Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Length","Color","Wire Gauge"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/266_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_266.jpg,1528-1379-ND,266,Adafruit Industries LLC,JUMPER WIRE F/F 5.91"" 1PC,848,0,"3.95000","0","1","1 per Pkg","-","Active","Female to Female, Zippable, 40 Conductor","5.91"" (150.00mm)","Various","-"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/BC-32670.jpg,377-2262-ND,BC-32670,Bud Industries,JUMPER M/M 11.811"" 26AWG 10PCS,249,528,"4.50000","0","1","10 per Pkg","-","Active","Male to Male","11.811"" (300.00mm)","Various","26 AWG"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_BC-32671.jpg,377-2263-ND,BC-32671,Bud Industries,JUMPER M/F 11.811"" 26AWG 10PCS,171,0,"4.50000","0","1","10 per Pkg","-","Active","Male to Female","11.811"" (300.00mm)","Various","26 AWG"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0010_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0010.jpg,1738-1374-ND,FIT0010,DFRobot,JUMPER WIRE M TO M VARIOUS,174,0,"4.84000","0","1","-","-","Active","Male to Male","Various","Various","-"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/BC-32673.jpg,377-2265-ND,BC-32673,Bud Industries,JUMPER F/F 11.811"" 26AWG 10PCS,365,20,"5.00000","0","1","10 per Pkg","-","Active","Female to Female","11.811"" (300.00mm)","-","26 AWG"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11710_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11710.JPG,1568-1644-ND,PRT-11710,SparkFun Electronics,JUMPER F/F 6"" 20AWG 10PCS,103,0,"5.95000","0","1","10 per Pkg","-","Active","Female to Female","6.00"" (152.40mm)","Various","20 AWG"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/BC-32629.JPG,377-2261-ND,BC-32629,Bud Industries,JUMPER F/F 7.874"" 26AWG 1PC,171,0,"6.70000","0","1","1 per Pkg","-","Active","Female to Female, Zippable, 40 Conductor","7.874"" (200.00mm)","Various","26 AWG"
-,//media.digikey.com/photos/Microchip%20Tech%20Photos/AC163029.JPG,AC163029-ND,AC163029,Microchip Technology,JUMPER WIRE KIT 5"" MULTI COLORED,128,0,"12.00000","0","1","-","-","Active","Kit - Pre-Formed for Breadboard","5.000"" (127.00mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-08-C.jpg,923345-08-ND,923345-08-C,3M,JUMPER PREFORM 0.8"" 22AWG 150PCS,481,0,"20.56000","0","1","150 per Pkg","-","Active","Pre-Formed for Breadboard","0.800"" (20.32mm)","Gray","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-30-C.jpg,923345-30-ND,923345-30-C,3M,JUMPER PREFORM 3"" 22AWG 75PCS,427,0,"20.56000","0","1","75 per Pkg","-","Active","Pre-Formed for Breadboard","3.000"" (76.20mm)","Orange","22 AWG"
