Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Storage/Refrigeration Temperature","Shelf Life Start","Shelf Life"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/4190-GP.JPG,473-1036-ND,4190-GP,MG Chemicals,PEN ACRYLIC CONFORM GREEN .16OZ,0,0,"Obsolete","0","2","-","Obsolete","Overcoat Pen","Printed Circuit Boards","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/422A-P.jpg,473-1037-ND,422A-P,MG Chemicals,PEN SILICONE CONFORM CLEAR .16OZ,0,0,"Obsolete","0","1","-","Obsolete","Conformal Coating Pen","Printed Circuit Boards","-","Date of Manufacture","60 Months"
"//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/416-AP,B,G,H.pdf",//media.digikey.com/photos/MG%20Chemicals%20Photos/416-H.JPG,473-1039-ND,416-H,MG Chemicals,REPL HEATER FOR 416-E ADJ 200W,0,0,"Obsolete","0","1","-","Obsolete","Heater","Etching Kit","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/416-AP,B,G,H.pdf",-,473-1042-ND,416-AP,MG Chemicals,AIR PUMP REPL FOR 416-E ETCH KIT,0,0,"Obsolete","0","1","-","Obsolete","Air Pump","Etching Kit","-","-","-"
-,-,416-D-ND,416-D,MG Chemicals,HOSE ETCHANT SYPHON REPLACEMENT,0,0,"Obsolete","0","1","-","Obsolete","Hose","Etching Kit","-","-","-"
-,-,416DFR-5-ND,416DFR-5,MG Chemicals,NEGATIVE DRY FILM PHOTO RESIST,0,0,"Obsolete","0","1","-","Obsolete","Dry Film Resist","Etching Kit","-","-","-"
http://www.mgchemicals.com/downloads/appguide/appguide0804.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_416-K.jpg,416-K-ND,416-K,MG Chemicals,PHOTOFABRICATION KIT,0,0,"Obsolete","0","1","-","Obsolete","Photofabrication Kit","Etching Kit","-","Date of Manufacture","36 Months"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,-,473-1173-ND,862-150ML,MG Chemicals,SOLDER MASK LATEX PEELABLE 5OZ,0,0,"Obsolete","0","5","-","Obsolete","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","36 Months"
http://www.mgchemicals.com/downloads/pdf/specsheets/416ER.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/416-ER.jpg,473-1104-ND,416-ER,MG Chemicals,RUB-ON ETCH RESIST SHEET 8 SHTS,0,0,"Obsolete","0","5","-","Obsolete","Etching Kit","Printed Circuit Boards","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CMAQ1,8.pdf",-,CMAQ1-ND,CMAQ1,Chemtronics,SOLDER MASK,0,0,"Obsolete","0","1","-","Obsolete","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","12 Months"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CMAQ1,8.pdf",-,CMAQ8-ND,CMAQ8,Chemtronics,SOLDER MASK,0,0,"Obsolete","0","24","-","Obsolete","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","12 Months"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CMHT8,1.pdf",-,CMHT1-ND,CMHT1,Chemtronics,SOLDER MASK,0,0,"Obsolete","0","1","-","Obsolete","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CMHT8,1.pdf",-,CMHT8-ND,CMHT8,Chemtronics,SOLDER MASK,0,0,"Obsolete","0","24","-","Obsolete","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
https://www.techspray.com/content/msds/TC-533_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_53-4001-0533.jpg,1873-1099-ND,53-4001-0533,Techspray,TC533 TECHFORM PEELABLE SOLDER M,0,0,"Obsolete","0","12","Techform TC-533","Obsolete","Solder Mask","Printed Circuit Boards","120°F (49°C)","-","-"
-,//media.digikey.com/Photos/Datak/DE-54.jpg,DE-54-ND,DE-54,Datak,"DIR ETCH TRANS .125,.156 EDG CRD",0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/GC%20Electronics%20PDFs/22-0394.pdf,//media.digikey.com/photos/GC%20Electronics%20Photos/22-0394.JPG,GC394-ND,22-0394,GC Electronics,KIT ETCHING SYSTEM PCB PRO POWER,0,0,"Obsolete","0","1","-","Obsolete","Etching Kit","Printed Circuit Boards","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/GC%20Electronics%20PDFs/22-0392.pdf,//media.digikey.com/photos/GC%20Electronics%20Photos/22-0392.JPG,GC392-ND,22-0392,GC Electronics,HEATER ETCHING SOLUTION 120VAC,0,0,"Obsolete","0","1","-","Obsolete","Heater","Etching Kit","-","-","-"
