Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Diameter - Bit","Diameter - Shank","Material"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14850_Web.pdf,-,TOL-14850-ND,TOL-14850,SparkFun Electronics,DRILL BIT BALL CUTTR 0.0625"" DIA,0,0,"43.75000","0","1","-","Active","End Mill, Ball","0.063"" (1.60mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14851_Web.pdf,-,TOL-14851-ND,TOL-14851,SparkFun Electronics,DRILL BIT FLT CUTTER 0.0625"" DIA,0,0,"43.75000","0","1","-","Active","End Mill, Flat","0.063"" (1.60mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14857_Web.pdf,-,TOL-14857-ND,TOL-14857,SparkFun Electronics,FLAT CUTTER 0.125"" #102Z 2PK,0,0,"43.75000","0","1","-","Active","End Mill, Flat","0.125"" (3.18mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14815_Web.pdf,-,TOL-14815-ND,TOL-14815,SparkFun Electronics,PCB ENGRAVER #502 2 PACK,0,0,"50.00000","0","1","-","Active","End Mill, Engraving","0.005"" (0.13mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14816_Web.pdf,-,TOL-14816-ND,TOL-14816,SparkFun Electronics,PCB ENGRAVER #501 2 PACK,0,0,"50.00000","0","1","-","Active","End Mill, Engraving","-","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14853_Web.pdf,-,TOL-14853-ND,TOL-14853,SparkFun Electronics,FLAT CUTTER 0.0312\"" #122 3PK,0,0,"50.00000","0","1","-","Active","End Mill, Flat","0.031"" (0.79mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14854_Web.pdf,-,TOL-14854-ND,TOL-14854,SparkFun Electronics,FLAT CUTTER 0.25\"" #201 2PK,0,0,"50.00000","0","1","-","Active","End Mill, Flat","0.250"" (6.35mm)","0.250"" (6.35mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14856_Web.pdf,-,TOL-14856-ND,TOL-14856,SparkFun Electronics,FLAT CUTTER 0.25"" #201Z 2PK,0,0,"50.00000","0","1","-","Active","End Mill, Flat","0.250"" (6.35mm)","0.250"" (6.35mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-15040_Web.pdf,-,TOL-15040-ND,TOL-15040,SparkFun Electronics,ZRN COATED FLAT CUTTER 2PK,0,0,"50.00000","0","1","-","Active","End Mill, Flat","0.063"" (1.60mm)","0.125"" (3.18mm)","High Speed Steel (HSS)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14852_Web.pdf,-,TOL-14852-ND,TOL-14852,SparkFun Electronics,BALL CUTTER 0.0312\"" #121 3PK,0,0,"52.50000","0","1","-","Active","End Mill, Ball","0.031"" (0.79mm)","0.125"" (3.18mm)","Carbide"
