Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Contacts","Material"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/XTEND1000%20Manual.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_XTEND1000.jpg,XTEND1000-ND,XTEND1000,Twin Industries,CARD EXTENDERS BRD DEV CPCI/PMC,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_7586-EXT%20SERIES.jpg,7586-EXT-ND,7586-EXT,Twin Industries,CARD EXTENDERS PCI,0,0,"Obsolete","0","1","-","Obsolete","PCI","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_8196-EXT.jpg,8196-EXT-ND,8196-EXT,Twin Industries,CARD EXTENDERS VME,0,0,"Obsolete","0","1","-","Obsolete","VME","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_8192-EXT%20SERIES.jpg,8192-EXT-ND,8192-EXT,Twin Industries,CARD EXTENDERS 6U VME 9.2X9.625"",0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_2500-EXTM.jpg,2500-EXTM-ND,2500-EXTM,Twin Industries,CARD EXTENDERS PMC,0,0,"Obsolete","0","1","-","Obsolete","PMC","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_2502-EXTM.jpg,2502-EXTM-ND,2502-EXTM,Twin Industries,CARD EXTENDERS PMC,0,0,"Obsolete","0","1","-","Obsolete","PMC","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_7564-EXT.jpg,7564-EXT-ND,7564-EXT,Twin Industries,CARD EXTENDERS PCI,0,0,"Obsolete","0","1","-","Obsolete","PCI","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_3300-EXT.jpg,3300-EXT-ND,3300-EXT,Twin Industries,CARD EXTENDERS PCMCIA,0,0,"Obsolete","0","1","-","Obsolete","PCMCIA","-","-","-"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_7564-MINI.jpg,7564-MINI-ND,7564-MINI,Twin Industries,CARD EXTENDERS PCI MINI,0,0,"Obsolete","0","1","-","Obsolete","PCI, Mini","-","-","-"
-,-,2000-3U-160EX-ND,2000-3U-160EX,Twin Industries,CARD EXTENDERS PCI,0,0,"Obsolete","0","1","-","Obsolete","PCI","-","-","-"
-,-,8192-EXT-LF-ND,8192-EXT-LF,Twin Industries,CARD EXTENDERS 6U VME 9.2X9.625"",0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
