Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Package Accepted","Number of Positions","Pitch","Board Thickness","Material","Size / Dimension"
http://capitaladvanced.com/pdf%20documents/33708ids.pdf,//media.digikey.com/Photos/Capital%20Advanced%20Tech%20Photos/MFG_33708.jpg,33708CA-ND,33708,Capital Advanced Technologies,PROTOBOARD SMT FOR SM-8/SOT-228,150,0,"2.62000","0","1","33000, Surfboards®","Active","SMD to SIP","SM-8, SOT-228","8","0.100"" (2.54mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.800"" L x 0.550"" W (20.32mm x 13.97mm)"
http://www.capitaladvanced.com/pdf documents/33006ids.pdf,//media.digikey.com/Photos/Capital%20Advanced%20Tech%20Photos/33006.JPG,33006CA-ND,33006,Capital Advanced Technologies,PROTO BOARD ADAPTER SMT SOT-363,4105,0,"2.64000","0","1","33000, Surfboards®","Active","SMD to SIP","SC-70, SC-88, SOT-363","6","0.100"" (2.54mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.600"" L x 0.400"" W (15.24mm x 10.16mm)"
http://www.capitaladvanced.com/pdf documents/33206ids.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/33206.jpg,33206CA-ND,33206,Capital Advanced Technologies,PROTO BOARD ADAPTER SMT SOT-23-6,1390,0,"2.64000","0","1","33000, Surfboards®","Active","SMD to SIP","SC-74, SOT-23, SOT-26, SOT-59, SOT-457, TSOP, TSOT","6","0.100"" (2.54mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.600"" L x 0.400"" W (15.24mm x 10.16mm)"
http://www.capitaladvanced.com/pdf documents/33010ids.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/33010.jpg,33010CA-ND,33010,Capital Advanced Technologies,PROTOBOARD ADAPT SMT MICROMAX-10,109,0,"2.74000","0","1","33000, Surfboards®","Active","SMD to SIP","MICROMAX™, MSOP, SOT-552, TSSOP, USOP","10","0.100"" (2.54mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","1.000"" L x 0.400"" W (25.40mm x 10.16mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1492_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1492.jpg,1528-1096-ND,1492,Adafruit Industries LLC,FPC ADAPTER 50PIN 0.5MM PITCH,650,0,"2.95000","0","1","-","Active","SMD to Plated Through Hole Board","FPC","50","-","-","-","2.506"" L x 1.011"" W (63.66mm x 25.68mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4090_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/4090.jpg,1528-2873-ND,4090,Adafruit Industries LLC,ADAFRUIT USB C BREAKOUT BOARD -,148,0,"2.95000","0","1","-","Active","Connector to Plated Through Hole","USB - C","-","-","-","-","-"
http://www.capitaladvanced.com/pdf%20documents/9082ids.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/9082.jpg,9082CA-ND,9082,Capital Advanced Technologies,PROTOBOARD 8 SOIC SMT TO SIP,521,0,"3.50000","0","1","9000, Surfboards®","Active","SMD to SIP","SOIC","8","0.050"" (1.27mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.600"" L x 1.100"" W (15.24mm x 27.94mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/334_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/334.jpg,1528-1063-ND,334,Adafruit Industries LLC,BREAKOUT TOUCH 4COND 0.5MM FPC,676,0,"3.95000","0","1","-","Active","Connector to Plated Through Hole","FPC","4","0.020"" (0.50mm)","-","-","0.492"" L x 0.492"" W (12.50mm x 12.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1206_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1206%20SOIC-20.jpg,1528-1066-ND,1206,Adafruit Industries LLC,SMT ADAPTERS 3 PACK 20SOIC/TSSOP,331,0,"4.50000","0","1","-","Active","SMD to DIP","SOIC, TSSOP","20","-","-","-","1.009"" L x 0.700"" W (25.63mm x 17.79mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1230_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1230.jpg,1528-1072-ND,1230,Adafruit Industries LLC,SMT ADAPTERS 13 PACK,505,0,"4.95000","0","1","-","Active","SMD to DIP","SOT-23, SOT-89, SOT-223, TO-252","6","-","-","-","0.400"" L x 0.300"" W (10.16mm x 7.62mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1210_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1210.jpg,1528-1069-ND,1210,Adafruit Industries LLC,SMT ADAPTERS 6 PACK 14SOIC/TSSOP,302,0,"4.95000","0","1","-","Active","SMD to DIP","SOIC, TSSOP","14","-","-","-","0.700"" L x 0.700"" W (17.78mm x 17.78mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1208_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1208.jpg,1528-1068-ND,1208,Adafruit Industries LLC,SMT ADAPTERS 3 PACK 28SOIC/TSSOP,274,0,"4.95000","0","1","-","Active","SMD to DIP","SOIC, TSSOP","28","-","-","-","1.400"" L x 0.700"" W (35.56mm x 17.78mm)"
