Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Package Accepted","Number of Positions","Pitch","Board Thickness","Material","Size / Dimension"
https://github.com/sparkfun/RJ11_Breakout,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-14021.jpg,1568-1440-ND,BOB-14021,SparkFun Electronics,RJ11 BREAKOUT,98,0,"1.95000","0","1","-","Active","Connector to Plated Through Hole","RJ11","6","-","-","-","-"
https://github.com/sparkfun/Thumb_Joystick_Breakout/tree/V_1.2,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-09110.jpg,1568-1791-ND,BOB-09110,SparkFun Electronics,SPARKFUN THUMB JOYSTICK BREAKOUT,61,0,"1.95000","0","1","-","Active","Through Hole to SIP","Thumb Joystick","14","-","-","-","1.250"" L x 1.000"" W (31.75mm x 25.40mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-09966_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-09966.JPG,1568-1191-ND,BOB-09966,SparkFun Electronics,USB MINI-B BREAKOUT,54,0,"2.50000","0","1","-","Active","Connector to Plated Through Hole","USB - mini B","5","-","-","-","1.000"" L x 0.800"" W (25.40mm x 20.30mm)"
http://www.chipquik.com/datasheets/PA0174.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0174.jpg,PA0174-ND,PA0174,Chip Quik Inc.,SOT-223-4 TO DIP-6 SMT ADAPTER,94,0,"2.69000","0","1","Proto-Advantage","Active","SMD to DIP","SOT-223","4","0.091"" (2.30mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.300"" (17.78mm x 7.62mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-SOT23-6.JPG,A879AR-ND,LCQT-SOT23-6,Aries Electronics,SOCKET ADAPTER SOT-23 TO 6DIP,805,0,"2.86000","0","1","Correct-A-Chip®","Active","SMD to DIP","SOT23","6","0.037"" (0.95mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.400"" L x 0.500"" W (10.16mm x 12.70mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SSOP-16_to_DIP_Adapter_Hookup_Guide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-13994_A.jpg,1568-1484-ND,BOB-13994,SparkFun Electronics,SSOP TO DIP ADAPTER - 16-PIN,119,0,"2.95000","0","1","-","Active","SMD to DIP","SSOP","16","-","-","-","-"
http://www.chipquik.com/datasheets/F127T254P16.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_F127T254P16.jpg,F127T254P16-ND,F127T254P16,Chip Quik Inc.,PITCH CHANGER 1.27 MM TO 2.54 MM,39,0,"2.99000","0","1","Proto-Advantage","Active","Plated Through Hole to Plated Through Hole","-","16","0.050"" (1.27mm)","0.063"" (1.60mm)","FR4 Epoxy Glass","-"
http://www.chipquik.com/datasheets/PA0180.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0180.jpg,PA0180-ND,PA0180,Chip Quik Inc.,SUPERSOT-6/TSOT-6 TO DIP-6 SMT,84,0,"3.19000","0","1","Proto-Advantage","Active","SMD to DIP","SuperSOT, TSOT","6","0.037"" (0.95mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.300"" (17.78mm x 7.62mm)"
http://www.chipquik.com/datasheets/PA0168.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0168.jpg,PA0168-ND,PA0168,Chip Quik Inc.,MINI SOIC-8 TO DIP-8 SMT ADAPTER,34,0,"3.19000","0","1","Proto-Advantage","Active","SMD to DIP","MiniSOIC","8","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.400"" (17.78mm x 10.16mm)"
http://www.chipquik.com/datasheets/PA0049.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0049.JPG,PA0049-ND,PA0049,Chip Quik Inc.,MLP/DFN-6 TO DIP-6 SMT ADAPTER,34,0,"3.19000","0","1","Proto-Advantage","Active","SMD to DIP","DFN, MLP","6","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.300"" (17.78mm x 7.62mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-MSOP10.JPG,A881AR-ND,LCQT-MSOP10,Aries Electronics,SOCKET ADAPTER MSOP TO 10DIP,246,0,"3.22000","0","1","Correct-A-Chip®","Active","SMD to DIP","MSOP","10","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.600"" L x 0.500"" W (15.24mm x 12.70mm)"
http://www.chipquik.com/datasheets/PA0002.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0002.JPG,PA0002-ND,PA0002,Chip Quik Inc.,SOIC-8 TO DIP-8 SMT ADAPTER,96,0,"3.49000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","8","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.400"" (17.78mm x 10.16mm)"
http://www.chipquik.com/datasheets/PA0183.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0183.jpg,PA0183-ND,PA0183,Chip Quik Inc.,TO-252 DPAK TO DIP-6 SMT ADAPTER,54,0,"3.69000","0","1","Proto-Advantage","Active","SMD to DIP","TO-252 (DPAK)","3","0.091"" (2.30mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.300"" (17.78mm x 7.62mm)"
http://www.chipquik.com/datasheets/PA0182.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0182.jpg,PA0182-ND,PA0182,Chip Quik Inc.,SSOP-16 TO DIP-16 SMT ADAPTER,30,0,"3.69000","0","1","Proto-Advantage","Active","SMD to DIP","SSOP","16","0.025"" (0.64mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.800"" (17.78mm x 20.32mm)"
https://www.kitronik.co.uk/pdf/5104_micro_usb_breakout_with_power_switch_user_guide.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_5104.jpg,1927-1057-ND,5104,Kitronik Ltd.,KITRONIK MICRO USB BREAKOUT BOAR,65,0,"3.82000","0","1","-","Active","-","USB - micro","-","-","-","-","1.496"" L x 1.102"" W (38.00mm x 28.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00495_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-00495.jpg,1568-1091-ND,BOB-00495,SparkFun Electronics,SOIC TO DIP ADAPTER - 20-PIN,123,0,"3.95000","0","1","-","Active","SMD to DIP","SOIC","20","-","-","-","1.100"" L x 0.700"" W (27.94mm x 17.78mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00499_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-00499.jpg,1568-1095-ND,BOB-00499,SparkFun Electronics,SSOP TO DIP ADAPTER - 20-PIN,80,0,"3.95000","0","1","-","Active","SMD to DIP","SSOP","20","0.025"" (0.64mm)","-","-","1.000"" L x 0.700"" W (25.40mm x 17.78mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00500_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-00500.jpg,1568-1096-ND,BOB-00500,SparkFun Electronics,SSOP TO DIP ADAPTER - 28-PIN,76,0,"3.95000","0","1","-","Active","SMD to DIP","SSOP","28","0.025"" (0.64mm)","-","-","1.400"" L x 0.700"" W (35.56mm x 17.78mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00496_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-00496.jpg,1568-1092-ND,BOB-00496,SparkFun Electronics,SOIC TO DIP ADAPTER - 28-PIN,45,0,"3.95000","0","1","-","Active","SMD to DIP","SOIC","28","-","-","-","1.500"" L x 0.700"" W (38.10mm x 17.78mm)"
http://www.chipquik.com/datasheets/PA0017.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0017.JPG,PA0017-ND,PA0017,Chip Quik Inc.,SSOP-16 TO DIP-16 SMT ADAPTER,40,0,"4.09000","0","1","Proto-Advantage","Active","SMD to DIP","SSOP","16","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.800"" (17.78mm x 20.32mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-SOIC14W.JPG,A884AR-ND,LCQT-SOIC14W,Aries Electronics,SOCKET ADAPTER SOIC-W TO 14DIP,27,0,"4.09000","0","1","Correct-A-Chip®","Active","SMD to DIP","SOIC","14","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" L x 0.700"" W (17.78mm x 17.78mm)"
http://www.chipquik.com/datasheets/PA0184.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0184.jpg,PA0184-ND,PA0184,Chip Quik Inc.,TO-263-3 DDPAK/D2PAK TO DIP-6 SM,104,0,"4.19000","0","1","Proto-Advantage","Active","SMD to DIP","TO-263 (DDPAK/D2PAK)","3","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.300"" (17.78mm x 7.62mm)"
http://www.chipquik.com/datasheets/PCB3006-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PCB3006-1.jpg,PCB3006-1-ND,PCB3006-1,Chip Quik Inc.,QFP ADAPTER 0.5MM PITCH 48 64 80,45,0,"4.19000","0","1","Proto-Advantage","Active","SMD to PGA","QFP","48, 64, 80, 100","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.600"" x 1.600"" (40.64mm x 40.64mm)"
http://www.chipquik.com/datasheets/PA0008.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0008.JPG,PA0008-ND,PA0008,Chip Quik Inc.,SOIC-20 TO DIP-20 SMT ADAPTER,59,0,"4.69000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","20","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.000"" (17.78mm x 25.40mm)"
http://www.chipquik.com/datasheets/PA0007.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0007.JPG,PA0007-ND,PA0007,Chip Quik Inc.,SOIC-18 TO DIP-18 SMT ADAPTER,61,0,"4.69000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","18","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.000"" (17.78mm x 25.40mm)"
http://www.chipquik.com/datasheets/FPC050P020.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_FPC050P020.JPG,FPC050P020-ND,FPC050P020,Chip Quik Inc.,FPC/FFC SMT CONN .5MM PITCH 20PI,87,0,"4.79000","0","1","Proto-Advantage","Active","SMD to DIP","FPC Connector","20","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.900"" x 1.050"" (22.86mm x 26.67mm)"
http://www.chipquik.com/datasheets/PA0061.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0061.JPG,PA0061-ND,PA0061,Chip Quik Inc.,QFN-16 TO DIP-16 SMT ADAPTER,85,0,"4.79000","0","1","Proto-Advantage","Active","SMD to DIP","QFN","16","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.800"" (17.78mm x 20.32mm)"
http://www.chipquik.com/datasheets/PA0185.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0185.jpg,PA0185-ND,PA0185,Chip Quik Inc.,TO-263-5 DDPAK/D2PAK TO DIP-10,54,0,"4.79000","0","1","Proto-Advantage","Active","SMD to DIP","TO-263 (DDPAK/D2PAK)","5","0.067"" (1.70mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.500"" (17.78mm x 12.70mm)"
http://www.chipquik.com/datasheets/DR050D254P020.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DR050D254P020.jpg,DR050D254P020-ND,DR050D254P020,Chip Quik Inc.,DUAL ROW 0.5MM PITCH 20-PIN CONN,42,0,"4.79000","0","1","Proto-Advantage","Active","SMD to DIP","0.5mm Connector","20","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.000"" (17.78mm x 25.40mm)"
http://www.chipquik.com/datasheets/DC0402T.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DC0402T.jpg,DC0402T-10X-ND,DC0402T-10X,Chip Quik Inc.,10PC DISCRETE 0402 TO 300MIL TH,87,0,"4.90000","0","1","Proto-Advantage","Active","SMD to DIP","0402","2","-","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.400"" x 0.100"" (10.16mm x 2.54mm)"
http://www.chipquik.com/datasheets/DC0603T.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DC0603T-10X.jpg,DC0603T-10X-ND,DC0603T-10X,Chip Quik Inc.,10PC DISCRETE 0603 TO 300MIL TH,78,0,"4.90000","0","1","Proto-Advantage","Active","SMD to DIP","0603","2","-","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.400"" x 0.100"" (10.16mm x 2.54mm)"
http://www.chipquik.com/datasheets/DC1206T.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DC1206T_10X.jpg,DC1206T-10X-ND,DC1206T-10X,Chip Quik Inc.,10PC DISCRETE 1206 TO 300MIL TH,44,0,"4.90000","0","1","Proto-Advantage","Active","SMD to DIP","1206","2","-","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.400"" x 0.100"" (10.16mm x 2.54mm)"
http://www.chipquik.com/datasheets/DC0603J-10X.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DC0603J-10X.jpg,DC0603J-10X-ND,DC0603J-10X,Chip Quik Inc.,DISCRETE 0603 TO TH ADAPTER - JU,37,0,"4.90000","0","1","Proto-Advantage","Active","SMD to Plated Through Hole","0603","2","0.063"" (1.60mm)","-","FR4 Epoxy Glass","0.400"" L x 0.200"" W (10.16mm x 5.08mm)"
http://www.logicalsys.com/datasht/sotd3sm18.pdf,//media.digikey.com/Photos/Logical%20Systems%20Photos/MFG_pa-sotd3sm18-06.jpg,309-1099-ND,PA-SOTD3SM18-06,Logical Systems Inc.,SOCKET ADAPTER SOIC TO 6DIP,35,0,"5.00000","0","1","-","Active","SMD to DIP","SOIC","6","0.037"" (0.95mm)","-","-","0.450"" L x 0.350"" W (11.43mm x 8.89mm)"
http://www.chipquik.com/datasheets/PA0063.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0063.JPG,PA0063-ND,PA0063,Chip Quik Inc.,QFN-20 TO DIP-20 SMT ADAPTER,95,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","QFN","20","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.000"" (17.78mm x 25.40mm)"
http://www.chipquik.com/datasheets/IPC0076.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0076.JPG,IPC0076-ND,IPC0076,Chip Quik Inc.,MSOP-8 TO DIP-12 SMT ADAPTER,58,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","MSOP","8","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 0.600"" (25.40mm x 15.24mm)"
http://www.chipquik.com/datasheets/CN0029.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CN0029.jpg,CN0029-ND,CN0029,Chip Quik Inc.,DB9 MALE ADAPTER BOARD,56,0,"5.29000","0","1","Proto-Advantage","Active","Connector to SIP","DB9","9","-","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.400"" x 1.200"" (10.16mm x 30.48mm)"
http://www.chipquik.com/datasheets/IPC0088.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0088.jpg,IPC0088-ND,IPC0088,Chip Quik Inc.,DFN-10 TO DIP-10 SMT ADAPTER,54,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","DFN","10","0.016"" (0.40mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 0.500"" (25.40mm x 12.70mm)"
http://www.chipquik.com/datasheets/IPC0061.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0061.JPG,IPC0061-ND,IPC0061,Chip Quik Inc.,DFN-8 TO DIP-12 SMT ADAPTER,52,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","DFN","8","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 0.600"" (25.40mm x 15.24mm)"
http://www.chipquik.com/datasheets/CN0007.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CN0007.jpg,CN0007-ND,CN0007,Chip Quik Inc.,USB - B ADAPTER BOARD,46,0,"5.29000","0","1","Proto-Advantage","Active","Connector to SIP","USB - B","4","-","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.700"" (17.78mm x 17.78mm)"
http://www.chipquik.com/datasheets/CN0006.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CN0006.jpg,CN0006-ND,CN0006,Chip Quik Inc.,USB - A ADAPTER BOARD,43,0,"5.29000","0","1","Proto-Advantage","Active","Connector to SIP","USB - A","4","-","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.700"" (17.78mm x 17.78mm)"
http://www.chipquik.com/datasheets/PA0186.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0186.jpg,PA0186-ND,PA0186,Chip Quik Inc.,TO-263-7 DDPAK/D2PAK TO DIP-14,36,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","TO-263 (DDPAK/D2PAK)","7","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.700"" (17.78mm x 17.78mm)"
http://www.chipquik.com/datasheets/PA0019.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0019.jpg,PA0019-ND,PA0019,Chip Quik Inc.,SSOP-24 TO DIP-24 SMT ADAPTER,36,0,"5.29000","0","1","Proto-Advantage","Active","SMD to DIP","SSOP","24","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.200"" (17.78mm x 30.48mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-TSSOP20.JPG,A888AR-ND,LCQT-TSSOP20,Aries Electronics,SOCKET ADAPTER TSSOP TO 20DIP,97,0,"5.42000","0","1","Correct-A-Chip®","Active","SMD to DIP","TSSOP","20","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" L x 0.700"" W (25.40mm x 17.78mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-SOIC20W.JPG,A890AR-ND,LCQT-SOIC20W,Aries Electronics,SOCKET ADAPTER SOIC-W TO 20DIP,33,0,"5.42000","0","1","Correct-A-Chip®","Active","SMD to DIP","SOIC","20","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" L x 0.700"" W (25.40mm x 17.78mm)"
http://www.chipquik.com/datasheets/FPC100P030.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_FPC100P030.JPG,FPC100P030-ND,FPC100P030,Chip Quik Inc.,FPC/FFC SMT CONNECTOR 1 MM PITCH,82,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","FPC Connector","30","0.039"" (1.00mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.900"" x 1.650"" (22.86mm x 41.91mm)"
http://www.chipquik.com/datasheets/PA0037.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0037.JPG,PA0037-ND,PA0037,Chip Quik Inc.,TSSOP-28 TO DIP-28 SMT ADAPTER,77,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","TSSOP","28","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 1.400"" (25.40mm x 35.56mm)"
http://www.chipquik.com/datasheets/IPC0077.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0077.JPG,IPC0077-ND,IPC0077,Chip Quik Inc.,MSOP-10 TO DIP-14 SMT ADAPTER,76,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","MSOP","10","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 0.700"" (25.40mm x 17.78mm)"
http://www.chipquik.com/datasheets/PA0030.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0030.jpg,PA0030-ND,PA0030,Chip Quik Inc.,QSOP-24 TO DIP-24 SMT ADAPTER,72,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","QSOP","24","0.025"" (0.64mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.200"" (17.78mm x 30.48mm)"
http://www.chipquik.com/datasheets/PA0064.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0064.JPG,PA0064-ND,PA0064,Chip Quik Inc.,QFN-24-THIN TO DIP-24 SMT ADAPTE,62,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","QFN THIN","24","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.200"" (17.78mm x 30.48mm)"
http://www.chipquik.com/datasheets/IPC0036.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0036.JPG,IPC0036-ND,IPC0036,Chip Quik Inc.,QFN-10 TO DIP-10 SMT ADAPTER,54,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","QFN","10","0.020"" (0.50mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 0.500"" (25.40mm x 12.70mm)"
http://www.chipquik.com/datasheets/PA0194.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0194.jpg,PA0194-ND,PA0194,Chip Quik Inc.,TSSOP-20-EXP-PAD TO DIP-20 SMT,42,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","TSSOP","20","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 1.000"" (17.78mm x 25.40mm)"
http://www.chipquik.com/datasheets/PA0011.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0011.JPG,PA0011-ND,PA0011,Chip Quik Inc.,SOIC-28 TO DIP-28 SMT ADAPTER,29,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","28","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 1.400"" (25.40mm x 35.56mm)"
http://www.chipquik.com/datasheets/PA0020.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0020.jpg,PA0020-ND,PA0020,Chip Quik Inc.,SSOP-28 TO DIP-28 SMT ADAPTER,29,0,"5.79000","0","1","Proto-Advantage","Active","SMD to DIP","SSOP","28","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","1.000"" x 1.400"" (25.40mm x 35.56mm)"
http://schmartboard.com/content/Brochures/204-0003-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/204-0003-01.jpg",1988-1002-ND,204-0003-01,"Schmartboard, Inc.",SCHMARTBOARDEZ SOT 23 & SC70 SMT,73,0,"6.00000","0","1","-","Active","SMD to DIP","SC70, SOT","-","-","-","-","1.990"" L x 0.790"" W (50.55mm x 20.07mm)"
http://schmartboard.com/content/Brochures/204-0006-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/204-0006-01.jpg",1988-1004-ND,204-0006-01,"Schmartboard, Inc.",SCHMARTBOARDEZ .65MM PITCH SOIC,65,0,"6.00000","0","1","-","Active","SMD to DIP","SOIC","28","0.026"" (0.65mm)","-","-","2.790"" L x 0.790"" W (70.87mm x 20.07mm)"
http://schmartboard.com/content/Brochures/204-0004-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/204-0004-01.jpg",1988-1003-ND,204-0004-01,"Schmartboard, Inc.",SCHMARTBOARDEZ 1.27MM PITCH SOIC,64,0,"6.00000","0","1","-","Active","SMD to DIP","SOIC","-","0.050"" (1.27mm)","-","-","2.690"" L x 0.790"" W (68.33mm x 20.07mm)"
http://schmartboard.com/content/Brochures/204-0026-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/204-0026-01.jpg",1988-1108-ND,204-0026-01,"Schmartboard, Inc.","SCHMARTBOARDEZ .5MM PITCH, 16 PI",47,0,"6.00000","0","1","-","Active","SMD to DIP","QFN, QFP","16","0.020"" (0.50mm)","-","-","0.160"" L x 0.600"" W (4.06mm x 15.24mm)"
http://schmartboard.com/content/Brochures/204-0021-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_204-0021-01.jpg",1988-1025-ND,204-0021-01,"Schmartboard, Inc.",SCHMARTBOARDEZ 0.5MM PITCH 8 PIN,45,0,"6.00000","0","1","-","Active","SMD to DIP","DFN","8","0.020"" (0.50mm)","-","-","0.790"" L x 0.595"" W (20.07mm x 15.11mm)"
http://schmartboard.com/content/Brochures/204-0016-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_204-0016-01.jpg",1988-1023-ND,204-0016-01,"Schmartboard, Inc.","SCHMARTBOARDEZ .5MM PITCH, 16 AN",39,0,"6.00000","0","1","-","Active","SMD to DIP","QFN, QFP","20","0.020"" (0.50mm)","-","-","-"
http://schmartboard.com/content/Brochures/204-0015-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_204-0015-01.jpg",1988-1022-ND,204-0015-01,"Schmartboard, Inc.","SCHMARTBOARDEZ .5MM PITCH, 12 AN",32,0,"6.00000","0","1","-","Active","SMD to DIP","QFN, QFP","24","0.020"" (0.50mm)","-","-","-"
http://schmartboard.com/content/Brochures/204-0022-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_204-0022-01.jpg",1988-1026-ND,204-0022-01,"Schmartboard, Inc.",SCHMARTBOARDEZ 0.5MM PITCH 10 PI,29,0,"6.00000","0","1","-","Active","SMD to DIP","DFN","10","0.020"" (0.50mm)","-","-","1.000"" L x 0.595"" W (25.40mm x 15.11mm)"
