Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Oxygen Range","Accuracy","Output","Operating Temperature","Voltage - Supply","Current - Supply"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-1-LC4-ND,MF020-1-LC4,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-0-LC4-ND,MF020-0-LC4,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-2-LC1-ND,MF020-2-LC1,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-1-LC1-ND,MF020-1-LC1,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-0-LC1-ND,MF020-0-LC1,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-2-LC2-ND,MF020-2-LC2,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-1-LC2-ND,MF020-1-LC2,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-0-LC2-ND,MF020-0-LC2,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
-,-,KGZ12DITT5V-ND,KGZ12DITT5V,Honeywell Sensing and Productivity Solutions,KGZ-12 HIGH-ACCURACY OXYGEN,0,0,"Obsolete","0","100","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","Voltage","700°C","4V","40mA"
-,-,KGZ12DITT4V-ND,KGZ12DITT4V,Honeywell Sensing and Productivity Solutions,KGZ-12 HIGH-ACCURACY OXYGEN,0,0,"Obsolete","0","100","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","Voltage","700°C","4V","40mA"
-,-,KGZ12DITT-ND,KGZ12DITT,Honeywell Sensing and Productivity Solutions,KGZ-12 HIGH-ACCURACY OXYGEN,0,0,"Obsolete","0","100","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","Voltage","700°C","4V","40mA"
-,-,KGZ12-ND,KGZ12,Honeywell Sensing and Productivity Solutions,KGZ-12 HIGH-ACCURACY OXYGEN,0,0,"Obsolete","0","5","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","Voltage","700°C","4V","40mA"
//media.digikey.com/pdf/Data%20Sheets/Thermometrics%20Global%20Business%20PDFs/T5000_Series.pdf,-,T5007GES-ND,T5007,Amphenol Advanced Sensors,CO2/TEMP SENSOR WALL MNT 0-10V,0,0,"Obsolete","0","10","T5000","Obsolete","Carbon Dioxide (CO2)","-","10%","0 V ~ 10 V","0°C ~ 50°C","18 VAC ~ 32VAC RMS, 18 VDC ~ 42 VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Thermometrics%20Global%20Business%20PDFs/T5000_Series.pdf,-,T5003-ND,T5003,Amphenol Advanced Sensors,CO2/TEMP SENSOR WALL MNT 0-10V,0,0,"Obsolete","0","10","T5000","Obsolete","Carbon Dioxide (CO2)","-","10%","0 V ~ 10 V","0°C ~ 50°C","18 VAC ~ 32VAC RMS, 18 VDC ~ 42 VDC","-"
-,-,HULSGMS10-ND,HULSGMS10,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN,0,0,"Obsolete","0","100","-","Obsolete","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/iAQ-engine_Manual.pdf,-,IAQ-ENGINE-ND,IAQ-ENGINE,ams,IAQ-ENGINE MODULE LF I2C & 0-5V-,0,0,"Obsolete","0","90","-","Obsolete","Air Quality","-","-","I²C","0°C ~ 50°C","4.75 ~ 5.25V","45mA"
-,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_110-401_Front.jpg,1684-1013-ND,110-401,"SPEC Sensors, LLC",SENSOR GAS OZONE ANALOG CUR MOD,0,0,"Obsolete","0","100","-","Obsolete","Ozone (O3)","-","±3%","Current","-30°C ~ 50°C","-","-"
//media.digikey.com/pdf/Data%20Sheets/SPEC%20Sensors%20PDFs/110-402.pdf,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_110-402.jpg,1684-1014-ND,110-402,"SPEC Sensors, LLC",SENSOR GAS OZONE ANALOG CUR MOD,0,0,"Obsolete","0","100","-","Obsolete","Ozone (O3)","-","±3%","Current","-30°C ~ 50°C","-","-"
//media.digikey.com/pdf/Data%20Sheets/SPEC%20Sensors%20PDFs/968-005.pdf,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_ULPSM-Gas-Sensor.jpg,1684-1015-ND,968-005,"SPEC Sensors, LLC",SENSOR OZONE ANALOG VOLTAGE MOD,0,0,"Obsolete","0","10","-","Obsolete","Ozone (O3)","-","±2%","0 V ~ 3 V","-40°C ~ 50°C","2.7V ~ 3.3V","15µA"
//media.digikey.com/pdf/Data%20Sheets/SPEC%20Sensors%20PDFs/110-501.pdf,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_110-501.jpg,1684-1017-ND,110-501,"SPEC Sensors, LLC",SENS GAS NITR DIOX ANALG CUR MOD,0,0,"Obsolete","0","100","-","Obsolete","Nitrogen Dioxide (NO2)","-","±3%","Current","-40°C ~ 50°C","-","-"
