Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Oxygen Range","Accuracy","Output","Operating Temperature","Voltage - Supply","Current - Supply"
-,-,ESCO2D5V-ND,ESCO2D5V,Carlo Gavazzi Inc.,SEN CO2 5000PPM 0-10V OUT,0,0,"569.42000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCOD5A-ND,ESCOD5A,Carlo Gavazzi Inc.,SEN CO 500PPM 4-20MA OUT,0,0,"569.42000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","4mA ~ 20mA","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCOD5V-ND,ESCOD5V,Carlo Gavazzi Inc.,SEN CO 500PPM 0-10V OUT,0,0,"569.42000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","0 V ~ 10 V","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCO2W2AM-ND,ESCO2W2AM,Carlo Gavazzi Inc.,SEN CO2 2000PPM 4-20MA OUT W/COM,0,0,"590.15000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCO2W2VM-ND,ESCO2W2VM,Carlo Gavazzi Inc.,SEN CO2 2000PPM 0-10V OUT W/COM,0,0,"590.15000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCOW3AM-ND,ESCOW3AM,Carlo Gavazzi Inc.,SEN CO 300PPM 4-20MA OUT,0,0,"590.15000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","4mA ~ 20mA","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCOW3VM-ND,ESCOW3VM,Carlo Gavazzi Inc.,SEN CO 300PPM 0-10V OUT W/COMM,0,0,"590.15000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","0 V ~ 10 V","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCO2W5AM-ND,ESCO2W5AM,Carlo Gavazzi Inc.,SEN CO2 5000PPM 4-20MA OUT W/COM,0,0,"631.62000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCO2W5VM-ND,ESCO2W5VM,Carlo Gavazzi Inc.,SEN CO2 5000PPM 0-10V OUT W/COM,0,0,"631.62000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCOW5AM-ND,ESCOW5AM,Carlo Gavazzi Inc.,SEN CO 500PPM 4-20MA OUT W/COMM,0,0,"631.62000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","4mA ~ 20mA","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCOW5VM-ND,ESCOW5VM,Carlo Gavazzi Inc.,SEN CO 500PPM 0-10V OUT W/COMM,0,0,"631.62000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","0 V ~ 10 V","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCO2D2AM-ND,ESCO2D2AM,Carlo Gavazzi Inc.,SEN CO2 2000PPM 4-20MA OUT W/COM,0,0,"638.80000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCO2D2VM-ND,ESCO2D2VM,Carlo Gavazzi Inc.,SEN CO2 2000PPM 0-10V OUT W/COM,0,0,"638.80000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCOD3AM-ND,ESCOD3AM,Carlo Gavazzi Inc.,SEN CO 300PPM 4-20A OUT W/COMM,0,0,"638.80000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","4mA ~ 20mA","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCOD3VM-ND,ESCOD3VM,Carlo Gavazzi Inc.,SEN CO 300PPM 0-10V OUT W/COMM,0,0,"638.80000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","0 V ~ 10 V","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
-,-,ESCO2D5AM-ND,ESCO2D5AM,Carlo Gavazzi Inc.,SEN CO2 5000PPM 4-20MA OUT W/COM,0,0,"684.26000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCO2D5VM-ND,ESCO2D5VM,Carlo Gavazzi Inc.,SEN CO2 5000PPM 0-10V OUT W/COM,0,0,"684.26000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,ESCOD5AM-ND,ESCOD5AM,Carlo Gavazzi Inc.,SEN CO 500PPM 4-20MA OUT W/COMM,0,0,"684.26000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","4mA ~ 20mA","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
