Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Pattern Type","Strain Range","Resistance","Resistance Tolerance","Length - Active","Length - Overall Pattern","Length - Overall","Width - Active","Width - Overall Pattern","Width - Overall","Operating Temperature"
http://www.vishaypg.com/docs/11244/187uv.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-187UV-350(Package).JPG,1033-1008-ND,MMF003189,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM SHEAR 1=5PC,111,0,"177.26000","0","1","CEA","Active","Shear/Torque","±5%","350 Ohms","±0.4%","0.187"" (4.75mm) per section","0.560"" (14.22mm)","0.63"" (15.9mm)","0.150"" (3.81mm) per section","0.320"" (8.13mm)","0.39"" (9.8mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11300/250ut.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-250UT-350(Package).JPG,1033-1012-ND,MMF003233,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM TEE 1=5PC,41,0,"203.90000","0","1","CEA","Active","Tee Rosette","±5%","350 Ohms","±0.4%","0.250"" (6.35mm) per section","0.450"" (11.43mm)","0.55"" (14.0mm)","0.290"" (7.37mm) per section","0.650"" (16.51mm)","0.74"" (18.8mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11519/standard-weldable.pdf,//media.digikey.com/Photos/Micro-Measurements/MMF003366.jpg,1033-1017-ND,MMF003366,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350OHM LINEAR 1=5PC,138,0,"221.76000","0","1","LWK","Active","Linear Weldable","0.5% (±5000µm/m)","350 Ohms","±0.4%","0.250"" (6.35mm)","0.620"" (15.70mm)","0.88"" (22.4mm)","0.125"" (3.18mm)","0.170"" (4.30mm)","0.32"" (8.1mm)","-320 ~ 500°F (-195 ~ 260°C)"
http://www.vishaypg.com/docs/11225/125ur.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-125UR-350(Package).JPG,1033-1005-ND,MMF003141,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM RECT 1=5PC,49,0,"236.16000","0","1","CEA","Active","Rectangular Rosette","±5%","350 Ohms","±0.4%","0.125"" (3.18mm) per section","0.300"" (7.62mm)","0.42"" (10.7mm)","0.060"" (1.52mm) per section","0.560"" (14.22mm)","0.62"" (15.7mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11299/250ur.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-250UR-350(Package).JPG,1033-1010-ND,MMF003216,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM RECT 1=5PC,90,0,"264.53000","0","1","CEA","Active","Rectangular Rosette","±5%","350 Ohms","±0.4%","0.250"" (6.35mm) per section","0.500"" (12.70mm)","0.65"" (16.5mm)","0.120"" (3.05mm) per section","0.760"" (19.30mm)","0.80"" (20.3mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11334/250us.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-250US-350(Package).JPG,1033-1011-ND,MMF003224,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM SHEAR 1=5PC,57,0,"384.34000","0","1","CEA","Active","Shear/Torque","±5%","350 Ohms","±0.4%","0.250"" (6.35mm) per section","0.820"" (20.83mm)","0.96"" (24.4mm)","0.120"" (3.05mm) per section","0.700"" (17.78mm)","0.80"" (20.3mm)","-100 ~ 350°F (-75 ~ 175°C)"
-,-,1033-1057-ND,MMF403743,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,50,0,"126.54000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1054-ND,MMF403341,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,30,0,"126.54000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1058-ND,MMF404144,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,50,0,"153.90000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1056-ND,MMF404142,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 120 OHM LINEAR 10PC,49,0,"153.90000","0","1","C4A","Active","Linear","±3%","120 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1055-ND,MMF404140,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,30,0,"153.90000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
