Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Color","Features","For Use With/Related Products","Material","Shell Size - Insert"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452848,//media.digikey.com/Photos/Phoenix%20Photos/1452848.jpg,277-13232-ND,1452848,Phoenix Contact,SENSOR ACTUATOR BOX,2,0,"114.46000","0","1","*","Active","-","-","-","-","-","-"
http://www.alphawire.com/~/media/A676A109537B4F5783EA8446E03A8EDA.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_803-CN.jpg,803-CNNC032-ND,803-CN NC032,Alpha Wire,M8 PLASTIC 6PORT 1SIG LED,2,0,"115.09000","0","1","803","Active","Actuator Box","Black","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1516014.pdf,//media.digikey.com/photos/Phoenix%20Photos/1516014.jpg,277-4830-ND,1516014,Phoenix Contact,SENSOR ACTUATOR BOX 4SLOT 3POS,2,0,"120.19000","0","1","PLUSCON","Active","Actuator Box","Green","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
http://www.alphawire.com/~/media/197D359A24D24168A197E70948A6D537.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_916-CN.jpg,916-CNNC032-ND,916-CN NC032,Alpha Wire,M12 PLASTIC 4PORT 1SIG LED,10,0,"120.87000","0","1","916","Active","Actuator Box","Orange","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452589,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1452615.jpg,277-13223-ND,1452589,Phoenix Contact,SENSOR ACTUATOR BOX,3,46,"121.87000","0","1","*","Active","-","-","-","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1516195.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1516030.jpg,277-8363-ND,1516195,Phoenix Contact,SENSOR ACTUATOR BOX 6SLOT 3POS,2,0,"126.67000","0","1","PLUSCON","Active","Actuator Box","Green","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1437258,//media.digikey.com/Photos/Phoenix%20Photos/PLUSCON--Series-4-Con.jpg,277-13185-ND,1437258,Phoenix Contact,SENSOR ACTUATOR BOX 4SLOT 5POS,4,39,"133.10000","0","1","PLUSCON","Active","Actuator Box","Green","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452851,//media.digikey.com/Photos/Phoenix%20Photos/1452851.jpg,277-13233-ND,1452851,Phoenix Contact,SENSOR ACTUATOR BOX,5,0,"133.53000","0","1","*","Active","-","-","-","-","-","-"
http://www.alphawire.com/~/media/B72C00B59F8948AF8E111CAE3CE37DC6.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_909-CN.jpg,909-CNNC032-ND,909-CN NC032,Alpha Wire,M12 PLASTIC 8PORT 1SIG,2,0,"135.00000","0","1","909","Active","Actuator Box","Orange","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M8, M12"
http://www.alphawire.com/~/media/EA8CC072C7D74FA58C4245A9351B5946.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/802-10M-NC032.jpg,802-10MNC032-ND,802-10M NC032,Alpha Wire,M8 PLASTIC 4PORT 1SIG LED,2,8,"136.53000","0","1","802","Active","Actuator Box","Black","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1517000,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1517000.jpg,277-13348-ND,1517000,Phoenix Contact,SENSOR ACTUATOR BOX 6SLOT 4POS,3,0,"141.32000","0","1","PLUSCON","Active","Actuator Box","Green","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
http://www.alphawire.com/~/media/66C06E4DF00A48AA9FA52F5A4E3B1F6F.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_800-CN.jpg,800-CNNC032-ND,800-CN NC032,Alpha Wire,M8 PLASTIC 10PORT 1SIG LED,3,0,"149.00000","0","1","800","Active","Actuator Box","Black","10 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1516205,//media.digikey.com/Photos/Phoenix%20Photos/1516205.jpg,277-4301-ND,1516205,Phoenix Contact,SENSOR ACTUATOR BOX 8SLOT 3POS,4,60,"149.66000","0","1","PLUSCON","Active","Actuator Box","Green","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8, M16"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1516030.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1516030.jpg,277-4831-ND,1516030,Phoenix Contact,SENSOR ACTUATOR BOX 6SLOT 3POS,9,0,"150.03000","0","1","PLUSCON","Active","Actuator Box","Green","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1692828,//media.digikey.com/Photos/Phoenix%20Photos/1692828.jpg,277-13684-ND,1692828,Phoenix Contact,SENSOR ACTUATOR BOX,7,0,"155.02000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1453038,//media.digikey.com/Photos/Phoenix%20Photos/1453038.jpg,277-13239-ND,1453038,Phoenix Contact,SENSOR ACTUATOR BOX,4,12,"157.09000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1516218,//media.digikey.com/Photos/Phoenix%20Photos/1516218.jpg,277-4427-ND,1516218,Phoenix Contact,SENSOR ACTUATOR BOX 10SLOT 3POS,5,29,"166.43000","0","1","PLUSCON","Active","Actuator Box","Green","10 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8, M16"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452521,//media.digikey.com/photos/Phoenix%20Photos/1452521.jpg,277-13222-ND,1452521,Phoenix Contact,SENSOR ACTUATOR BOX,3,0,"166.71000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452725,-,277-13229-ND,1452725,Phoenix Contact,SENSOR ACTUATOR BOX,6,23,"169.58000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452709,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1452738.jpg,277-13228-ND,1452709,Phoenix Contact,SENSOR ACTUATOR BOX,3,14,"176.37000","0","1","*","Active","-","-","-","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1516056.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1516056.jpg,277-4310-ND,1516056,Phoenix Contact,SENSOR ACTUATOR BOX 8SLOT 3POS,3,0,"183.65000","0","1","PLUSCON","Active","Actuator Box","Green","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
http://www.alphawire.com/~/media/8F33CBE6F2A44686B96F6EE16D7FFA1C.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/901-10M-NC032.jpg,901-10MNC032-ND,901-10M NC032,Alpha Wire,M12 DIE CAST 8PORT 1SIG,2,0,"186.89000","0","1","901","Active","Actuator Box","Beige","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M8, M12"
http://www.alphawire.com/~/media/66C06E4DF00A48AA9FA52F5A4E3B1F6F.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/800-10M-NC032.jpg,800-10MNC032-ND,800-10M NC032,Alpha Wire,M8 PLASTIC 10PORT 1SIG LED,2,0,"188.33000","0","1","800","Active","Actuator Box","Black","10 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1517026,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1517000.jpg,277-13349-ND,1517026,Phoenix Contact,SENSOR ACTUATOR BOX,2,0,"191.72000","0","1","*","Active","-","-","-","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1692721.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1692721.jpg,277-4285-ND,1692721,Phoenix Contact,SENSOR ACTUATOR BOX 8SLOT 5POS,3,84,"193.19000","0","1","PLUSCON","Active","Actuator Box","Green","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polyamide","M12, M23"
http://www.alphawire.com/~/media/4D1E6B2E31524E02A68815C2E3D0ACDF.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/912-xxM-NC032.jpg,912-10MNC032-ND,912-10M NC032,Alpha Wire,M12 PLASTIC 6PORT 1SIG LED,2,0,"193.21000","0","1","912","Active","Actuator Box","Orange","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M8, M12"
http://www.alphawire.com/~/media/2040B3A5349948E0ABFDC0B5E16C9E81.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/908-10M-NC032.jpg,908-10MNC032-ND,908-10M NC032,Alpha Wire,M12 PLASTIC 8PORT 1SIG LED,2,0,"204.28000","0","1","908","Active","Actuator Box","Orange","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452738,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1452738.jpg,277-13230-ND,1452738,Phoenix Contact,SENSOR ACTUATOR BOX,2,4,"211.95000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1516072,//media.digikey.com/Photos/Phoenix%20Photos/1516072.jpg,277-4428-ND,1516072,Phoenix Contact,SENSOR ACTUATOR BOX 10SLOT 3POS,5,114,"216.31000","0","1","PLUSCON","Active","Actuator Box","Green","10 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1517178,//media.digikey.com/Photos/Phoenix%20Photos/1517178.jpg,277-13350-ND,1517178,Phoenix Contact,SENSOR ACTUATOR BOX 8SLOT 4POS,7,4,"238.70000","0","1","PLUSCON","Active","Actuator Box","Green","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1401199,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1401199.jpg,277-12784-ND,1401199,Phoenix Contact,CABLE,6,2,"264.08000","0","1","PLUSCON","Active","Actuator Box","Black","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
http://www.lumberg-automationusa.com/lip/pdf/0980ESL391121.pdf,//media.digikey.com/Photos/Lumberg-Automation/MFG_0980-ESL-39x-121.jpg,1794-1108-ND,0980 ESL 391-121,Lumberg Automation,MULTIPROTOCOL M12 SENSOR BLOCK,9,0,"455.40000","0","1","-","Active","Actuator Box","Beige","12 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
https://lumberg-automationusa.com/lip/pdf/0980ESL393121.pdf,//media.digikey.com/Photos/Lumberg-Automation/MFG_0980-ESL-39x-121.jpg,1794-1109-ND,0980 ESL 393-121,Lumberg Automation,MULTIPROTOCOL M12 SENSOR BLOCK,7,0,"465.30000","0","1","-","Active","Actuator Box","Beige","12 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452932,//media.digikey.com/Photos/Phoenix%20Photos/1452932.jpg,277-13235-ND,1452932,Phoenix Contact,SENSOR ACTUATOR BOX,2,0,"96.00000","0","1","*","Active","-","-","-","-","-","-"
http://www.alphawire.com/~/media/79F4D9FA077A44979FC3E029815FF71E.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_905-CN.jpg,905-CNNC032-ND,905-CN NC032,Alpha Wire,M12 DIE CAST 4PORT 1SIG,3,0,"125.57000","0","1","905","Active","Actuator Box","Beige","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M8, M12"
http://www.alphawire.com/~/media/7D6164FB83784937958BF72C8CF731B5.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_917-10M.jpg,917-10MNC032-ND,917-10M NC032,Alpha Wire,M12 PLASTIC 4PORT 1SIG,3,0,"130.77000","0","1","917","Active","Actuator Box","Orange","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1405737,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1405737.jpg,277-12828-ND,1405737,Phoenix Contact,CABLE,2,8,"132.47000","0","1","-","Active","Actuator Box","Black","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452699,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1452738.jpg,277-13227-ND,1452699,Phoenix Contact,SENSOR ACTUATOR BOX,2,200,"132.47000","0","1","*","Active","-","-","-","-","-","-"
