Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensing Range","Flow Sensor Type","Voltage - Input","Port Size","Switch Function/Rating","Material - Body","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_ph.pdf,//media.digikey.com/photos/Omron%20Auto/D6F-PH0025AD1.JPG,Z3836-ND,D6F-PH0025AD1,Omron Electronics Inc-EMC Div,SENSOR AIRFLOW 0-250PA PCB TERM,238,320,"30.32000","0","1","-","Active","0 ~ 250 Pa","Air","2.3V ~ 3.6V","Male, 0.193"" (4.9mm) Tube, Dual","-","PPS","-20°C ~ 80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3867-ND,HAFBLF0050C4AX5,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 50SCCM LONG 5V,91,0,"125.57000","0","1","Zephyr™ HAF","Active","50sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3871-ND,HAFBLF0200C4AX5,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200SCCM LONG 5V,27,0,"125.57000","0","1","Zephyr™ HAF","Active","200sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50051/la_id/1/document/1/re_id/0,"//media.digikey.com/photos/Honeywell%20Photos/AWM1200V,%20AWM2100V,%20AWM2300V.jpg",480-2691-5-ND,AWM2100V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200 SCCM,55,0,"136.80000","0","1","AWM2000","Active","±200sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50054/la_id/1/document/1/re_id/0,//media.digikey.com/photos/Honeywell%20Photos/AWM42300V.JPG,480-3093-ND,AWM42300V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 1000 SSCM,296,0,"152.48000","0","1","AWM40000","Active","±1000sccm","Air","8V ~ 15V","Female, 0.19"" (4.826mm)","-","Silicon","-40°C ~ 125°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/54882/la_id/1/document/1/re_id/0,//media.digikey.com/photos/Honeywell%20Photos/AWM92200V.JPG,480-5612-ND,AWM92200V,Honeywell Sensing and Productivity Solutions,SENSOR AIR FLOW UNAMP 5.0 MBAR,693,0,"66.32000","0","1","AWM90000","Active","±5 mbar","Air","8V ~ 15V","Male, 0.185"" (4.699mm) Tube, Dual","-","Silicon","-25°C ~ 80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,HAFBLF0100C4AX5-ND,HAFBLF0100C4AX5,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,42,0,"125.57000","0","1","Zephyr™ HAF","Active","100sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php?ci_id=44423,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3323-ND,HAFBLF0200CAAX3,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200SCCM LONG 3.3V,34,0,"125.57000","0","1","Zephyr™ HAF","Active","200sccm","Air","2.97V ~ 3.63V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php?ci_id=44423,//media.digikey.com/Photos/Honeywell%20Photos/HAFBSF0200CAAX5.jpg,480-3874-ND,HAFBSF0200C4AX3,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200SCCM SHORT 3V,30,0,"125.57000","0","1","Zephyr™ HAF","Active","200sccm","Air","2.97V ~ 3.63V","Male, 0.16"" (4.06mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-airflow-sensors-line-guide-008150-7-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/AWM2200V.jpg,480-6163-ND,AWM2200V,Honeywell Sensing and Productivity Solutions,SENSOR UNAMP 10.0 MBAR,41,0,"136.80000","0","1","AWM2000","Active","±10 mBar","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50052/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM3200V.JPG,480-3480-ND,AWM3200V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 5 MBAR,60,0,"142.56000","0","1","AWM3000","Active","±5 mbar","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
https://www.pic-gmbh.com/files/pfs_328_6_4_0300_ds_e_1.1.pdf,//media.digikey.com/Photos/PIC-GMBH/PFS-328-6-4-0300.jpg,2010-1320-ND,PFS-328-6-4-0300,PIC GmbH,FLOW DETECTION SENSOR,201,0,"9.86000","0","1","-","Active","-","Liquid","-","Female, 0.5"" (12.7mm)","-","Polyamide","-20°C ~ 85°C"
