Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Thread/Screw/Hole Size","Diameter - Inside","Diameter - Outside","Thickness","Plating","Material"
http://www.keyelco.com/product-pdf.cfm?p=1981,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_224x.jpg,36-2245-ND,2245,Keystone Electronics,WASHER FLAT RETAINING #4 NYLON,32337,13800,"0.10000","0","1","-","Active","Flat, Retaining","#4","0.102"" (2.59mm)","0.256"" (6.50mm)","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2113,//media.digikey.com/photos/Keystone%20Elect%20Photos/3347.JPG,36-3347-ND,3347,Keystone Electronics,WASHER FLAT #2 NYLON,29591,55000,"0.10000","0","1","-","Active","Flat","#2","0.098"" (2.49mm)","0.250"" (6.35mm) 1/4""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2132,//media.digikey.com/photos/Keystone%20Elect%20Photos/3370.JPG,36-3370-ND,3370,Keystone Electronics,WASHER FLAT #6 FIBRE,26833,45100,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.313"" (7.95mm) 5/16""","0.062"" (1.57mm) 1/16""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2003,//media.digikey.com/photos/Keystone%20Elect%20Photos/3118.JPG,36-3118-ND,3118,Keystone Electronics,WASHER FLAT #4 NYLON,26303,45900,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.375"" (9.53mm) 3/8""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2044,//media.digikey.com/photos/Keystone%20Elect%20Photos/3162.JPG,36-3162-ND,3162,Keystone Electronics,WASHER FLAT #6 NYLON,25658,39000,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.250"" (6.35mm) 1/4""","0.047"" (1.19mm) 3/64""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2120,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_33xy.jpg,36-3356-ND,3356,Keystone Electronics,WASHER FLAT #2 NYLON,23734,28700,"0.10000","0","1","-","Active","Flat","#2","0.098"" (2.49mm)","0.188"" (4.78mm) 3/16""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2006,//media.digikey.com/photos/Keystone%20Elect%20Photos/3119.JPG,36-3119-ND,3119,Keystone Electronics,WASHER FLAT #6 FIBRE,20008,42800,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.250"" (6.35mm) 1/4""","0.032"" (0.81mm)","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2132,//media.digikey.com/photos/Keystone%20Elect%20Photos/3369.JPG,36-3369-ND,3369,Keystone Electronics,WASHER FLAT #6 FIBRE,17575,40900,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.250"" (6.35mm) 1/4""","0.062"" (1.57mm) 1/16""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=3869,//media.digikey.com/photos/Keystone%20Elect%20Photos/346.JPG,36-346-ND,346,Keystone Electronics,WASHER FLAT #6 NYLON,16946,41900,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.313"" (7.95mm) 5/16""","0.047"" (1.19mm) 3/64""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2085,//media.digikey.com/photos/Keystone%20Elect%20Photos/3201.JPG,36-3201-ND,3201,Keystone Electronics,WASHER FLAT #6 FIBRE,16581,52600,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2006,//media.digikey.com/photos/Keystone%20Elect%20Photos/3120.JPG,36-3120-ND,3120,Keystone Electronics,WASHER FLAT #6 FIBRE,16132,55100,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.313"" (7.95mm) 5/16""","0.032"" (0.81mm)","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2006,//media.digikey.com/photos/Keystone%20Elect%20Photos/3123.JPG,36-3123-ND,3123,Keystone Electronics,WASHER FLAT #6 NYLON,15138,31800,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.375"" (9.53mm) 3/8""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2039,//media.digikey.com/photos/Keystone%20Elect%20Photos/3155.JPG,36-3155-ND,3155,Keystone Electronics,WASHER FLAT #4 FIBRE,14460,36200,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.313"" (7.95mm) 5/16""","0.047"" (1.19mm) 3/64""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2010,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31yy.jpg,36-3127-ND,3127,Keystone Electronics,WASHER FLAT #8 NYLON,14445,74200,"0.10000","0","1","-","Active","Flat","#8","0.171"" (4.34mm)","0.313"" (7.95mm) 5/16""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=3866,//media.digikey.com/photos/Keystone%20Elect%20Photos/348.JPG,36-348-ND,348,Keystone Electronics,WASHER FLAT #4 FIBRE,12972,119800,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.313"" (7.95mm) 5/16""","0.032"" (0.81mm)","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2006,//media.digikey.com/photos/Keystone%20Elect%20Photos/3121.JPG,36-3121-ND,3121,Keystone Electronics,WASHER FLAT #6 FIBRE,12358,9700,"0.10000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.375"" (9.53mm) 3/8""","0.032"" (0.81mm)","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2131,//media.digikey.com/photos/Keystone%20Elect%20Photos/3368.JPG,36-3368-ND,3368,Keystone Electronics,WASHER FLAT #4 FIBRE,11744,134500,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.250"" (6.35mm) 1/4""","0.062"" (1.57mm) 1/16""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2116,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_33xy.jpg,36-3350-ND,3350,Keystone Electronics,WASHER FLAT #8 NYLON,11704,6500,"0.10000","0","1","-","Active","Flat","#8","0.171"" (4.34mm)","0.375"" (9.53mm) 3/8""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=1982,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_224x.jpg,36-2246-ND,2246,Keystone Electronics,WASHER FLAT RETAINING #6 NYLON,10910,38900,"0.10000","0","1","-","Active","Flat, Retaining","#6","0.128"" (3.25mm)","0.328"" (8.30mm)","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2039,//media.digikey.com/photos/Keystone%20Elect%20Photos/3154.JPG,36-3154-ND,3154,Keystone Electronics,WASHER FLAT #4 FIBRE,10360,68300,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.250"" (6.35mm) 1/4""","0.047"" (1.19mm) 3/64""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2039,//media.digikey.com/photos/Keystone%20Elect%20Photos/3157.JPG,36-3157-ND,3157,Keystone Electronics,WASHER FLAT #4 NYLON,4034,20000,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.313"" (7.95mm) 5/16""","0.047"" (1.19mm) 3/64""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2147,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_7235-1.jpg,36-7235-1-ND,7235-1,Keystone Electronics,WASHER FLAT STEEL,2629,0,"0.10000","0","1","-","Active","Flat","-","0.120"" (3.05mm)","0.220"" (5.59mm)","0.032"" (0.81mm)","Zinc, Clear Chromate","Steel"
http://www.keyelco.com/product-pdf.cfm?p=2019,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31yy.jpg,36-3138-ND,3138,Keystone Electronics,WASHER FLAT 1/4 NYLON,2231,13800,"0.10000","0","1","-","Active","Flat","1/4""","0.260"" (6.60mm)","0.438"" (11.13mm) 7/16""","0.032"" (0.81mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2123,//media.digikey.com/photos/Keystone%20Elect%20Photos/3359.JPG,36-3359-ND,3359,Keystone Electronics,WASHER FLAT #4 NYLON,1186,59200,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.313"" (7.95mm) 5/16""","0.032"" (0.81mm)","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/MFW.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC1552-ND,MFW030A,Essentra Components,WASHER FLAT M3 NYLON,58566,0,"0.12000","0","1","MFW","Active","Flat","M3","0.126"" (3.20mm)","0.276"" (7.01mm)","0.020"" (0.51mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2085,//media.digikey.com/photos/Keystone%20Elect%20Photos/3202.JPG,36-3202-ND,3202,Keystone Electronics,WASHER FLAT #6 NYLON,17532,50400,"0.12000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2124,//media.digikey.com/photos/Keystone%20Elect%20Photos/3361.JPG,36-3361-ND,3361,Keystone Electronics,WASHER FLAT #6 NYLON,13777,19200,"0.12000","0","1","-","Active","Flat","#6","0.140"" (3.56mm)","0.313"" (7.95mm) 5/16""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2084,//media.digikey.com/photos/Keystone%20Elect%20Photos/3200.JPG,36-3200-ND,3200,Keystone Electronics,WASHER FLAT #4 NYLON,13079,10200,"0.12000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2081,//media.digikey.com/photos/Keystone%20Elect%20Photos/3198.JPG,36-3198-ND,3198,Keystone Electronics,WASHER FLAT #4 NYLON,7021,9500,"0.12000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.313"" (7.95mm) 5/16""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2087,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_32yy.jpg,36-3205-ND,3205,Keystone Electronics,WASHER FLAT #8 NYLON,5251,22500,"0.12000","0","1","-","Active","Flat","#8","0.171"" (4.34mm)","0.313"" (7.95mm) 5/16""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2105,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_32xx.jpg,36-3222-ND,3222,Keystone Electronics,WASHER FLAT 3/8 FIBRE,3074,4900,"0.12000","0","1","-","Active","Flat","3/8""","0.385"" (9.78mm)","0.625"" (15.88mm) 5/8""","0.062"" (1.57mm) 1/16""","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2126,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_33xy.jpg,36-3363-ND,3363,Keystone Electronics,WASHER FLAT #8 NYLON,1578,16200,"0.12000","0","1","-","Active","Flat","#8","0.171"" (4.34mm)","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=1999,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31yy.jpg,36-3114-ND,3114,Keystone Electronics,WASHER FLAT #2 NYLON,8442,52800,"0.14000","0","1","-","Active","Flat","#2","0.098"" (2.49mm)","0.188"" (4.78mm) 3/16""","0.032"" (0.81mm)","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/MFW.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC4343-ND,MFW010A,Essentra Components,WASHER FLAT M2 NYLON,11175,0,"0.15000","0","1","MFW","Active","Flat","M2","0.087"" (2.20mm)","0.197"" (5.00mm)","0.012"" (0.30mm)","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Retaining_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_01520xx08703.JPG,RPC3448-ND,015202508703,Essentra Components,WASHER FLAT RETAIN M2.5 PLASTIC,6719,0,"0.15000","0","1","-","Active","Flat, Retaining","M2.5","0.106"" (2.69mm)","0.197"" (5.00mm)","0.039"" (1.00mm)","-","Plastic"
http://www.keyelco.com/product-pdf.cfm?p=2091,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_32yy.jpg,36-3214-ND,3214,Keystone Electronics,WASHER FLAT #10 NYLON,5396,21300,"0.15000","0","1","-","Active","Flat","#10","0.196"" (4.98mm)","0.500"" (12.70mm) 1/2""","0.062"" (1.57mm) 1/16""","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Plastic_Flat_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC3484-ND,585010000011,Essentra Components,WASHER FLAT M4 PLASTIC,2847,0,"0.15000","0","1","-","Active","Flat","M4","0.169"" (4.29mm)","0.354"" (9.00mm)","0.031"" (0.79mm) 1/32""","-","Plastic"
http://www.essentracomponents.com.sg/images-line/pdfs/MFW.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC1999-ND,MFW020A,Essentra Components,WASHER FLAT M2.5 NYLON,17671,0,"0.16000","0","1","MFW","Active","Flat","M2.5","0.106"" (2.69mm)","0.236"" (5.99mm)","0.020"" (0.51mm)","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Plastic_Flat_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_032030011407.JPG,RPC3454-ND,032030011407,Essentra Components,WASHER FLAT M3 PLASTIC,7547,0,"0.16000","0","1","-","Active","Flat","M3","0.126"" (3.20mm)","0.354"" (9.00mm)","0.059"" (1.50mm)","-","Plastic"
-,//media.digikey.com/Photos/Keystone%20Elect%20Photos/7248-2.jpg,36-7248-2-ND,7248-2,Keystone Electronics,WASHER SPLIT LOCK STN STEEL,8043,13900,"0.20000","0","1","-","Active","Split Lock","-","0.117"" (2.97mm)","0.197"" (5.00mm)","0.050"" (1.27mm)","-","Stainless Steel"
http://www.essentracomponents.com.sg/images-line/pdfs/MFW.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC4345-ND,MFW050A,Essentra Components,WASHER FLAT M4 NYLON,6587,0,"0.25000","0","1","MFW","Active","Flat","M4","0.169"" (4.29mm)","0.354"" (9.00mm)","0.031"" (0.79mm) 1/32""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/MFW.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg,RPC4344-ND,MFW040A,Essentra Components,WASHER FLAT M3.5 NYLON,1950,0,"0.25000","0","1","MFW","Active","Flat","M3.5","0.146"" (3.71mm)","0.315"" (8.00mm)","0.020"" (0.51mm)","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Plastic_Flat_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_1154189.jpg,RPC3463-ND,173000200022,Essentra Components,WASHER FLAT M2 POLYCARBONATE,1607,0,"0.29000","0","1","-","Active","Flat","M2","0.083"" (2.10mm)","0.158"" (4.01mm)","0.020"" (0.51mm)","-","Polycarbonate"
https://cadlinks.rafhdwe.com/dk2d/1057-ss/,//media.digikey.com/photos/RAF%20Electronic%20Hardware/1057-SS.JPG,1772-4044-ND,1057-SS,RAF Electronic Hardware,.171OD X .010 THICK X .093ID,2337,10718,"0.30000","0","1","-","Active","Flat","#4-40","0.093"" (2.36mm)","0.171"" (4.34mm)","0.010"" (0.25mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Plastic_Flat_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_1154189.jpg,RPC2989-ND,173000300022,Essentra Components,WASHER FLAT M3 POLYCARBONATE,6049,0,"0.36000","0","1","-","Active","Flat","M3","0.130"" (3.30mm)","0.315"" (8.00mm)","0.031"" (0.79mm) 1/32""","-","Polycarbonate"
http://www.switchcraft.com/Drawings/Jack_Mounting_Hardware.pdf,//media.digikey.com/Photos/Switchcraft%20Photos/S10451.JPG,SC1868-ND,S10451,Switchcraft Inc.,WASHER FLAT 3/8 COPPER ALLOY,1250,0,"0.42000","0","1","-","Active","Flat","3/8""","0.375"" (9.53mm) 3/8""","0.625"" (15.88mm) 5/8""","0.020"" (0.51mm)","Nickel","Copper Alloy"
//media.digikey.com/PDF/Data%20Sheets/Amphenol%20PDFs/000-5579.pdf,//media.digikey.com/Photos/Amphenol%20Photos/000-5579-NA.jpg,ARF1911-ND,000-5579-NA,Amphenol RF Division,WASHER INT TOOTH 3/8 PHOS BRONZE,3203,0,"0.51000","0","1","-","Active","Internal Tooth","3/8""","0.384"" (9.75mm)","0.500"" (12.70mm) 1/2""","0.022"" (0.56mm)","Nickel over Copper","Phosphor Bronze"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Retaining_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_41223.jpg,RPC4978-ND,RWM100A,Essentra Components,WASHER FLAT RETAINING M3 NYLON,3775,0,"0.52000","0","1","RWM","Active","Flat, Retaining","M3","0.126"" (3.20mm)","0.217"" (5.50mm)","0.087"" (2.20mm)","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Retaining_Washers.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_41223.jpg,RPC4977-ND,RWM050A,Essentra Components,WASHER FLAT RETAINING M2 NYLON,5947,0,"0.57000","0","1","RWM","Active","Flat, Retaining","M2","0.106"" (2.69mm)","0.197"" (5.00mm)","0.059"" (1.50mm)","-","Nylon"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/75101.jpg,335-1114-ND,75101,APM Hexseal,WASHER SEALING #10 STN STEEL,782,0,"2.42000","0","1","SEELOC®","Active","Sealing","#10","-","0.500"" (12.70mm) 1/2""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/75601.jpg,335-1112-ND,75601,APM Hexseal,WASHER SEALING #6 STN STEEL,107,0,"2.42000","0","1","SEELOC®","Active","Sealing","#6","-","0.500"" (12.70mm) 1/2""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/74401.jpg,335-1116-ND,75041,APM Hexseal,WASHER SEALING M4 STN STEEL,1424,0,"2.48000","0","1","SEELOC®","Active","Sealing","M4","-","0.500"" (12.70mm) 1/2""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/photos/APM%20Hexseal%20Photos/75162.JPG,335-1067-ND,75162,APM Hexseal,WASHER SEALING 1/2 STN STEEL,588,0,"2.58000","0","1","SEELOC®","Active","Sealing","1/2""","0.500"" (12.70mm) 1/2""","1.000"" (25.40mm) 1""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/photos/APM%20Hexseal%20Photos/75142.JPG,335-1066-ND,75142,APM Hexseal,WASHER SEALING 7/16 STN STEEL,328,0,"2.58000","0","1","SEELOC®","Active","Sealing","7/16""","0.437"" (11.10mm) 7/16""","1.000"" (25.40mm) 1""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/74602.JPG,335-1121-ND,75062,APM Hexseal,WASHER SEALING M6 STN STEEL,459,0,"2.84000","0","1","SEELOC®","Active","Sealing","M6","-","1.000"" (25.40mm) 1""","0.078"" (1.98mm)","-","Stainless Steel"
-,//media.digikey.com/photos/Building%20Fasteners%20Photos/%236FWZ.JPG,H778-ND,#6FWZ,B&F Fastener Supply,WASHER FLAT #6 STEEL,16894,0,"0.00970","0","100","-","Active","Flat","#6","0.157"" (3.99mm)","0.382"" (9.70mm)","-","Zinc","Steel"
