Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Frequency - Center","Voltage - Supply","Tuning Voltage (VDC)","2nd Harmonic, Typ (dBc)","Icc Max","Pushing (MHz/V)","Power (dBm)","Phase Noise Typ (dBc/Hz)","Operating Temperature","Package / Case","Size / Dimension","Height"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55BE-2475-2900.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55BE-2475-2900-ND,CRBV55BE-2475-2900,Crystek Corporation,VCO 2687.5MHZ 0-16V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","2475 ~ 2900MHz","2687.5MHz","8V","0V ~ 16V","-15","28mA","0.5","2.5 ±2.5","-100","-40°C ~ 75°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55BE-2560-2920.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55BE-2560-2920-ND,CRBV55BE-2560-2920,Crystek Corporation,VCO 2740MHZ 0-18V 31.75X14.99MM,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","2560 ~ 2920MHz","2740MHz","8V","0V ~ 18V","-10","35mA","0.5","0 ±3","-102","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55BE-2620-2910.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55BE-2620-2910-ND,CRBV55BE-2620-2910,Crystek Corporation,VCO 2765MHZ 1-17V 31.75X14.99MM,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","2620 ~ 2910MHz","2765MHz","5V","1V ~ 17V","-15","38mA","4","2 ±2","-100","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55BE-2675-2950.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55BE-2675-2950-ND,CRBV55BE-2675-2950,Crystek Corporation,VCO 2812.5MHZ 1-17V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","2675 ~ 2950MHz","2812.5MHz","5V","1V ~ 17V","-15","38mA","4","2 ±2","-100","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55BE-2710-3120.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55BE-2710-3120-ND,CRBV55BE-2710-3120,Crystek Corporation,VCO 2915MHZ 1-15V 31.75X14.99MM,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","2710 ~ 3120MHz","2915MHz","8V","1V ~ 15V","-25","35mA","1","5 ±2","-95","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0045-0070.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0045-0070-ND,CRBV55CL-0045-0070,Crystek Corporation,VCO 57.5MHZ 0.5-10.5V,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","45 ~ 70MHz","57.5MHz","5V","0.5V ~ 10.5V","-10","22mA","0.5","5 ±3","-115","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0072-0076.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0072-0076-ND,CRBV55CL-0072-0076,Crystek Corporation,VCO 74MHZ 0.3-3V 31.75X14.99MM,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","72 ~ 76MHz","74MHz","3.3V","0.3V ~ 3V","-15","7mA","1","0 ±2","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0138-0174.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0138-0174-ND,CRBV55CL-0138-0174,Crystek Corporation,VCO 156MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","138 ~ 174MHz","156MHz","5V","1.5V ~ 3.5V","-15","25mA","1.5","0 ±3","-115","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0180-0200.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0180-0200-ND,CRBV55CL-0180-0200,Crystek Corporation,VCO 190MHZ 0.5-4.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","180 ~ 200MHz","190MHz","5V","0.5V ~ 4.5V","-10","15mA","0.1","3 ±2","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0220-0256.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0220-0256-ND,CRBV55CL-0220-0256,Crystek Corporation,VCO 238MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","220 ~ 256MHz","238MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±3","-113","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0350-0405.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0350-0405-ND,CRBV55CL-0350-0405,Crystek Corporation,VCO 377.5MHZ 0.5-5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","350 ~ 405MHz","377.5MHz","5V","0.5V ~ 5V","-3","15mA","3","7.25 ±2.75","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0358-0376.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0358-0376-ND,CRBV55CL-0358-0376,Crystek Corporation,VCO 367MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","358 ~ 376MHz","367MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0373-0391.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0373-0391-ND,CRBV55CL-0373-0391,Crystek Corporation,VCO 382MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","373 ~ 391MHz","382MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-114","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0389-0407.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0389-0407-ND,CRBV55CL-0389-0407,Crystek Corporation,VCO 398MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","389 ~ 407MHz","398MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-107","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
