Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Frequency Range","Frequency - Self Resonant","Impedance","Efficiency - dBA","Efficiency - Testing","Efficiency - Type","Power - Rated","Power - Max","Port Location","Shape","Material - Cone","Material - Magnet","Ingress Protection","Ratings","Termination","Size / Dimension","Height - Seated (Max)"
https://www.cui.com/product/resource/digikeypdf/gf0576.pdf,//media.digikey.com/photos/CUI%20Photos/GF0576.jpg,GF0576-ND,GF0576,CUI Inc.,SPEAKER 8OHM 250MW TOP PORT 86DB,1396,0,"3.86000","0","1","Bulk","GF","Active","Magnetic","General Purpose","380Hz ~ 8.1kHz","380Hz","8 Ohms","86.00","250mW/500mm","Sound Pressure Level (SPL)","250mW","500mW","Top","Round","Paper","Ferrite","-","-","Solder Eyelet(s)","2.244"" L x 2.244"" W (57.00mm x 57.00mm)","0.728"" (18.50mm)"
http://www.puiaudio.com/pdf/AST-01508MR-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AST-01508MR-R.jpg,668-1132-ND,AST-01508MR-R,"PUI Audio, Inc.",SPEAKER 8OHM 300MW TOP PORT 87DB,13312,0,"3.90000","0","1","Tray","AST","Active","Magnetic","General Purpose","1.7kHz ~ 20kHz","1700Hz","8 Ohms","87.00","300mW/100mm","Sound Pressure Level (SPL)","300mW","500mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","PC Pins","0.591"" Dia (15.00mm)","0.295"" (7.50mm)"
http://www.puiaudio.com/pdf/AST-1732MR-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AST-1732MR-R.jpg,668-1140-ND,AST-1732MR-R,"PUI Audio, Inc.",SPEAKR 32OHM 200MW TOP PORT 90DB,1488,0,"3.90000","0","1","Tray","AST","Active","Magnetic","General Purpose","1.7kHz ~ 20kHz","1800Hz","32 Ohms","90.00","200mW/100mm","Sound Pressure Level (SPL)","200mW","500mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","PC Pins","0.669"" Dia (17.00mm)","0.315"" (8.00mm)"
http://www.puiaudio.com/pdf/AST-01708MR-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AST-01708MR-R.jpg,668-1134-ND,AST-01708MR-R,"PUI Audio, Inc.",SPEAKER 8OHM 200MW TOP PORT 87DB,942,0,"3.90000","0","1","Tray","AST","Active","Magnetic","General Purpose","1.5kHz ~ 20kHz","1500Hz","8 Ohms","87.00","200mW/100mm","Sound Pressure Level (SPL)","200mW","500mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","PC Pins","0.669"" Dia (17.00mm)","0.315"" (8.00mm)"
https://www.cui.com/product/resource/digikeypdf/cds-13138-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CDS-13138-SMT-TR.jpg,102-3536-2-ND,CDS-13138-SMT-TR,CUI Inc.,SPEAKER 8OHM 300MW TOP PORT 87DB,5400,0,"3.91300","0","600","Tape & Reel (TR)","CDS","Active","Magnetic","General Purpose","1.05kHz","1050Hz","8 Ohms","70.00","1W/1M","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyester, Polyethylene Terephthalate (PET)","Sm2Co17","-","Washable","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
https://www.cui.com/product/resource/digikeypdf/cds-13138-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CDS-13138-SMT-TR.jpg,102-3536-1-ND,CDS-13138-SMT-TR,CUI Inc.,SPEAKER 8OHM 300MW TOP PORT 87DB,5993,0,"7.00000","0","1","Cut Tape (CT)","CDS","Active","Magnetic","General Purpose","840Hz ~ 20kHz","1050Hz","8 Ohms","70.00","1W/1M","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyester, Polyethylene Terephthalate (PET)","Sm2Co17","-","Washable","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
https://www.cui.com/product/resource/digikeypdf/cds-13138-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CDS-13138-SMT-TR.jpg,102-3536-6-ND,CDS-13138-SMT-TR,CUI Inc.,SPEAKER 8OHM 300MW TOP PORT 87DB,5993,0,"Digi-Reel","0","1","Digi-Reel®","CDS","Active","Magnetic","General Purpose","840Hz ~ 20kHz","1050Hz","8 Ohms","70.00","1W/1M","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyester, Polyethylene Terephthalate (PET)","Sm2Co17","-","Washable","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
https://www.cui.com/product/resource/digikeypdf/cls0231ma-1-l152.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CLS0231MA-1-L152.jpg,102-1553-ND,CLS0231MA-1-L152,CUI Inc.,SPEAKER 8OHM 500MW TOP PORT 89DB,5302,0,"3.95000","0","1","Tray","CLS","Active","Magnetic","Low Profile","536Hz ~ 20kHz","670Hz","8 Ohms","89.00","1W/500mm","Sound Pressure Level (SPL)","500mW","1W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Wire Leads","0.906"" Dia (23.00mm)","0.197"" (5.00mm)"
https://www.cui.com/product/resource/digikeypdf/cls0201ma-l152.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CLS0201MA-L152.jpg,102-1552-ND,CLS0201MA-L152,CUI Inc.,SPEAKER 8OHM 500MW TOP PORT 86DB,804,0,"3.95000","0","1","Tray","CLS","Active","Magnetic","Low Profile","600Hz ~ 20kHz","750Hz","8 Ohms","86.00","1W/50mm","Sound Pressure Level (SPL)","500mW","1W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Wire Leads","0.787"" Dia (20.00mm)","0.161"" (4.10mm)"
https://www.cui.com/product/resource/digikeypdf/cds-25148-l100.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CDS-25148-L100.jpg,102-3545-ND,CDS-25148-L100,CUI Inc.,SPEAKER 8OHM 1.5W TOP PORT 94DB,1268,0,"4.04000","0","1","Tray","CDS","Active","Magnetic","General Purpose","600Hz ~ 20kHz","750Hz","8 Ohms","73.00","1W/1M","Sound Pressure Level (SPL)","1.5W","2W","Top","Rectangular","Cloth","Nd-Fe-B","-","-","Wire Leads","0.984"" L x 0.551"" W (25.00mm x 14.00mm)","0.177"" (4.50mm)"
