Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Frequency","Voltage - Input (Max)","Type","Impedance","Capacitance @ Frequency","Operating Temperature","Size / Dimension","Termination"
http://www.puiaudio.com/pdf/AB4141B.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AB4141B.jpg,668-1624-ND,AB4141B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4.1KHZ 41MM,256,0,"1.45000","0","1","-","Active","4.1kHz","30V p-p","Standard","1 kOhms","100000pF @ 1kHz","-20°C ~ 60°C","1.614"" Dia (41.00mm)","None"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/7BB-35-3L0.jpg,490-7717-ND,7BB-35-3L0,Murata Electronics North America,BUZZER ELEMENT STD 2.8KHZ,3,0,"1.38000","0","1","7BB","Active","2.8kHz","-","Standard","200 Ohms","30000pF @ 1kHz","-","1.378"" Dia (35.00mm)","Wire Leads"
http://www.puiaudio.com/pdf/AB2725S.pdf,"//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB2725S,AB2072S.jpg",668-1010-ND,AB2725S,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 2.5KHZ 27MM,9,0,"0.92000","0","1","AB","Active","2.5kHz","20V p-p","Standard","500 Ohms","45000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://www.puiaudio.com/pdf/AB2734B.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB2734B.jpg,668-1012-ND,AB2734B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 3.4KHZ 27MM,76,0,"0.92000","0","1","-","Active","3.4kHz","30V p-p","Standard","1 kOhms","13000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://www.puiaudio.com/pdf/AB2745BF.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AB2745BF.jpg,668-1272-ND,AB2745BF,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4.5KHZ 27MM,48,0,"0.92000","0","1","AB","Active","4.5kHz","20V p-p","Feedback","500 Ohms","16000pF @ 1kHz","-20°C ~ 70°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P08080-1.pdf,-,2104-P08080-1-ND,P08080-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.74000","0","1","-","Active","8kHz","15V p-p","Standard","-","13000pF @ 1kHz","-20°C ~ 80°C","0.350"" Dia (8.90mm)","None"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/MFG_7BB-15-6.JPG,7BB-15-6-ND,7BB-15-6,Murata Electronics North America,BUZZER,0,0,"0.24139","0","8000","7BB","Active","6kHz","-","Standard","800 Ohms","10000pF @ 1kHz","-","0.591"" Dia (15.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P13165-1.pdf,-,2104-P13165-1-ND,P13165-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.36032","0","2500","-","Active","16.5kHz","30V p-p","Standard","-","6000pF @ 1kHz","-20°C ~ 60°C","0.531"" Dia (13.50mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P15060-1.pdf,-,2104-P15060-1-ND,P15060-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.36032","0","2600","-","Active","6kHz","30V p-p","Standard","-","15000pF @ 1kHz","-20°C ~ 60°C","0.591"" Dia (15.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20036-2.pdf,-,2104-P20036-2-ND,P20036-2,DB Unlimited,PIEZO ELEMENT,0,0,"0.36032","0","2600","-","Active","3.6kHz","30V p-p","Standard","-","-","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20064-1.pdf,-,2104-P20064-1-ND,P20064-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.36032","0","2500","-","Active","6.4kHz","30V p-p","Standard","-","6000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/MFG_7BB-20-6C.JPG,7BB-20-6C-ND,7BB-20-6C,Murata Electronics North America,AUDIO INDICATOR,0,0,"0.39148","0","1800","7BB","Active","6.3kHz","-","Feedback","500 Ohms","8500pF @ 1kHz","-","0.787"" Dia (20.00mm)","Wire Leads"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P09070-1.pdf,-,2104-P09070-1-ND,P09070-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.41151","0","1750","-","Active","7kHz","15V p-p","Standard","-","10000pF @ 1kHz","-20°C ~ 80°C","0.390"" Dia (9.90mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20036-3.pdf,-,2104-P20036-3-ND,P20036-3,DB Unlimited,PIEZO ELEMENT,0,0,"0.41152","0","1800","-","Active","3.6kHz","30V p-p","Feedback","-","24000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27040-2.pdf,-,2104-P27040-2-ND,P27040-2,DB Unlimited,PIEZO ELEMENT,0,0,"0.41152","0","1700","-","Active","4kHz","30V p-p","Standard","-","28000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P11080-1.pdf,-,2104-P11080-1-ND,P11080-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","8kHz","30V p-p","Standard","-","12000pF @ 1kHz","-20°C ~ 60°C","0.433"" Dia (11.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P11096-1.pdf,-,2104-P11096-1-ND,P11096-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","9.6kHz","30V p-p","Standard","-","12000pF @ 1kHz","-20°C ~ 60°C","0.433"" Dia (11.00mm)","None"
