Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Driver Circuitry","Input Type","Voltage - Rated","Voltage Range","Frequency","Technology","Operating Mode","Duration","Sound Pressure Level (SPL)","Current - Supply","Port Location","Operating Temperature","Approvals","Ratings","Ingress Protection","Mounting Type","Termination","Size / Dimension","Height - Seated (Max)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-04BT-14-Feb-2019.pdf,"//media.digikey.com/photos/Soberton%20Photos/ST-04BL,ST-04BH,ST-04CH,ST-04BT.jpg",433-1010-1-ND,ST-04BT,Soberton Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,9195,0,"2.75000","0","1","Cut Tape (CT)","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","3.2kHz","Magnetic","Single Tone","-","88dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.169"" (4.30mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-04BT-14-Feb-2019.pdf,"//media.digikey.com/photos/Soberton%20Photos/ST-04BL,ST-04BH,ST-04CH,ST-04BT.jpg",433-1010-6-ND,ST-04BT,Soberton Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,9195,0,"Digi-Reel","0","1","Digi-Reel®","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","3.2kHz","Magnetic","Single Tone","-","88dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.169"" (4.30mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-03BL-14-Feb-2019.pdf,"//media.digikey.com/photos/Soberton%20Photos/ST-03AH,ST-03BH,ST-03CH,ST-03BL.jpg",433-1005-2-ND,ST-03BL,Soberton Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,5000,0,"1.43000","0","1000","Tape & Reel (TR)","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.3kHz","Magnetic","Single Tone","-","82dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-03BL-14-Feb-2019.pdf,"//media.digikey.com/photos/Soberton%20Photos/ST-03AH,ST-03BH,ST-03CH,ST-03BL.jpg",433-1005-1-ND,ST-03BL,Soberton Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,5703,0,"2.75000","0","1","Cut Tape (CT)","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.3kHz","Magnetic","Single Tone","-","82dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-03BL-14-Feb-2019.pdf,"//media.digikey.com/photos/Soberton%20Photos/ST-03AH,ST-03BH,ST-03CH,ST-03BL.jpg",433-1005-6-ND,ST-03BL,Soberton Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,5703,0,"Digi-Reel","0","1","Digi-Reel®","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.3kHz","Magnetic","Single Tone","-","82dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-0503-3-19-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/ST-0503-3.jpg,433-1108-2-ND,ST-0503-3,Soberton Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,2500,0,"1.43000","0","2500","Tape & Reel (TR)","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","110mA","Side","-20°C ~ 60°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.114"" (2.90mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-0503-3-19-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/ST-0503-3.jpg,433-1108-1-ND,ST-0503-3,Soberton Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,3877,0,"2.75000","0","1","Cut Tape (CT)","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","110mA","Side","-20°C ~ 60°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.114"" (2.90mm)"
https://www.soberton.com/wp-content/uploads/2019/02/ST-0503-3-19-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/ST-0503-3.jpg,433-1108-6-ND,ST-0503-3,Soberton Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,3877,0,"Digi-Reel","0","1","Digi-Reel®","ST","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","110mA","Side","-20°C ~ 60°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.114"" (2.90mm)"
https://www.cui.com/product/resource/digikeypdf/ct-1212cl-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CT-1205CL,CT-1205,CT-1212CL.jpg",102-1268-2-ND,CT-1212CL-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 8-15V SMD,20250,0,"1.46358","0","450","Tape & Reel (TR)","CT","Active","Indicator, Internally Driven","DC","12V","8 ~ 15V","2.4kHz","Magnetic","Single Tone","-","85dB @ 12V, 10cm","30mA","Top","-30°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
https://www.cui.com/product/resource/digikeypdf/ct-1212cl-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CT-1205CL,CT-1205,CT-1212CL.jpg",102-1268-1-ND,CT-1212CL-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 8-15V SMD,20636,0,"2.38000","0","1","Cut Tape (CT)","CT","Active","Indicator, Internally Driven","DC","12V","8 ~ 15V","2.4kHz","Magnetic","Single Tone","-","85dB @ 12V, 10cm","30mA","Top","-30°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
https://www.cui.com/product/resource/digikeypdf/ct-1212cl-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CT-1205CL,CT-1205,CT-1212CL.jpg",102-1268-6-ND,CT-1212CL-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 8-15V SMD,20636,0,"Digi-Reel","0","1","Digi-Reel®","CT","Active","Indicator, Internally Driven","DC","12V","8 ~ 15V","2.4kHz","Magnetic","Single Tone","-","85dB @ 12V, 10cm","30mA","Top","-30°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
https://www.cui.com/product/resource/digikeypdf/css-0575a-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0575A-SMT.jpg,102-2201-2-ND,CSS-0575A-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,30000,0,"1.49500","0","2500","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","76dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.094"" (2.40mm)"
https://www.cui.com/product/resource/digikeypdf/css-0575a-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0575A-SMT.jpg,102-2201-1-ND,CSS-0575A-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,32077,0,"2.88000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","76dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.094"" (2.40mm)"
https://www.cui.com/product/resource/digikeypdf/css-0575a-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0575A-SMT.jpg,102-2201-6-ND,CSS-0575A-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,32077,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","76dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.094"" (2.40mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-8530s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-8530S-SMT-TR.jpg,102-3736-2-ND,CMT-8530S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,9000,0,"1.49500","0","1000","Tape & Reel (TR)","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","90mA","Top","-30°C ~ 75°C","-","Washable","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-8530s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-8530S-SMT-TR.jpg,102-3736-1-ND,CMT-8530S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,9644,0,"2.88000","0","1","Cut Tape (CT)","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","90mA","Top","-30°C ~ 75°C","-","Washable","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-8530s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-8530S-SMT-TR.jpg,102-3736-6-ND,CMT-8530S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,9644,0,"Digi-Reel","0","1","Digi-Reel®","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","90mA","Top","-30°C ~ 75°C","-","Washable","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.138"" (3.50mm)"
https://www.mspindy.com/specifications/PT-1540PQ.pdf,//media.digikey.com/photos/Mallory%20Sonalert%20Products%20Photos/PT-1540PQ.jpg,458-1077-ND,PT-1540PQ,Mallory Sonalert Products Inc.,AUDIO PIEZO TRANSDUCER 1-25V TH,7661,0,"1.51000","0","1","Bulk","PT","Active","Transducer, Externally Driven","Peak-Peak Signal","5V","1 ~ 25V","4kHz","Piezo","Single Tone","-","85dB @ 5V, 10cm","1.5mA","Top","-20°C ~ 100°C","-","-","-","Through Hole","PC Pins","0.669"" Dia (17.00mm)","0.370"" (9.40mm)"
http://www.puiaudio.com/pdf/SMT-0540-S-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-S-R.jpg,668-1060-2-ND,SMT-0540-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,22000,0,"1.59900","0","2000","Tape & Reel (TR)","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
http://www.puiaudio.com/pdf/SMT-0540-S-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-S-R.jpg,668-1060-1-ND,SMT-0540-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,22994,0,"3.03000","0","1","Cut Tape (CT)","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
http://www.puiaudio.com/pdf/SMT-0540-S-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-S-R.jpg,668-1060-6-ND,SMT-0540-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,22994,0,"Digi-Reel","0","1","Digi-Reel®","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
http://www.puiaudio.com/pdf/AI-1027-TWT-5V-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AI-1027-TWT-5V-2-R.jpg,668-1454-ND,AI-1027-TWT-5V-2-R,"PUI Audio, Inc.",AUDIO MAGNETIC INDICATOR 3-7V TH,2838,0,"1.61000","0","1","Tray","AI","Active","Indicator, Internally Driven","DC","5V","3 ~ 7V","2.73kHz","Magnetic","Single Tone","-","82dB @ 5V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Through Hole","PC Pins","0.378"" Dia (9.60mm)","0.217"" (5.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-5023s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-5023S-SMT-TR.jpg,102-3743-2-ND,CMT-5023S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,10000,0,"1.63800","0","2500","Tape & Reel (TR)","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","80dB @ 3V, 10cm","110mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-5023s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-5023S-SMT-TR.jpg,102-3743-1-ND,CMT-5023S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,12544,0,"3.11000","0","1","Cut Tape (CT)","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","80dB @ 3V, 10cm","110mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-5023s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMT-5023S-SMT-TR.jpg,102-3743-6-ND,CMT-5023S-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,12544,0,"Digi-Reel","0","1","Digi-Reel®","CMT","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","80dB @ 3V, 10cm","110mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.083"" (2.10mm)"
https://www.soberton.com/wp-content/uploads/2019/02/WST-1310S-2-17-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/WST-1310S-1.jpg,433-1044-2-ND,WST-1310S -2,Soberton Inc.,AUDIO MAGNETIC XDCR 4-7V SMD,2862,0,"1.65691","0","320","Tape & Reel (TR)","WST","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 7V","2.3kHz","Magnetic","Single Tone","-","85dB @ 5V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.406"" (10.30mm)"
https://www.soberton.com/wp-content/uploads/2019/02/WST-1310S-2-17-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/WST-1310S-1.jpg,433-1044-1-ND,WST-1310S -2,Soberton Inc.,AUDIO MAGNETIC XDCR 4-7V SMD,3195,0,"2.70000","0","1","Cut Tape (CT)","WST","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 7V","2.3kHz","Magnetic","Single Tone","-","85dB @ 5V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.406"" (10.30mm)"
https://www.soberton.com/wp-content/uploads/2019/02/WST-1310S-2-17-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/WST-1310S-1.jpg,433-1044-6-ND,WST-1310S -2,Soberton Inc.,AUDIO MAGNETIC XDCR 4-7V SMD,3195,0,"Digi-Reel","0","1","Digi-Reel®","WST","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 7V","2.3kHz","Magnetic","Single Tone","-","85dB @ 5V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.406"" (10.30mm)"
http://www.puiaudio.com/pdf/AT-1620-TWT-R.pdf,"//media.digikey.com/photos/Projects%20Unlimited%20Photos/AT-1620-TWT-R,AI-1622-TWT-5V-R,AI-1622-TWT-12V-R.jpg",668-1100-ND,AT-1620-TWT-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 4-8V TH,5900,0,"1.66000","0","1","Tray","AT","Active","Transducer, Externally Driven","Peak-Peak Signal","6V","4 ~ 8V","2.048kHz","Magnetic","Single Tone","-","90dB @ 6V, 10cm","40mA","Top","-20°C ~ 70°C","-","Washable","-","Through Hole","PC Pins","0.630"" Dia (16.00mm)","0.571"" (14.50mm)"
http://www.puiaudio.com/pdf/SMT-0540-T-2-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-T-2-R.jpg,668-1061-2-ND,SMT-0540-T-2-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,4000,0,"1.66400","0","2000","Tape & Reel (TR)","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
http://www.puiaudio.com/pdf/SMT-0540-T-2-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-T-2-R.jpg,668-1061-1-ND,SMT-0540-T-2-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,4978,0,"3.16000","0","1","Cut Tape (CT)","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
http://www.puiaudio.com/pdf/SMT-0540-T-2-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/SMT-0540-T-2-R.jpg,668-1061-6-ND,SMT-0540-T-2-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 2-4V SMD,4978,0,"Digi-Reel","0","1","Digi-Reel®","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","100mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/css-0578-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0578-SMT.jpg,102-2203-2-ND,CSS-0578-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,5000,0,"1.67700","0","2500","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/css-0578-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0578-SMT.jpg,102-2203-1-ND,CSS-0578-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,7040,0,"3.18000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/css-0578-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CSS-0578-SMT.jpg,102-2203-6-ND,CSS-0578-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2-4V SMD,7040,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","2 ~ 4V","4kHz","Magnetic","Single Tone","-","78dB @ 3V, 10cm","95mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmi-9653s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMI-9653S-SMT-TR.jpg,102-3737-2-ND,CMI-9653S-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 2-5V SMD,6600,0,"1.68240","0","600","Tape & Reel (TR)","CMI","Active","Indicator, Internally Driven","DC","3V","2 ~ 5V","2.7kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.378"" L x 0.378"" W (9.60mm x 9.60mm)","0.217"" (5.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmi-9653s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMI-9653S-SMT-TR.jpg,102-3737-1-ND,CMI-9653S-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 2-5V SMD,7458,0,"3.16000","0","1","Cut Tape (CT)","CMI","Active","Indicator, Internally Driven","DC","3V","2 ~ 5V","2.7kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.378"" L x 0.378"" W (9.60mm x 9.60mm)","0.217"" (5.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmi-9653s-smt.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CMI-9653S-SMT-TR.jpg,102-3737-6-ND,CMI-9653S-SMT-TR,CUI Inc.,AUDIO MAGNETIC IND 2-5V SMD,7458,0,"Digi-Reel","0","1","Digi-Reel®","CMI","Active","Indicator, Internally Driven","DC","3V","2 ~ 5V","2.7kHz","Magnetic","Single Tone","-","75dB @ 3V, 10cm","30mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.378"" L x 0.378"" W (9.60mm x 9.60mm)","0.217"" (5.50mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1075-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1075.jpg,102-2194-2-ND,CMT-1075-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,4000,0,"1.69555","0","800","Tape & Reel (TR)","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","5V","25V (Max)","5.2kHz","Piezo","Single Tone","-","75dB @ 5V, 10cm","5mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.394"" Dia (10.00mm)","0.142"" (3.60mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1075-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1075.jpg,102-2194-1-ND,CMT-1075-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,4305,0,"3.18000","0","1","Cut Tape (CT)","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","5V","25V (Max)","5.2kHz","Piezo","Single Tone","-","75dB @ 5V, 10cm","5mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.394"" Dia (10.00mm)","0.142"" (3.60mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1075-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1075.jpg,102-2194-6-ND,CMT-1075-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,4305,0,"Digi-Reel","0","1","Digi-Reel®","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","5V","25V (Max)","5.2kHz","Piezo","Single Tone","-","75dB @ 5V, 10cm","5mA","Top","-20°C ~ 70°C","-","Washable","-","Surface Mount","Solder Pads","0.394"" Dia (10.00mm)","0.142"" (3.60mm)"
https://www.cui.com/product/resource/digikeypdf/css-95b30-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CSS-95B30.JPG,102-2196-2-ND,CSS-95B30-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 4-7V SMD,9000,0,"1.70300","0","1000","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 7V","2.7kHz","Magnetic","Single Tone","-","92dB @ 5V, 10cm","80mA","Side","-20°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.138"" (3.50mm)"
https://www.cui.com/product/resource/digikeypdf/css-95b30-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CSS-95B30.JPG,102-2196-1-ND,CSS-95B30-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 4-7V SMD,9100,0,"3.23000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 7V","2.7kHz","Magnetic","Single Tone","-","92dB @ 5V, 10cm","80mA","Side","-20°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.138"" (3.50mm)"
