Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Driver Circuitry","Input Type","Voltage - Rated","Voltage Range","Frequency","Technology","Operating Mode","Duration","Sound Pressure Level (SPL)","Current - Supply","Port Location","Operating Temperature","Approvals","Ratings","Ingress Protection","Mounting Type","Termination","Size / Dimension","Height - Seated (Max)"
http://www.puiaudio.com/pdf/SMT-0931-S-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMT-0931-S-R.jpg,668-1479-2-ND,SMT-0931-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 3-5V SMD,17000,0,"1.14400","0","1000","Tape & Reel (TR)","SMT-09","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","95dB @ 3.6V, 10cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
http://www.puiaudio.com/pdf/SMT-0931-S-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMT-0931-S-R.jpg,668-1479-1-ND,SMT-0931-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 3-5V SMD,18357,0,"2.23000","0","1","Cut Tape (CT)","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","95dB @ 3.6V, 10cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
http://www.puiaudio.com/pdf/SMT-0931-S-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMT-0931-S-R.jpg,668-1479-6-ND,SMT-0931-S-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 3-5V SMD,18357,0,"Digi-Reel","0","1","Digi-Reel®","SMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","95dB @ 3.6V, 10cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1604-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1604.JPG,102-2204-2-ND,CMT-1604-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,20000,0,"1.17000","0","1000","Tape & Reel (TR)","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","25V (Max)","4kHz","Piezo","Single Tone","-","81dB @ 3V, 10cm","5mA","Side","-40°C ~ 120°C","-","-","-","Surface Mount","Solder Pads","0.630"" L x 0.630"" W (16.00mm x 16.00mm)","0.110"" (2.80mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1604-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1604.JPG,102-2204-1-ND,CMT-1604-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,21382,0,"2.28000","0","1","Cut Tape (CT)","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","25V (Max)","4kHz","Piezo","Single Tone","-","81dB @ 3V, 10cm","5mA","Side","-40°C ~ 120°C","-","-","-","Surface Mount","Solder Pads","0.630"" L x 0.630"" W (16.00mm x 16.00mm)","0.110"" (2.80mm)"
https://www.cui.com/product/resource/digikeypdf/cmt-1604-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CMT-1604.JPG,102-2204-6-ND,CMT-1604-SMT-TR,CUI Inc.,AUDIO PIEZO TRANSDUCER 25V SMD,21382,0,"Digi-Reel","0","1","Digi-Reel®","CMT","Active","Transducer, Externally Driven","Peak-Peak Signal","3V","25V (Max)","4kHz","Piezo","Single Tone","-","81dB @ 3V, 10cm","5mA","Side","-40°C ~ 120°C","-","-","-","Surface Mount","Solder Pads","0.630"" L x 0.630"" W (16.00mm x 16.00mm)","0.110"" (2.80mm)"
https://www.cui.com/product/resource/digikeypdf/cbt-09427-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CBT-09427-SMT-TR.JPG,102-3392-2-ND,CBT-09427-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,72800,0,"1.17126","0","800","Tape & Reel (TR)","-","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","83dB @ 3.6V, 10cm","110mA","Side","-40°C ~ 85°C","-","-","-","Surface Mount","Solder Pads","0.354"" Dia (9.00mm)","0.106"" (2.70mm)"
https://www.cui.com/product/resource/digikeypdf/cbt-09427-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CBT-09427-SMT-TR.JPG,102-3392-1-ND,CBT-09427-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,73822,0,"2.18000","0","1","Cut Tape (CT)","-","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","83dB @ 3.6V, 10cm","110mA","Side","-40°C ~ 85°C","-","-","-","Surface Mount","Solder Pads","0.354"" Dia (9.00mm)","0.106"" (2.70mm)"
https://www.cui.com/product/resource/digikeypdf/cbt-09427-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CBT-09427-SMT-TR.JPG,102-3392-6-ND,CBT-09427-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,73822,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","83dB @ 3.6V, 10cm","110mA","Side","-40°C ~ 85°C","-","-","-","Surface Mount","Solder Pads","0.354"" Dia (9.00mm)","0.106"" (2.70mm)"
https://www.cui.com/product/resource/digikeypdf/ct-1205-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CT-1205.jpg,102-1199-2-ND,CT-1205-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-8V SMD,58500,0,"1.18676","0","450","Tape & Reel (TR)","CT","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","3 ~ 8V","2.4kHz","Magnetic","Single Tone","-","87dB @ 5V, 10cm","40mA","Top","-30°C ~ 85°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
