Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Length","Width","Height","Interface","Type","Diagonal Screen Size"
-,-,98000331227-ND,98000331227,3M,TOUCH SCREEN CAPACITIVE 12.48"",0,0,"103.95000","0","15","MicroTouch™ System SCT3250","Active","-","-","-","USB","Capacitive","12.48"" (316.99mm)"
-,-,98110000902-ND,98110000902,3M Touch Systems,TOUCH SCREEN CAPACITIVE 12.39"",0,0,"103.95000","0","15","MicroTouch™ SCT3210","Active","9.84"" (250mm)","0.125"" (3.18mm)","7.52"" (191.01mm)","USB","Capacitive","12.39"" (314.63mm)"
http://multimedia.3m.com/mws/media/525969O/marketing-drawing-28265-mkt.pdf,-,98000332308-ND,98000332308,3M Touch Systems,TOUCH SCREEN CAPACITIVE 13.18"",0,0,"104.37867","0","15","MicroTouch™ System SCT3250","Active","10.46"" (265.68mm)","0.125"" (3.18mm)","8.02"" (203.71mm)","USB","Capacitive","13.18"" (334.79mm)"
http://multimedia.3m.com/mws/media/525969O/marketing-drawing-28265-mkt.pdf,-,98000332316-ND,98000332316,3M Touch Systems,TOUCH SCREEN CAPACITIVE 13.18"",0,0,"104.37867","0","15","MicroTouch™ System SCT3250","Active","10.46"" (265.68mm)","0.125"" (3.18mm)","8.02"" (203.71mm)","Serial","Capacitive","13.18"" (334.79mm)"
http://multimedia.3m.com/mws/media/592307O/marketing-drawing-36186-mkt.pdf,-,98000332332-ND,98000332332,3M Touch Systems,TOUCH SCREEN CAPACITIVE 13.28"",0,0,"104.37867","0","15","MicroTouch™ System SCT3250","Active","11.20"" (284.53mm)","0.125"" (3.18mm)","7.13"" (180.98mm)","USB","Capacitive","13.28"" (337.2mm)"
http://multimedia.3m.com/mws/media/592307O/marketing-drawing-36186-mkt.pdf,-,98000332340-ND,98000332340,3M Touch Systems,TOUCH SCREEN CAPACITIVE 13.28"",0,0,"104.37867","0","15","MicroTouch™ System SCT3250","Active","11.20"" (284.53mm)","0.125"" (3.18mm)","7.13"" (180.98mm)","Serial","Capacitive","13.28"" (337.2mm)"
-,-,TP01121W-4KC-ND,TP01121W-4KC,NKK Switches,"TOUCH SCREEN, MULTI/LIGHT, 4-WIR",0,0,"104.84000","0","1","TP01","Active","10.40"" (264.26mm)","0.08"" (2.10mm)","6.55"" (166.40mm)","4-Wire","Resistive","12.10"" (307.34mm)"
//media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/FT_Series_4-Wire_Ds_Oct_2017.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_FTAS00-15AN-4A.jpg,360-3660-ND,FTAS00-15AN-4A,NKK Switches,TOUCH SCREEN RESISTIVE 15"",1,0,"111.05000","0","1","FT","Active","12.13"" (308.10mm)","0.08"" (2.03mm)","9.14"" (232.10mm)","4-Wire","Resistive","15.00"" (381.00mm)"
http://multimedia.3m.com/mws/media/526005O/marketing-drawing-tsd-32734-17-924x-2xx.pdf,-,98000333512-ND,98000333512,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.8"",0,0,"111.34556","0","9","MicroTouch™ System SCT3250","Active","15.25"" (387.55mm)","0.125"" (3.18mm)","9.18"" (233.17mm)","Requires Controller","Capacitive","17.80"" (452.07mm)"
-,-,98110000977-ND,98110000977,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.8"",0,0,"111.34556","0","9","MicroTouch™ SCT3210","Active","15.25"" (387.25mm)","0.125"" (3.18mm)","9.18"" (233.25mm)","Requires Controller","Capacitive","17.80"" (452.1mm)"
