Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","For Use With/Related Products","Shape"
https://www.boydcorp.com/aavid-datasheets/AavWall-Wash-Cooler-82W-Rectangular-Mounting-LED-Heatsink.pdf,//media.digikey.com/Photos/Nuventix/MFG_NX300134.jpg,1061-1107-ND,NX300134,"Aavid, Thermal Division of Boyd Corporation",RECTANGULAR HEAT SINK CONFIG,104,0,"23.32000","0","1","-","SynJet®","Active","Heat Sink","-","Rectangular"
//media.digikey.com/PDF/Data%20Sheets/Sunon%20PDFs/TA003-10001.pdf,//media.digikey.com/Photos/Sunon%20Photos/TA003-10001.jpg,259-1537-ND,TA003-10001,Sunon Fans,ROUND FANSINK LED MODULES,142,0,"27.58000","0","1","-","-","Active","Fansink","LED Modules","Round"
https://www.cree.com/led-components/media/documents/LEDModules_LMH2.pdf,//media.digikey.com/Photos/Cree%20Photos/LMH020-HS00-0000-0000061.jpg,LMH020-HS00-0000-0000081-ND,LMH020-HS00-0000-0000081,Cree Inc.,ROUND HEAT SINK LMH2 LED MODULE,33,0,"37.68000","0","1","-","LMH2 TrueWhite®","Active","Heat Sink","LMH2 TrueWhite® LED Module","Round"
http://www.tglobaltechnology.com/datasheets/Li-98.pdf,//media.digikey.com/Photos/T-Global%20Technology%20Photos/LP0001%5E01-LI98-0.15.JPG,1168-1715-ND,LP0001/01-LI98-0.15,t-Global Technology,STAR THERMAL PAD LED STAR BRD,370,0,"0.25000","0","1","-","LP","Active","Thermally Conductive Pad","LED Star Board","Star"
http://www.tglobaltechnology.com/LED-die-cuts/LP0001v01-Li98-0.25.PDF,//media.digikey.com/Photos/T-Global%20Technology%20Photos/LP0001%5E01-LI98-0.25.JPG,1168-1847-ND,LP0001/01-LI98-0.25,t-Global Technology,STAR THERMAL PAD LED STAR BRD,403,0,"0.35000","0","1","-","LP","Active","Thermally Conductive Pad","LED Star Board","Star"
http://www.tglobaltechnology.com/LED-die-cuts/LP0001v01-L37-3F-0.3-2A.PDF,//media.digikey.com/Photos/T-Global%20Technology%20Photos/LP0001%5E01-L37-3F-0.3-2A.JPG,1168-1853-ND,LP0001/01-L37-3F-0.3-2A,t-Global Technology,STAR THERMAL PAD LED STAR BRD,626,0,"0.37000","0","1","-","LP","Active","Thermally Conductive Pad","LED Star Board","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803129.jpg,BER287-ND,803129,Bergquist,STAR THERM CLAD BOARD SEOUL SEMI,228,0,"0.61000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Seoul Semiconductor Z-Power","Star"
http://www.ohmite.com/assets/docs/sink_s.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/SA-LED-113E.jpg,SA-LED-113E-ND,SA-LED-113E,Ohmite,ROUND HEAT SINK STAR LED BOARDS,54,0,"2.58000","0","1","1 per Pkg","S","Active","Heat Sink","Star LED Boards","Round"
http://www.ohmite.com/assets/docs/sink_s.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/SA-LED-125E.jpg,SA-LED-125E-ND,SA-LED-125E,Ohmite,ROUND HEAT SINK GENERAL PURPOSE,26,0,"3.65000","0","1","1 per Pkg","S","Active","Heat Sink","General Purpose","Round"
http://www.ohmite.com/assets/docs/sink_s.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/SV-LED-151E.jpg,SV-LED-151E-ND,SV-LED-151E,Ohmite,ROUND HEAT SINK GENERAL PURPOSE,87,0,"4.96000","0","1","1 per Pkg","S","Active","Heat Sink","General Purpose","Round"
