Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Lamp Color","Lens Color","Lens Transparency","Ratings","Voltage","Current","Panel Cutout Shape","Panel Cutout Dimensions","Lens Style","Lens Size","Millicandela Rating","Wavelength - Peak","Viewing Angle","Termination Style","Ingress Protection","Features"
https://www.bivar.com/Files/Datasheets/PM3XXXWX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/PM3GDW12.0.jpg,492-1612-ND,PM3GDW12.0,Bivar Inc.,PNL MNT GREEN 20MA W/WIRE 12"",1194,0,"2.44000","0","1","PM3","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.1V","30mA","Round","0.16"" (4.06mm)","Round with Domed Top","3mm, T-1","25mcd","568nm","40°","Wire Leads - 12"" (304.80mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/558_SnapInLED_DS.pdf,//media.digikey.com/Photos/Dialight/558-6403-027F.jpg,350-2595-ND,5586403027F,Dialight,LED PMI SNAP-IN WHT 3000K,1815,0,"2.52000","0","1","558","Active","LED","White","Colorless","Clear","Vf (Typ), If (Max)","3.3V","30mA","Round","0.16"" (4.06mm)","Round with Domed Top","3mm, T-1","3000mcd","-","45°","Wire Leads - 14"" (355.60mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/5100H6.jpg,5100H6-ND,5100H6,Visual Communications Company - VCC,LED BLUE 1/4 HOLE PANEL MOUNT,2383,0,"2.55000","0","1","5100H","Active","LED","Blue","-","-","Vf (Typ), If (Max)","3.4V","50mA","Round","0.25"" (6.35mm)","Round with Domed Top","-","3mcd","470nm","-","Wire Leads - 6"" (152.40mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/558_SnapInLED_DS.pdf,//media.digikey.com/photos/Dialight/558-0302-007F.JPG,350-2122-ND,5580302007F,Dialight,IND SNAP-IN PANEL MNT 585NM YLW,3764,0,"2.59000","0","1","558","Active","LED","Yellow","Yellow","Diffused","DC","5V","12mA","Round","0.16"" (4.06mm)","Round with Domed Top","3mm, T-1","12.6mcd","583nm","60°","Wire Leads - 14"" (355.60mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR3612YD.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXR3612YD.jpg,67-1153-ND,SSI-LXR3612YD,Lumex Opto/Components Inc.,LED 3MM YELLOW DIFF PANEL MOUNT,1448,0,"2.74000","0","1","-","Active","LED","Yellow","Yellow","Diffused","Vf (Typ), If (Max)","2.1V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","30mcd","585nm","60°","-","-","-"
http://www.vcclite.com/_pdf/1050QA%201051QA%201052QA%20and%201053A%20Series%20Non-Relampable%20Neon%20Indicator%20Lights.pdf,//media.digikey.com/photos/Visual%20Communications%20Company%20VCC/105xQA1.JPG,1050QA1-ND,1050QA1,Visual Communications Company - VCC,INDICATOR NEON RED PANEL MNT,2739,0,"2.75000","0","1","1050QA","Active","Neon","Red","Red","-","AC","105V ~ 125V","-","Round","0.50"" (12.70mm)","Round with Domed Top","-","-","-","-","Quick Connect - 0.187"" (4.7mm)","-","-"
http://www.vcclite.com/_pdf/1050QC%201051QC%201052QC%201053QC%20and%201090QC%20Series%20Non-Relampable%20Neon-Incandescent%20Indicator%20Lights.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/1050QC3.JPG,1050QC3-ND,1050QC3,Visual Communications Company - VCC,INDICATOR NEON AMBER PANEL MNT,1323,0,"2.75000","0","1","1050QC","Active","Neon","Amber","Amber","-","AC","105V ~ 125V","-","Round","0.50"" (12.70mm)","Round with Flat Top","-","-","-","-","Quick Connect - 0.187"" (4.7mm)","-","-"
http://www.vcclite.com/_pdf/1050QC%201051QC%201052QC%201053QC%20and%201090QC%20Series%20Non-Relampable%20Neon-Incandescent%20Indicator%20Lights.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/1050QC1.JPG,L50131-ND,1050QC1,Visual Communications Company - VCC,LAMP NEON RED 120V PC MNT,490,0,"2.75000","0","1","1050QC","Active","Neon","Red","-","-","AC","105V ~ 125V","-","Round","0.50"" (12.70mm)","Round with Flat Top","-","-","-","-","Quick Connect - 0.187"" (4.7mm)","-","-"
http://vcclite.com/_pdf/5400A%20Series%20Panel%20Mounted%20LED%20Indicator.pdf,//media.digikey.com/photos/CML%20Innovative%20Photos/5400A7.jpg,L10077-ND,5400A7,Visual Communications Company - VCC,LED YELLOW 5/16"" HOLE PANEL MNT,2024,0,"2.77000","0","1","5400A","Active","LED","Yellow","-","-","Vf (Typ), If (Max)","2.1V","35mA","Round","0.32"" (8.13mm)","Round with Domed Top","9.70mm Dia","120mcd","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
http://www.vcclite.com/_pdf/1030QD%201031QD%201032QD%20and%201033QD%20Series%20Non-Relampable%20Neon%20Indicator%20Lights.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/1030QD1.jpg,L71540-ND,1030QD1,Visual Communications Company - VCC,NEON IND LIGHT 125V RED QC,172,0,"2.78000","0","1","1030QD","Active","Neon","Red","-","-","AC","105V ~ 125V","-","Round","0.50"" (12.70mm)","Round with Domed Top","-","-","-","-","Quick Connect - 0.187"" (4.7mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXH1090SRD.pdf,"//media.digikey.com/photos/Lumex%20Photos/SSI-LXH1090ID,SSI-LXH1090SRD.jpg",67-1174-ND,SSI-LXH1090SRD,Lumex Opto/Components Inc.,LED 10MM SUPER RED PANEL MOUNT,2241,0,"2.86000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","1.7V","30mA","Round","0.55"" (13.97mm)","Round with Domed Top","10.00mm Dia","550mcd","660nm","60°","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/558_SnapInLED_DS.pdf,//media.digikey.com/photos/Dialight/558-3001-007F.JPG,350-2123-ND,5583001007F,Dialight,IND SNAP-IN PANEL MNT RED/GREEN,1024,0,"2.89000","0","1","558","Active","LED","Green, Red","-","-","Vf (Typ), If (Max)","2V Green, 1.9V Red","20mA Green, 20mA Red","Round","0.16"" (4.06mm)","Round with Domed Top","3mm, T-1","8.7mcd Green, 5.6mcd Red","565nm Green, 630nm Red","200°","Wire Leads - 14"" (355.60mm)","-","-"
https://www.bivar.com/Files/Datasheets/PM5R3-XXWXX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/PM5R3-BCW12.0.jpg,492-1216-ND,PM5R3-BCW12.0,Bivar Inc.,INDICATOR LED GREEN/RED PNL MNT,272,0,"3.10000","0","1","PM5R3","Active","LED","Green, Red","White","Diffused","Vf (Typ), If (Max)","2.1V Green, 2V Red","30mA Green, 30mA Red","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","-","568nm Green, 625nm Red","40°","Wire Leads - 12"" (304.80mm)","-","-"
