Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Duct Type","Height","Length","Width","Mounting Type","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-WDHN2x2-36897-1239-RR--ENG.pdf,-,298-18447-ND,HN2X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',20,0,"48.92000","0","1","PANDUCT® Type HN","Active","Slotted (Raceway), Base","1.980"" (50.29mm)","6.00' (1.83m)","2.170"" (55.12mm)","Screw","Hinged","Poly-Vinyl Chloride (PVC)","Gray, Light"
https://www.panduit.com/content/dam/panduit/en/products/assets/e/e2/e2x/e2x2/e2x2yl6/media/E2X2.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_E2X2YL6.JPG,298-12231-ND,E2X2YL6,Panduit Corp,WIRE DUCT SLOTTED RIVET YLW 6',17,0,"48.92000","0","1","Fiber-Duct™","Active","Slotted (Raceway), Base","2.000"" (50.80mm)","6.00' (1.83m)","2.170"" (55.12mm)","Rivet","-","Poly-Vinyl Chloride (PVC)","Yellow"
-,-,1436-1995-ND,181-00615,HellermannTyton,WIRE DUCT SLOTTED SCREW BLACK 6',25,0,"49.79000","0","1","Pro-Duct® SLHD","Active","Slotted (Raceway), Base","3.000"" (76.20mm)","6.00' (1.83m)","3.000"" (76.20mm)","Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Black"
-,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_181-00569.jpg,1436-1988-ND,181-00569,HellermannTyton,WIRE DUCT SLOTTED ADH SCRW WT 6',20,0,"49.80000","0","1","Pro-Duct® SLA","Active","Slotted (Raceway), Base","4.008"" (101.80mm)","6.00' (1.83m)","1.000"" (25.40mm)","Adhesive, Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDG1-5X2-36897-700-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/G1.5X2LG6-A.jpg,298-18122-ND,G1.5X2LG6-A,Panduit Corp,WIRE DUCT SLOTTED ADH SCRW GY 6',40,0,"50.00000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","2.010"" (51.05mm)","6.00' (1.83m)","1.750"" (44.45mm)","Adhesive, Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDH1-5X2-36897-1029-R2--ENG.pdf,-,298-18400-ND,H1.5X2BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',40,0,"50.00000","0","1","PANDUCT® Type H","Active","Slotted (Raceway), Base","1.980"" (50.29mm)","6.00' (1.83m)","1.750"" (44.45mm)","Screw","Hinged","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/PartDrawings/C-WDFS4X2-36897-907-R2--ENG.pdf,-,298-18319-ND,FS4X2WH6NM,Panduit Corp,WIRE DUCT SOLID BASE WHITE 6',10,0,"50.00000","0","1","PANDUCT® Type FS","Active","Solid (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","4.250"" (107.95mm)","-","No Mounting Holes","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDHN1-5x2-36897-1237-RR--ENG.pdf,-,298-18445-ND,HN1.5X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',10,0,"50.00000","0","1","PANDUCT® Type HN","Active","Slotted (Raceway), Base","1.980"" (50.29mm)","6.00' (1.83m)","1.750"" (44.45mm)","Screw","Hinged","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/CatalogCutSheets/NE.5X.5WH6%20Product%20Paper.pdf,-,298-18504-ND,NE1X1.5WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',18,0,"50.33000","0","1","PANDUCT® Type NE","Active","Slotted (Raceway), Base","1.500"" (38.10mm)","6.00' (1.83m)","1.140"" (28.96mm)","Screw","-","Polyphenylene Oxide (PPO), Halogen Free","White"
-,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_181-00578.jpg,1436-1989-ND,181-00578,HellermannTyton,WIRE DUCT SLOTTED ADH SCRW WT 6',20,0,"50.67000","0","1","Pro-Duct® SLA","Active","Slotted (Raceway), Base","4.008"" (101.80mm)","6.00' (1.83m)","1.500"" (38.10mm)","Adhesive, Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","White"
