Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Values"
-,-,HD34B-ND,HD34B,Vector Electronics,KIT HRDWR 4-40 42PCS/PKG,0,0,"10.67000","0","1","-","-","Active","Locking Nuts, Screws, Washers","126 pcs - 42ea of 1/4"" locking screws, locking nuts, and lockwashers"
-,-,BEL28656-ND,12-58210,Belden Inc.,"PLASTIC ANCHOR KIT #1,#8X1",0,0,"12.43364","0","11","-","*","Active","-","-"
-,-,BEL28657-ND,12-58220,Belden Inc.,"PLASTIC ANCHOR KIT#2, #10X1",0,0,"16.24000","0","11","-","*","Active","-","-"
http://www.panduit.com/heiler/PartDrawings/C41723_00%20-%20Sheet1.pdf,-,CGNB4SK-ND,CGNB4SK,Panduit Corp,NUT BONDING GROUND KIT,0,0,"21.47000","0","1","-","-","Active","Bonding Stud, Nut, Paste","9 pcs - 4 ea of Bonding Stud and Bonding Nut, Paste"
http://www.panduit.com/heiler/PartDrawings/C41602_00%20RGW.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_RGW-xx(x)-1Y.jpg,RGW-12-1Y-ND,RGW-12-1Y,Panduit Corp,GROUNDING WASHER KIT 3/8 STUD,0,0,"26.05000","0","1","-","-","Active","Paste, Washers","13 pcs - 12 ea of Grounding Washer, Paste"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/95016_Web.pdf,-,1890-1143-ND,95016,"Makeblock Co., LTD.",HARDWARE PACK,4,0,"31.99000","0","1","-","-","Obsolete","-","Assorted"
http://www.makeblock.com.ph/catalogue.pdf,//media.digikey.com/Photos/Makeblock/MFG_95017.jpg,95017MB-ND,95017,"Makeblock Co., LTD.",HARDWARE PACK (NICKEL-PLATED SCR,0,0,"31.99000","0","2","Plastic Box with Application Tool","-","Active","-","Assorted"
http://www.panduit.com/heiler/PartDrawings/C41602_00%20RGW.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_RGW-xx(x)-1Y.jpg,RGW-24-1Y-ND,RGW-24-1Y,Panduit Corp,GROUNDING WASHER KIT 3/8 STUD,0,0,"51.19000","0","1","-","-","Active","Paste, Washers","25 pcs - 24 ea of Grounding Washer, Paste"
http://asp.vicorpower.com/CADPDF/K8NLT8.PDF,-,19132-ND,19132,Vicor Corporation,100PC STNDOFF .403 F-F 1BG=100PC,0,0,"51.99000","0","1","Bulk","-","Active","Spacers, Standoffs - Round","100 pcs - 100 ea of Standoffs"
http://www.panduit.com/heiler/PartDrawings/C41602_00%20RGW.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_RGW-xx(x)-1Y.jpg,RGW-32-1Y-ND,RGW-32-1Y,Panduit Corp,GROUNDING WASHER KIT 3/8 STUD,0,0,"58.43000","0","1","-","-","Active","Paste, Washers","33 pcs - 32 ea of Grounding Washer, Paste"
http://www.panduit.com/heiler/PartDrawings/C41662_00.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_THSK4-1.jpg,THSK4-1-ND,THSK4-1,Panduit Corp,HARDWARE KIT THRU-HOLE 4 PK.,0,0,"85.61000","0","1","Plastic Bag","-","Active","Bonding Stud, Nut, Paste","17 pcs - 4 ea of Bonding Stud, 12 ea of Bonding Nut, Paste"
http://www.panduit.com/heiler/PartDrawings/C41662_00.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_THSK8-1.jpg,THSK8-1-ND,THSK8-1,Panduit Corp,HARDWARE KIT THRU-HOLE 8 PK.,0,0,"101.78000","0","1","Plastic Bag","-","Active","Bonding Stud, Nut, Paste","27 pcs - 8 ea of Bonding Stud, 18 ea of Bonding Nut, Paste"
http://keyelco.com/product-pdf.cfm?p=4885,//media.digikey.com/photos/Keystone%20Elect%20Photos/SCR-6.JPG,36-SCR-6-ND,SCR-6,Keystone Electronics,KIT #6 CLEAR HOLE SPACERS 400PCS,0,0,"153.61000","0","1","Plastic Cabinet","-","Active","#6 Spacers","400 pcs - 25 ea of 4 sizes in Brass, Aluminum, Nylon, Rolled Aluminum"
http://keyelco.com/product-pdf.cfm?p=4885,//media.digikey.com/photos/keystone%20elect%20photos/MFG_STR-SCR_Kits.jpg,36-SCR-8-ND,SCR-8,Keystone Electronics,KIT #8 CLEAR HOLE SPACERS 400PCS,0,1,"153.61000","0","1","Plastic Cabinet","-","Active","#8 Spacers","400 pcs - 25 ea of 4 sizes in Brass, Aluminum, Nylon, Rolled Aluminum"
http://www.panduit.com/heiler/PartDrawings/C41700-00.pdf,-,TRBS1032K-ND,TRBS1032K,Panduit Corp,THREADED RAIL FASTENER STUD KIT,0,0,"158.01000","0","1","Plastic Bag","-","Active","Bonding Stud, Nut, Paste","76 pcs - 25 ea of Bonding Stud, 50 ea of Bonding Nut, Paste"
