Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
//media.digikey.com/pdf/Data%20Sheets/Industrial%20Fiber%20Optics%20Inc/53%200100.pdf,//media.digikey.com/Photos/Industrial%20Fiberoptics%20Photos/53-0100.jpg,FB193-ND,53 0100,Industrial Fiberoptics,LIGHT PIPE KIT,15,0,"17.63000","0","1","-","-","Active","Flexible","48 Pieces (16 Values - 3 Each)"
-,-,5000021F-ND,5000021F,Dialight,OPTOPIPE ARRAY SAMPLE PACK,0,0,"Obsolete","0","165","Bulk","Optopipe®","Obsolete","Rigid","Assorted"
-,-,5000023F-ND,5000023F,Dialight,OPTOPIPE PNL MT TYPE SMPLPACK,0,0,"Obsolete","0","208","Bulk","Optopipe®","Obsolete","Rigid","Assorted"
-,-,5000024F-ND,5000024F,Dialight,OPTOPIPE ARRAY 2 SMPL PACK,0,0,"Obsolete","0","223","Bulk","Optopipe®","Obsolete","Rigid","Assorted"
-,-,5000025F-ND,5000025F,Dialight,OPTOPIPE RT ANGLE SMPL PACK,0,0,"Obsolete","0","171","Bulk","Optopipe®","Obsolete","Rigid","Assorted"
