Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Values"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0153.pdf,//media.digikey.com/photos/Molex/MFG_76650-0153.jpg,WM8476-ND,76650-0153,Molex,KIT .250 QUICK DIS Q.C. ADAPTER,8,0,"22.12000","0","1","Plastic Packaging","Avikrimp 19043, 19163","Active","Quick Disconnect","125 pcs - Assorted Adapter, 22 ~ 10 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0189.pdf,//media.digikey.com/photos/Molex/76650-0189.JPG,WM8506-ND,76650-0189,Molex,KIT CONN 2.0MM WTW,9,0,"22.94000","0","1","Plastic Box","50012, 50013, 51005, 51006","Active","Rectangular - Contact, Housing","132 pcs - Assorted 2 ~ 5 Circuit Housing, Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0155.pdf,//media.digikey.com/Photos/Molex/76650-0155.JPG,WM8478-ND,76650-0155,Molex,KIT BULLET SNAP COUPLER,7,0,"26.62000","0","1","Plastic Box","InsulKrimp; Krimptite","Active","Barrel, Bullet","190 pcs - Assorted 14 ~ 16 AWG Crimp Terminals"
http://catalog.americanelectrical.com/Asset/Itemwise-Information.pdf,//media.digikey.com/photos/American%20Elect%20Photos/162025.JPG,288-1153-ND,162025,American Electrical Inc.,CONN ASSORTMENT BOX TYPE W,14,0,"30.63000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","150 pcs - 30 pcs ea 26 AWG, 24 AWG, 22 AWG, 20 AWG and 18 AWG Cable Diameter"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0120.pdf,//media.digikey.com/photos/Molex/76650-0120.JPG,WM8448-ND,76650-0120,Molex,KIT SMT VERT HDR ZIF FLIP-TYPE,7,0,"36.24000","0","1","Plastic Box","Easy-On","Active","FFC, FPC (Flat Flex) - Connector - Board Mount","20 pcs - 5 ea of 30, 40, 50, 60 Circuit"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0029.pdf,//media.digikey.com/photos/Molex/76650-0029.JPG,WM8417-ND,76650-0029,Molex,KIT QUICK DISCONNECT K-120,7,0,"39.53000","0","1","Plastic Box","-","Active","Wire Splice, Quick Disconnect, Ring Tongue, Spade Terminal","401 pcs - Assorted 22 ~ 14 AWG Crimp Terminals, Crimp Tool"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0202.pdf,//media.digikey.com/photos/Molex/76650-0202.JPG,WM8516-ND,76650-0202,Molex,KIT IGRID 2.00MM DR RA 20-28 PIN,18,0,"47.90000","0","1","Plastic Box","iGrid","Active","Rectangular - Contact, Header, Housing","320 pcs - Assorted 20, 22, 24, 26, 28 Circuit Header, Housing, 26 ~ 22 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0045.pdf,//media.digikey.com/photos/Molex/MFG_76650-0045.jpg,WM8426-ND,76650-0045,Molex,KIT QUICK DISCONNECT K-191,6,0,"50.24000","0","1","Plastic Box","-","Active","Quick Disconnect","301 pcs - Assorted 22 ~ 10 AWG Crimp Terminals, Crimp Tool"
http://catalog.americanelectrical.com/Asset/Itemwise-Information.pdf,//media.digikey.com/photos/American%20Elect%20Photos/16050U.JPG,288-1156-ND,16050U,American Electrical Inc.,CONN ASSORTMENT BOX UNINSULATED,10,0,"52.05000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","1800 pcs - 500 pcs 22 AWG, 400 pcs ea 20 AWG, 18 AWG, 300 pcs 16 AWG, 200 pcs 14 AWG Cable Diameter"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0018.pdf,//media.digikey.com/photos/Molex/MFG_76650-0018.jpg,WM9801-ND,76650-0018,Molex,KIT CONN STD .093"" SERIES,13,0,"70.56000","0","1","Plastic Box with Bin Guide","Standard .093","Active","Circuit Plug, Receptacle","292 pcs - Assorted 1 ~ 6, 9, 12, 15 Circuit Plug, Receptacle, 22 ~ 18 AWG Pins, Sockets"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0024.pdf,//media.digikey.com/photos/Molex/76650-0024.JPG,WM1053-ND,76650-0024,Molex,KIT EUROSTYLE 5.08MM K-ESE200,5,0,"79.13000","0","1","Plastic Box with Bin Guide","Eurostyle ESE 39532, 39533","Active","Terminal Blocks - Headers and Plugs","68 pcs - Assorted 2 ~ 6, and 8 position"
//media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/76650-0195.pdf,//media.digikey.com/photos/Molex/76650-0195.JPG,WM8510-ND,76650-0195,Molex,KIT CONN MILLI-GRID DELUXE,3,0,"79.14000","0","1","Plastic Box with Bin Guide","Milli-Grid","Active","Rectangular - Free Hanging, Header, Housing","160 pcs - Assorted 4, 6, 10, 14, 16, 20, 24, 30, 40, 44, 50 Circuit Header, Housing, 30 ~ 24 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0015.pdf,//media.digikey.com/photos/Molex/76650-0015.JPG,WM8409-ND,76650-0015,Molex,KIT CONN MINI-FIT JR 4.20MM,7,0,"80.45000","0","1","Plastic Box","Mini-Fit Jr","Active","Rectangular - Contact, Header, Housing","182 pcs - Assorted 2, 4, 6, 8, 10, 12, 14, 16, 18, 20 Circuit Header, Housing, 24 ~ 18 AWG Crimp Terminals"
-,//media.digikey.com/Photos/Weidmuller/1203350000.jpg,281-3243-ND,1203350000,Weidmüller,TERM BLOCK SAMPLE KIT,4,0,"84.53000","0","1","Plastic Box","-","Active","Terminal Blocks - Accessories","4 pcs - Component Housing (1-Cover, 1-Front, 1-Side, 1-Bottom)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/SDTK-2.pdf,//media.digikey.com/photos/3M%20Photos/SDTK-2_3M.jpg,924000-S-ND,SDTK-2,3M,SCOTCHLOK TERMINAL KIT,14,0,"86.76000","0","1","Plastic Box with Bin Guide","Scotchlok™","Active","Termination","134 pcs - Assorted Block Fork Terminals, Butt Splice, Crimp Sleeve Connector, Disconnects, Ring Tongue Terminals"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3202986.pdf,//media.digikey.com/Photos/Phoenix%20Photos/Mfg_3202986.jpg,277-2288-ND,3202986,Phoenix Contact,CONN FERRULE 2WIRE SLIDE BOX,6,0,"95.28000","0","1","Plastic Box with Slide Cover","AI","Active","Ferrule - Wire End","225 pcs - Assorted Insulated 20 ~ 14 AWG Ferrules"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/662001.jpg,732-10192-ND,662001,Wurth Electronics Inc.,MINI POWER CONNECTORS WR-MPC3,4,0,"97.63000","0","1","Plastic Box with Bin Guide","WR-MPC3","Active","Terminal Blocks - Headers and Plugs","193 pcs - Assorted of 166 values"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/645001.jpg,732-10190-ND,645001,Wurth Electronics Inc.,WIRE-TO-BOARD CONNECTORS WR-WTB,2,0,"101.75000","0","1","Plastic Box with Bin Guide","WR-WTB","Active","Terminal Blocks - Wire to Board","371 pcs - Assorted of 290 values"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/Wurth_ConnectorProductOffering.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/691001.JPG,732-5423-ND,691001,Wurth Electronics Inc.,WERI TBL SAMPLE KIT,2,0,"108.90000","0","1","Plastic Box with Bin Guide","WR-TBL","Active","Terminal Blocks - Headers and Plugs","133 pcs - 1 ea of 133 values"
-,//media.digikey.com/Photos/Phoenix%20Photos/3202999.JPG,277-9615-ND,3202999,Phoenix Contact,RANGE BOX COLOR: GRAY,3,0,"118.84000","0","1","Plastic Box with Slide Cover","SORTI","Active","Ferrule - Wire End","40 pcs - Assorted Insulated 12 ~ 8 AWG Ferrules"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0192.pdf,//media.digikey.com/photos/Molex/76650-0192.jpg,WM8546-ND,76650-0192,Molex,KIT MULTI STACKING APPLICATIONS,3,0,"135.37000","0","1","Plastic Box with Bin Guide","-","Active","Board to Board - Arrays, Edge Type, Mezzanine, Rectangular - Headers, Receptacles","55 pcs - Assorted 2 ~ 4, 6, 8, 12, 20, 50, 64, 72 Positions"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/612690.jpg,732-10194-ND,612690,Wurth Electronics Inc.,CONNECTOR SOLUTIONS,2,0,"144.97000","0","1","Plastic Box with Bin Guide","-","Active","Design","400 pcs - Assorted of 250 values"
http://www.panduit.com/heiler/CatalogCutSheets/PM1-3F-C%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/KP-1165Y.jpg,298-1382-ND,KP-1165Y,Panduit Corp,TERMINAL KIT W/TOOL PLAST BOX,2,0,"178.40000","0","1","Plastic Box with Bin Guide","Pan-Term®","Active","Termination","148 pcs - Assorted Insulated Disconnects, Forks, Rings, Splices, Wire Joints, Crimp Tool"
-,//media.digikey.com/photos/3M%20Photos/STK-1%20RED%20TERM%20BOX.jpg,923000-I-ND,STK-1 RED TERM BOX,3M,KIT INSULATED TERMINAL,3,0,"240.33000","0","1","Metal Box with Bin Guide","Scotchlok™","Active","Termination","852 pcs - Assorted Block Fork Terminals, Butt Connectors, Cable Ties, Disconnects, Ring Tongue Terminals, Crimp Tool"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1213999.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1213999.jpg,277-11719-ND,1213999,Phoenix Contact,TOOL SET CUTTER/STRIPPER/CRIMPER,4,0,"458.07000","0","1","Carrying Case","CrimpFox","Active","Ferrule - Wire End","Assorted Ferrules, Crimp Tool, Strip Tool"
http://www.panduit.com/heiler/CatalogCutSheets/K1-PNKIT%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_K2-PVKITY.jpg,298-11570-ND,K2-PVKITY,Panduit Corp,KIT INDUST MAINT STEEL BOX,5,0,"479.95000","0","1","Metal Box with Bin Guide","Pan-Term®","Active","Termination","931 pcs - Assorted Insulated Terminals, Cable Ties, Crimp Tool, Marking System, Wire Joints"
http://www.panduit.com/heiler/CatalogCutSheets/K1-PNKIT%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_K1-PNKIT.jpg,298-11569-ND,K1-PNKIT,Panduit Corp,KIT INDUST MAINT STEEL W/TOOL,2,0,"626.04000","0","1","Metal Box with Bin Guide","Pan-Term®","Active","Termination","1475 pcs - Assorted Insulated Terminals, Cable Ties, Crimp Tool, Marking System"
http://www.panduit.com/heiler/CatalogCutSheets/K-1000%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_K-1102Y.jpg,298-11565-ND,K-1102Y,Panduit Corp,VINYL TERMINAL KIT IN STEEL BOX,2,0,"671.35000","0","1","Metal Box with Bin Guide","Pan-Term®","Active","Termination","701 pcs - Assorted Insulated Locking Forks, Butt Splices, Crimp Tool"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1202580.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1202580.jpg,277-2284-ND,1202580,Phoenix Contact,TOOL BOX ASST FERRULES & TOOLS,3,0,"851.69000","0","1","Metal Box with Bin Guide","-","Active","Ferrule - Wire End","600 pcs - Assorted Ferrules, Crimping Tool, Stripping Tool"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2105_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2105.jpg,1528-1499-ND,2105,Adafruit Industries LLC,IDC BREAKOUT HELPER,119,0,"0.95000","0","1","Bulk","-","Active","Header, Receptacle","2 pcs - Header, Receptacle"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0173.pdf,//media.digikey.com/photos/Molex/76650-0173.JPG,WM8494-ND,76650-0173,Molex,KIT CONN EBBI 50D BLIND MATE BTB,4,0,"77.17000","0","1","Plastic Box","EBBI 71660, 71661","Active","D-Shaped, Centronics, Receptacle, Outer Shroud Contacts","12 pcs - Assorted 30, 40, 50, 60, 68, 80 Positions"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/649001.jpg,732-10191-ND,649001,Wurth Electronics Inc.,MINI POWER CONNECTORS WR-MPC4,2,0,"79.75000","0","1","Plastic Box with Bin Guide","WR-MPC4","Active","Terminal Blocks - Headers and Plugs","169 pcs - Assorted of 115 values"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/690001.jpg,732-10188-ND,690001,Wurth Electronics Inc.,MINIMODULE CONNECTORS WR-MM,3,0,"103.13000","0","1","Plastic Box with Bin Guide","WR-MM","Active","Design Rectangular MiniModule","132 pcs - 1 ea of 132 values"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0149.pdf,//media.digikey.com/Photos/Molex/76650-0149.jpg,WM8472-ND,76650-0149,Molex,KIT USB TYPE A AND B INTERFACE,2,0,"123.19000","0","1","Plastic Box with Bin Guide","-","Active","USB, IEEE-1394 (Firewire), DVI, HDMI","9 pcs - Assorted Plug, Receptacle"
-,//media.digikey.com/photos/Weidmuller/1105610000.jpg,281-2787-ND,1105610000,Weidmüller,CH20M22 MODULAR HOUSING KIT,4,0,"149.38000","0","1","Plastic Box","CH20M","Active","Terminal Blocks - Headers and Plugs","9 pcs - Component Housing (1-Cover, 1-Front, 3-Sides, 1-Bottom), 2 Headers (Male), 1 Plug (Female)"
