Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WSK-900-0011.pdf,-,1661-1070-ND,WSK-900-0011,Digital Six Labs,COMM PROPERTY KIT PRO 4G,5,0,"1084.86000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WSK-900-0020.pdf,-,1661-1073-ND,WSK-900-0020,Digital Six Labs,IND IOT KIT VOLTAGE PRO ETH,5,0,"1091.36000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WSK-900-0022.pdf,-,1661-1074-ND,WSK-900-0022,Digital Six Labs,IND IOT KIT VOLTAGE IND ETH,5,0,"1416.36000","0","1","-","*","Active","-","-"
https://content.kemet.com/datasheets/TXS_ENG_KIT_02.pdf,//media.digikey.com/Photos/Kemet%20Photos/TXS-ENG-KIT-02.jpg,1680-1023-ND,TXS ENG KIT 02,KEMET,THERMAL SENSOR ENGINEERING KIT,5,0,"168.00000","0","1","-","-","Active","Thermal Sensors","16 Pieces (16 Values - 1 Each)"
//media.digikey.com/pdf/Data%20Sheets/Intel%20PDFs/R200_June2016_DS.pdf,-,544-3610-ND,82634DSRBTDVK,Intel,REALSENSE ROBOTIC DEVELOPMENT KI,10,0,"238.40000","0","1","-","D400","Active","-","-"
https://www.idt.com/document/man/sdah01-evaluation-kit-user-guide,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_SDAH01.jpg",800-3835-ND,SDAH01,"IDT, Integrated Device Technology Inc",KIT HUMIDITY TEMP SENSOR,0,0,"93.75000","0","1","Bulk","-","Active","Humidity, Temperature","10 Pieces (Assorted Per Value)"
https://www.idt.com/document/man/sdah02-kit-user-guide,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/SDAH02.JPG",800-3834-ND,SDAH02,"IDT, Integrated Device Technology Inc",KIT HUMIDITY TEMP SENSOR,2,0,"43.75000","0","1","Bulk","-","Active","Humidity, Temperature","3 Pieces (3 Values - 1 Each)"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/SS1-1-900-U.pdf,-,1661-1062-ND,SS-1-900-U,Digital Six Labs,WHISKER IO UNIV SMART SOAP DISP,0,0,"129.00000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/SS1-1-900-1.pdf,-,1661-1061-ND,SS-1-900-1,Digital Six Labs,WHISKER IO SMART SOAP DISPENSER,0,0,"149.00000","0","1","-","*","Active","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Encoder_Documents/TMCS-28_datasheet_Rev1.32.pdf,-,1460-1368-ND,TMCS-28-1024-KIT,Trinamic Motion Control GmbH,OPTICAL ENCODER STARTER KIT A/B/,0,0,"149.93000","0","1","-","-","Active","Encoders","-"
