Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Kit Contents"
http://multimedia.3m.com/mws/media/752460O/3mtm-crimploktm-connector-data-sheet.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_8700-PS%5EUPC.jpg,8700-PS/UPC-ND,8700-PS/UPC,3M,CONN SC/UPC SM900M W/8765-PS/UPC,0,0,"16.32433","0","60","Plastic Carrying Case","Crimplok™","Active","Termination","Connectors and Tool"
https://www.molex.com/pdm_docs/sd/1060004100_sd.pdf,-,1060004100-ND,1060004100,Molex,LC QTERM SM 1.6&2.0MM CLB 6 CONN,0,0,"88.98000","0","1","Plastic Packaging","XPress™","Active","Termination","Adapters, Connectors"
https://www.molex.com/pdm_docs/sd/1060004300_sd.pdf,-,1060004300-ND,1060004300,Molex,LC QTERM SM 1.6&2.0MM CLB 12CONN,0,0,"88.98000","0","1","Plastic Packaging","XPress™","Active","Termination","Adapters, Connectors"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278861&DocType=Customer+Drawing&DocLang=English,-,1278861-3-ND,1278861-3,TE Connectivity AMP Connectors,TEST KIT CBL MTRJ TO MTRJ 50/125,0,0,"148.84000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278861&DocType=Customer+Drawing&DocLang=English,-,1278861-6-ND,1278861-6,TE Connectivity AMP Connectors,TEST KIT MTRJ SEC-MTRJ 50/125,0,0,"160.85000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278862&DocType=Customer+Drawing&DocLang=English,-,1278862-6-ND,1278862-6,TE Connectivity AMP Connectors,TEST KIT MTRJ TO MT/RJ 62.5/125,0,0,"160.85000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278863&DocType=Customer+Drawing&DocLang=English,-,1278863-3-ND,1278863-3,TE Connectivity AMP Connectors,TEST KIT MTRJ SM JACK - MTRJ,0,0,"174.35000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278863&DocType=Customer+Drawing&DocLang=English,-,1278863-6-ND,1278863-6,TE Connectivity AMP Connectors,TEST KIT MTRJ - MTRJ 50/125,0,0,"213.53000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278861&DocType=Customer+Drawing&DocLang=English,-,1278861-4-ND,1278861-4,TE Connectivity AMP Connectors,TEST KIT CBL MTRJ-SC SEC 50/125,0,0,"267.96000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278861&DocType=Customer+Drawing&DocLang=English,-,1278861-5-ND,1278861-5,TE Connectivity AMP Connectors,TEST KIT CBL MTRJ-ST SEC 50/125,0,0,"267.96000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278862&DocType=Customer+Drawing&DocLang=English,-,1278862-5-ND,1278862-5,TE Connectivity AMP Connectors,TEST KIT MTRJ TO ST SEC 62.5/125,0,0,"267.96000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278861&DocType=Customer+Drawing&DocLang=English,-,1278861-2-ND,1278861-2,TE Connectivity AMP Connectors,TEST KIT CABLE MTRJ TO ST 50/125,0,0,"290.90000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278862&DocType=Customer+Drawing&DocLang=English,-,1278862-2-ND,1278862-2,TE Connectivity AMP Connectors,TEST KIT CABLE MTRJ-ST 62.5/125,0,0,"290.90000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278863&DocType=Customer+Drawing&DocLang=English,-,1278863-2-ND,1278863-2,TE Connectivity AMP Connectors,TEST KIT MTRJ SM JACK - ST,0,0,"309.35000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1278863&DocType=Customer+Drawing&DocLang=English,-,1278863-4-ND,1278863-4,TE Connectivity AMP Connectors,TEST KIT MTRJ SM JACK - SC SEC,0,0,"355.76000","0","1","Plastic Carrying Case","-","Active","Cable Assembly","Adapters, Cable Assemblies, Label"
