Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Capacitance Range","Mounting Type","Voltage - Rated","Tolerance","Applications","Features","Quantity","Packages Included"
http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp,//media.digikey.com/Photos/Samsung%20Photos/SAMPLE_KIT.jpg,1276-6421-ND,KIT_MLCC_HIGH FREQUENCY,Samsung Electro-Mechanics,CAP KIT CER 0.2PF-27PF 2200PCS,0,0,"Active","0","1","Notebook","CL","Active","Ceramic","0.2pF ~ 27pF","Surface Mount, MLCC","16V, 25V","±0.1pF, ±0.25pF, ±0.5pF, ±2%, ±5%","General Purpose","-","2200 Pieces (44 Values - 50 Each)","01005, 0201 (0402, 0603 Metric)"
http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp,//media.digikey.com/Photos/Samsung%20Photos/SAMPLE_KIT.jpg,1276-6422-ND,KIT_MLCC_ACOUSTIC NOISE,Samsung Electro-Mechanics,CAP KIT CERAMIC 2.2UF-47UF 750PC,0,0,"Active","0","1","Notebook","CL","Active","Ceramic","2.2µF ~ 47µF","Surface Mount, MLCC","6.3 ~ 25 V","±10%, ±20%","General Purpose","-","750 Pieces (15 Values - 50 Each)","0402, 0603, 0805 (1005, 1608, 2012 Metric)"
http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp,//media.digikey.com/Photos/Samsung%20Photos/SAMPLE_KIT.jpg,1276-6423-ND,KIT_MLCC_LOW ESL,Samsung Electro-Mechanics,CAP KIT CERAMIC 0.1UF-47UF 400PC,0,0,"Active","0","1","Notebook","CL","Active","Ceramic","0.1µF ~ 47µF","Surface Mount, MLCC","4V, 10V","±20%","Bypass, Decoupling","Low ESL (Multi-Terminal), Low ESL (Reverse Geometry)","400 Pieces (8 Values - 50 Each)","0204 ~ 1206 (0610 ~ 3216 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9784-ND,KITUQ360LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-2PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","0.1pF ~ 2pF","Surface Mount, MLCC","200V","±0.1pF, ±0.25pF","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0402 (1005 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9785-ND,KITUQ370LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","200V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0402 (1005 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9786-ND,KITUQ380LF,AVX Corporation,CAP KIT CERAMIC 10PF-27PF 120PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","10pF ~ 27pF","Surface Mount, MLCC","200V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","120 Pieces (8 Values - 15 Each)","0402 (1005 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9787-ND,KITUQ250LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-2PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","0.1pF ~ 2pF","Surface Mount, MLCC","250V","±0.1pF","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0603 (1608 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9788-ND,KITUQ260LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0603 (1608 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9789-ND,KITUQ270LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","250V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0603 (1608 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9790-ND,KITUQ320LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-2PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","0.1pF ~ 2pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0805 (2012 Metric)"
