Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Style","Material - Core","Quantity","Inductance Range","Mounting Type","Packages Included","Features","Shielding"
http://www.yuden.co.jp/productdata/catalog/mlci04_e.pdf,//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/587-1793-KIT.jpg,587-1793-KIT-ND,587-1793-KIT,Taiyo Yuden,KIT INDUCTOR HI FREQ 0201 SMD,3,0,"60.00000","0","1","Plastic Box with Bin Guide","HK","Active","Fixed","Multilayer","Ferrite","250 Pieces (25 Values - 10 Each)","1nH ~ 100nH","Surface Mount","0201 (0603 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/Design_Kits_Inductive_Components_Web.pdf,-,CW252016-LAB1-ND,CW252016-LAB1,Bourns Inc.,KIT INDUCTOR HIGH Q CHIP,0,0,"63.00000","0","1","Plastic Box with Bin Guide","CW252016","Active","Fixed","Wirewound","Ceramic, Ferrite","360 Pieces (18 Values - 20 Each)","10nH ~ 4.7µH","Surface Mount","1008 (2520 Metric)","-","-"
https://product.tdk.com/info/en/catalog/datasheets/wlc_tx_wtm505090-10k2-5v-g1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/445-180946-KIT.JPG,445-180946-KIT-ND,445-180946-KIT,TDK Corporation,WIRELESS TRANSMITTER COIL KIT 3,8,0,"66.70000","0","1","Notebook","WT","Active","Wireless Charging Coils","Transmitter","-","7 Pieces (7 Values - 1 Each)","6.3µH ~ 24µH","-","-","1 Coil, 1 Layer; 1 Coil, 2 Layer","-"
https://www.bourns.com/docs/Product-Datasheets/CW201212.pdf,//media.digikey.com/Renders/Bourns%20Renders/CW201212%20Series.jpg,CW201212-LAB1-ND,CW201212-LAB1,Bourns Inc.,INDUCTOR 0805 SMD,0,0,"66.92000","0","1","Plastic Box with Bin Guide","CW201212","Active","Fixed","Wirewound","Ceramic, Ferrite","720 Pieces (18 Values - 40 Each)","2.2nH ~ 910nH","Surface Mount","0805 (2012 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT-505060-8K2-LT.pdf,//media.digikey.com/Photos/TDK%20Photos/445-180945-KIT.jpg,445-180945-KIT-ND,WT-2-KIT,TDK Corporation,WIRELESS TRANSMITTER COIL KIT 2,2,0,"71.45000","0","1","Notebook","WT","Active","Wireless Charging Coils","Transmitter","-","11 Pieces (Assorted Per Value)","2.76µH ~ 24µH","-","-","1 Coil, 1 Layer; 1 Coil, 2 Layer","-"
-,//media.digikey.com/Photos/Samsung%20Photos/SAMPLE_KIT.jpg,1276-6438-ND,KIT_EMC_CIH03Q,Samsung Electro-Mechanics,KIT INDUCT HF HIGH Q 25 VALUES,1,0,"75.00000","0","1","Notebook","CIH03Q","Obsolete","Fixed","Multilayer","-","1250 Pieces (25 Values - 50 Each)","1nH ~ 22nH","Surface Mount","0201 (0603 Metric)","-","-"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr444025-17m6-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/445-180942-KIT.jpg,445-180942-KIT-ND,WR-2-KIT,TDK Corporation,WIRELESS RECEIVING COIL KIT 2,2,0,"78.08000","0","1","Notebook","WR","Active","Wireless Charging Coils","Receiver","-","15 Pieces (Assorted Per Value)","8.23µH ~ 46µH","-","-","1 Coil, 1 Layer","-"
https://product.tdk.com/info/en/catalog/datasheets/wlc_tx_wt1005690-12k2-a6-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/445-180944-KIT.jpg,445-180944-KIT-ND,WT-1-KIT,TDK Corporation,WIRELESS TRANSMITTER COIL KIT 1,4,0,"82.89000","0","1","Notebook","WT","Active","Wireless Charging Coils","Transmitter","-","13 Pieces (8 Values - Mixed Quantities)","6.2µH ~ 20.9µH","-","-","1 Coil, 1 Layer; 1 Coil, 2 Layer; 3 Coil, 1 Layer","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/SPMXX20-LR-KIT_DS.pdf,//media.digikey.com/Photos/TDK%20Photos/SPMXX20-LR-KIT.jpg,SPMXX20-LR-KIT-ND,SPMXX20-LR-KIT,TDK Corporation,SPM-LR 2.0MM HEIGHT PWR IND KIT,4,0,"89.67000","0","1","Plastic Box","SPM-LR","Active","Fixed","Wirewound","Metal","140 Pieces (14 Values - 10 Each)","470nH ~ 10µH","Surface Mount","Non-Standard SMD","-","Shielded"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr444030-16f3-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/445-180943-KIT.JPG,445-180943-KIT-ND,WR-3-KIT,TDK Corporation,WIRELESS RECIEVING COIL KIT 3,1,0,"91.05000","0","1","Notebook","WR","Active","Wireless Charging Coils","Receiver","-","16 Pieces (8 Values - 2 Each)","7.3µH ~ 19.5µH","-","-","1 Coil, 1 Layer","-"
