Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Values","Diameter","Color","Shrinkage Ratio"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-RK1-3/16-01-6IN-24-ND,Q5-F3X-RK1-3/16-01-6IN-24,Qualtek,HEATSHRINK REFILL PK 3/16""-6""BLK,0,0,"4.59700","0","10","Refill Pack","Q5-F3X","Active","24 pcs - 6"" (152.4mm) lengths","3/16""","Black","3 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-RK1-1/4-01-6IN-20-ND,Q5-F3X-RK1-1/4-01-6IN-20,Qualtek,HEATSHRINK REFILL PK 1/4""-6"" BLK,0,0,"4.70900","0","10","Refill Pack","Q5-F3X","Active","20 pcs - 6"" (152.4mm) lengths","1/4""","Black","3 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-RK1-3/8-01-6IN-16-ND,Q5-F3X-RK1-3/8-01-6IN-16,Qualtek,HEATSHRINK REFILL PK 3/8""-6"" BLK,0,211,"5.05400","0","10","Refill Pack","Q5-F3X","Active","16 pcs - 6"" (152.4mm) lengths","3/8""","Black","3 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-3X-RK1-1/2-01-6IN-14-ND,Q5-3X-RK1-1/2-01-6IN-14,Qualtek,HEATSHRINK REFILL PK 1/2""-6"" BLK,0,13,"5.21800","0","10","Refill Pack","Q5-3X","Active","14 pcs - 6"" (152.4mm) lengths","1/2""","Black","3 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP301-1%5E2-BLACK.jpg,3M161316-ND,FP-301-1/2-BLACK-6""-PACK,3M,HEATSHRINK FP301 1/2-6"" BLACK,4,0,"5.42000","0","1","Refill Pack","FP-301","Obsolete","10 - 20 pc Pkgs - 6"" (152.4mm) lengths","1/2""","Black","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-RK1-1/2-01-6IN-14-ND,Q5-F3X-RK1-1/2-01-6IN-14,Qualtek,HEATSHRINK REFILL PK 1/2""-6"" BLK,0,0,"6.21600","0","10","Refill Pack","Q5-F3X","Active","14 pcs - 6"" (152.4mm) lengths","1/2""","Black","3 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-3X-RK1-3/4-01-6IN-12-ND,Q5-3X-RK1-3/4-01-6IN-12,Qualtek,HEATSHRINK REFILL PK 3/4""-6"" BLK,0,0,"6.71300","0","10","Refill Pack","Q5-3X","Active","12 pcs - 6"" (152.4mm) lengths","3/4""","Black","3 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP301-1%5E4-BLACK.jpg,FP-301-1/4-BLACK-6""-PACK-ND,FP-301-1/4-BLACK-6""-PACK,3M,HEATSHRINK FP301 1/4-6"" BLACK,0,0,"8.43200","0","10","Refill Pack","FP-301","Active","10 - 26 pc Pkgs - 6"" (152.4mm) lengths","1/4""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP-301-3%5E4-BLACK.jpg,FP-301-3/4-BLACK-6""-PACK-ND,FP-301-3/4-BLACK-6""-PACK,3M,HEATSHRINK FP301 3/4-6"" BLACK,0,0,"8.43200","0","10","Refill Pack","FP-301","Active","10 - 14 pc Pkgs - 6"" (152.4mm) lengths","3/4""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP301-3%5E8-BLACK.jpg,FP-301-3/8-BLACK-6""-PACK-ND,FP-301-3/8-BLACK-6""-PACK,3M,HEATSHRINK FP301 3/8-6"" BLACK,0,0,"8.43200","0","10","Refill Pack","FP-301","Active","10 - 24 pc Pkgs - 6"" (152.4mm) lengths","3/8""","Black","2 to 1"
