Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Resistive Material","Taper","Tolerance","Power (Watts)","Number of Turns","Quantity","Termination Style"
https://www.bourns.com/docs/Product-Datasheets/3339.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23672.jpg,3339P-KIT-ND,Q23672,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3339 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","4","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3386.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23578.jpg,3386R-KIT-ND,Q23578,Bourns Inc.,KIT POT TRIMMER 50-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3386 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 2M","Cermet","-","±10%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3386.pdf,-,3386C-KIT-ND,Q23574,Bourns Inc.,KIT POT TRIMMER 50-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3386 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 2M","Cermet","-","±10%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3252.pdf,-,3252-KIT-ND,Q23582,Bourns Inc.,KIT POT TRIMMER 100-50K OHM 90PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3252 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 50k","Cermet","-","±10%","3/4W","25","90 Pieces (18 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3266.pdf,-,3266W-KIT-ND,Q23586,Bourns Inc.,KIT POT TRIMMER 10-1M OHM 90PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3266 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 1M","Cermet","-","±10%","1/4W","12","90 Pieces (18 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3266.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23596.jpg,3266X-KIT-ND,Q23596,Bourns Inc.,KIT POT TRIMMER 10-1M OHM 90PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3266 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 1M","Cermet","-","±10%","1/4W","12","90 Pieces (18 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3362.pdf,-,3362H-KIT-ND,Q23597,Bourns Inc.,KIT POT TRIMMER 100-1M OHM 140PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3362 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 1M","Cermet","-","±10%","1/2W","1","140 Pieces (14 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3362.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23610.jpg,3362U-KIT-ND,Q23610,Bourns Inc.,KIT POT TRIMMER 100-1M OHM 140PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3362 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 1M","Cermet","-","±10%","1/2W","1","140 Pieces (14 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3362.pdf,-,3362M-KIT-ND,Q23604,Bourns Inc.,KIT POT TRIMMER 100-1M OHM 140PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3362 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 1M","Cermet","-","±10%","1/2W","1","140 Pieces (14 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3362.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23612.jpg,3362X-KIT-ND,Q23612,Bourns Inc.,KIT POT TRIMMER 100-1M OHM 140PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3362 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 1M","Cermet","-","±10%","1/2W","1","140 Pieces (14 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3309.pdf,-,3309-KIT-ND,Q23616,Bourns Inc.,KIT POT TRIM 100-100K OHM 180PCS,0,0,"Discontinued at Digi-Key","0","1","Bulk","Trimpot® 3309 - Open Frame","Discontinued at Digi-Key","Trimmer","100 ~ 100k","Cermet","-","±25%","1/2W","1","180 Pieces (18 Values - 10 Each)","PC Pins"
