Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Applications","Efficiency","Operating Temperature","Output Connector","Size / Dimension","Approvals"
http://catalog.triadmagnetics.com/Asset/WAU120-1000.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU120-1000-ND,WAU120-1000,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,287,240,"17.74000","0","1","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU160-750-ND,WAU160-750,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,109,553,"17.74000","0","1","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,237-2202-ND,WAU200-600-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,107,312,"17.27000","0","1","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU12-200.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1880-ND,WAU12-200,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 200MA,72,385,"9.23000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","200mA","2W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.54"" L x 1.69"" W x 2.36"" H (39.0mm x 43.0mm x 60.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU16-500.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-16%20Series.jpg,237-1887-ND,WAU16-500,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 500MA,76,228,"9.45000","0","1","WAU16","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","500mA","8W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU24-200.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-24%20Series.jpg,237-1892-ND,WAU24-200,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 200MA,74,705,"13.55000","0","1","WAU24","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","200mA","5W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU12-1500.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1879-ND,WAU12-1500,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1.5A,61,286,"14.35000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1.5A","18W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU12-1000.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1878-ND,WAU12-1000,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,94,136,"14.95000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU090-1200-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,237-2200-ND,WAU090-1200-SG,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,36,224,"16.78000","0","1","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,237-2198-ND,WAU060-2000-SG,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,28,312,"16.87000","0","1","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
