Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Applications","Efficiency","Operating Temperature","Output Connector","Size / Dimension","Approvals"
http://catalog.triadmagnetics.com/Asset/WAU090-1200T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU090-1200T-S-ND,WAU090-1200T-S,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"13.20052","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU060-2000-S-ND,WAU060-2000-S,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"13.24361","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU060-2000T-S-ND,WAU060-2000T-S,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"13.24361","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU120-1000-S-ND,WAU120-1000-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"13.37288","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU120-1000T-S-ND,WAU120-1000T-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"13.37288","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU160-750-S-ND,WAU160-750-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"13.40161","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU160-750T-S-ND,WAU160-750T-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"13.40161","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU240-500-S-ND,WAU240-500-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,0,"13.50216","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU240-500T-S-ND,WAU240-500T-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,0,"13.50216","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU200-600-S-ND,WAU200-600-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"13.57399","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600T-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-S.jpg,WAU200-600T-S-ND,WAU200-600T-S,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"13.57399","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU090-1200T-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-SG.jpg,WAU090-1200T-SG-ND,WAU090-1200T-SG,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"13.73198","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000T-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-SG.jpg,WAU060-2000T-SG-ND,WAU060-2000T-SG,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"13.80381","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000T-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-SG.jpg,WAU120-1000T-SG-ND,WAU120-1000T-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"13.93308","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750T-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-SG.jpg,WAU160-750T-SG-ND,WAU160-750T-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"13.97617","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,WAU240-500-SG-ND,WAU240-500-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,1008,"14.03363","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600T-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-SG.jpg,WAU200-600T-SG-ND,WAU200-600T-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"14.13417","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU090-1200T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU090-1200T-ND,WAU090-1200T,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"14.32091","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU240-500T-ND,WAU240-500T,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,0,"14.43581","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU120-1000T-ND,WAU120-1000T,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"14.52200","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU160-750T-ND,WAU160-750T,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"14.52200","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU200-600T-ND,WAU200-600T,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"14.52200","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU060-2000T-ND,WAU060-2000T,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"14.89548","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU060-2000-G-ND,WAU060-2000-G,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"15.15403","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU060-2000T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU060-2000T-G-ND,WAU060-2000T-G,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,0,0,"15.15403","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU090-1200-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU090-1200-G-ND,WAU090-1200-G,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"15.19710","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU090-1200T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU090-1200T-G-ND,WAU090-1200T-G,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"15.19710","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU120-1000-G-ND,WAU120-1000-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"15.39821","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU120-1000T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU120-1000T-G-ND,WAU120-1000T-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,0,0,"15.39821","0","504","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU160-750-G-ND,WAU160-750-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"15.44131","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU160-750T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU160-750T-G-ND,WAU160-750T-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,0,0,"15.44131","0","504","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU240-500-G-ND,WAU240-500-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,0,"15.54185","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU240-500T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU240-500T-G-ND,WAU240-500T-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,0,0,"15.54185","0","504","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_G.jpg,WAU200-600-G-ND,WAU200-600-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"15.55621","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600T-G.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T-G.jpg,WAU200-600T-G-ND,WAU200-600T-G,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,0,0,"15.55621","0","504","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Rectangular, 3 Position","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
-,//media.digikey.com/photos/CUI%20Photos/DPA120200-P1P.jpg,T609-P1P-ND,DPA120200-P1P,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 2W,0,0,"Obsolete","0","1020","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","200mA","2W","-","ITE (Commercial)","-","-","Phono Plug, 3.5mm O.D. x 14.5mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA120030-ST-SZ.pdf,//media.digikey.com/photos/CUI%20Photos/DPA120030-S^T-SZ.jpg,T601-ND,DPA120030-S/T-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 4W,0,0,"Obsolete","0","1000","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","300mA","4W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","1.46"" L x 1.67"" W x 2.15"" H (37.0mm x 42.5mm x 54.5mm)","cUL"
-,//media.digikey.com/photos/CUI%20Photos/DPA120060-S^T.jpg,T602-ND,DPA120060-S/T,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 7W,0,0,"Obsolete","0","1040","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","600mA","7W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","-","-"
-,//media.digikey.com/photos/CUI%20Photos/DPA120100-S^T.jpg,T603-ND,DPA120100-S/T,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 12W,0,0,"Obsolete","0","1040","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","-","-"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA090010-ST-SZa.pdf,-,T701-ND,DPA090010-S/T-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 9V 1W,0,0,"Obsolete","0","1000","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","9VAC","100mA","1W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","1.46"" L x 1.67"" W x 2.15"" H (37.0mm x 42.5mm x 54.5mm)","cUL"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA090060-ST-SZ.pdf,-,T702-ND,DPA090060-S/T-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 9V 5W,0,0,"Obsolete","0","1020","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","9VAC","600mA","5W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","1.63"" L x 1.97"" W x 2.32"" H (41.4mm x 50.0mm x 59.0mm)","cUL"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA120040.pdf,-,T611-ND,DPA120040-S/T-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 5W,0,0,"Obsolete","0","1020","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","400mA","5W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","1.46"" L x 1.67"" W x 2.15"" H (37.0mm x 42.5mm x 54.5mm)","-"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA120050-ST-SZ.pdf,//media.digikey.com/photos/CUI%20Photos/DPA120050-S^T-SZ.jpg,T612-ND,DPA120050-S/T-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 6W,0,0,"Obsolete","0","1020","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","500mA","6W","-","ITE (Commercial)","-","-","Stripped, Tinned Wire Leads","1.63"" L x 1.97"" W x 2.32"" H (41.4mm x 50.0mm x 59.0mm)","cUL"
//media.digikey.com/pdf/Data%20Sheets/CUI%20Inc%20All%20Brands%20PDFs/DPA120020-P1-SZ.pdf,//media.digikey.com/photos/CUI%20Photos/DPA120020-P1-SZ.jpg,T606-ND,DPA120020-P1-SZ,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 2W,0,0,"Obsolete","0","1000","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","200mA","2W","-","ITE (Commercial)","-","-","Phono Plug, 3.5mm O.D. x 14.5mm","1.46"" L x 1.67"" W x 2.15"" H (37.0mm x 42.5mm x 54.5mm)","cUL"
-,-,T614-P5P-ND,DPA120100-P5P-TC,CUI Inc.,AC/AC WALL MOUNT ADAPTER 12V 12W,0,0,"Obsolete","0","1008","-","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","-","ITE (Commercial)","-","-","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 12.0mm","-","-"
-,-,MT7101-ND,820A0060-03,Tamura,AC/AC WALL MOUNT ADAPTER 10V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","10VAC","1.2A","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7102-ND,820A0061-03,Tamura,AC/AC WALL MOUNT ADAPTER 12V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7103-ND,820A0062-03,Tamura,AC/AC WALL MOUNT ADAPTER 14V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","14VAC","850mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7104-ND,820A0063-03,Tamura,AC/AC WALL MOUNT ADAPTER 16V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7105-ND,820A0064-03,Tamura,AC/AC WALL MOUNT ADAPTER 18V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","18VAC","650mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7106-ND,820A0065-03,Tamura,AC/AC WALL MOUNT ADAPTER 20V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7107-ND,820A0066-03,Tamura,AC/AC WALL MOUNT ADAPTER 22V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","22VAC","550mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7108-ND,820A0067-03,Tamura,AC/AC WALL MOUNT ADAPTER 24V 12W,0,0,"Obsolete","0","45","820A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
-,-,MT7109-ND,830A0060-03,Tamura,AC/AC WALL MOUNT ADAPTER 10V 20W,0,0,"Obsolete","0","45","830A","Obsolete","North America","Wall Mount","Fixed Blade","120VAC","10VAC","2A","20W","-","ITE (Commercial)","-","-","Screw Terminal","-","-"
