Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Polarization","Applications","Efficiency","Operating Temperature","Output Connector","Cord Length","Input Connector","Size / Dimension","Approvals"
https://www.cui.com/product/resource/digikeypdf/smi6.pdf,//media.digikey.com/Photos/CUI%20Photos/SMI6_Series.jpg,102-3564-ND,SMI6-5-V-P6,CUI Inc.,AC/DC WALL MOUNT ADAPTER 5V 6W,498,0,"13.99000","0","1","SMI6 (6W)","Active","International","Wall Mount","Multi-Blade (Included)","90 ~ 264 VAC","5V","1.2A","6W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 9.5mm","60.2"" (1.53m)","Multi-Blade","2.52"" L x 1.59"" W x 1.18"" H (64.0mm x 40.5mm x 30.0mm)","CCC, CE, cULus, GS, PSE, RCM"
https://www.cui.com/product/resource/digikeypdf/smi6.pdf,//media.digikey.com/Photos/CUI%20Photos/SMI6_Series.jpg,102-4308-ND,SMI6-12-V-P5R,CUI Inc.,AC/DC WALL MOUNT ADAPTER 12V 6W,333,0,"13.99000","0","1","SMI6 (6W)","Active","International","Wall Mount","Multi-Blade (Included)","90 ~ 264 VAC","12V","500mA","6W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug R/A, 2.1mm I.D. x 5.5mm O.D. x 9.5mm","60.2"" (1.53m)","Multi-Blade","2.52"" L x 1.59"" W x 1.18"" H (64.0mm x 40.5mm x 30.0mm)","CCC, CE, cULus, GS, PSE, RCM"
https://www.phihong.com/admin/uploads/AQ15X-050A.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_AQ15E-050A.jpg,993-1378-ND,AQ15E-050A,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 15W,288,0,"14.00000","0","1","AQ15 (15W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","3A","15W","75mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB C Receptacle","-","CEE 7/16","2.28"" L x 1.57"" W x 0.92"" H (58.0mm x 40.0mm x 23.3mm)","CB, CE, cULus"
//media.digikey.com/pdf/Data%20Sheets/Raspberry%20Pi%20PDFs/T5989DV-RS.pdf,//media.digikey.com/Photos/Raspberry%20Pi/MFG_T5989DV.jpg,1690-1022-ND,T5989DV,Raspberry Pi,AC/DC WALL MNT ADAPTER 5.1V 13W,755,0,"14.37000","0","1","-","Active","International","Wall Mount","Multi-Blade (Included)","90 ~ 264 VAC","5.1V","2.5A","13W","500mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB Micro","59"" (1.50m)","Multi-Blade","2.88"" L x 1.77"" W x 1.38"" H (73.1mm x 45.0mm x 35.0mm)","CE, cULus, TUVgs"
//media.digikey.com/pdf/Data%20Sheets/Raspberry%20Pi%20PDFs/T5875DV.pdf,//media.digikey.com/Photos/Raspberry%20Pi/MFG_T5875DV.jpg,1690-1021-ND,T5875DV,Raspberry Pi,AC/DC WALL MNT ADAPTER 5.1V 13W,210,0,"14.37000","0","1","-","Active","International","Wall Mount","Multi-Blade (Included)","90 ~ 264 VAC","5.1V","2.5A","13W","500mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB Micro","59"" (1.50m)","Multi-Blade","2.88"" L x 1.77"" W x 1.38"" H (73.1mm x 45.0mm x 35.0mm)","CE, cULus, TUVgs"
https://www.slpower.com/data/collateral/TE10_DS.pdf,//media.digikey.com/Photos/SL%20Pwr%20Elect%20Mfg%20of%20Condor/MFG_TE60A4803Q01.JPG,271-2898-ND,TE10A0503F01,SL Power Electronics Manufacture of Condor/Ault Brands,AC/DC DESKTOP ADAPTER 5V 10W,463,0,"14.43000","0","1","TE10 (10W)","Active","International","Desktop (Class I)","Cord (Sold Separately)","90 ~ 264 VAC","5V","2A","10W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","-20°C ~ 50°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C14","3.31"" L x 1.85"" W x 1.22"" H (84.0mm x 47.0mm x 31.0mm)","CB, CE, DEMKO, UL"
http://globtek.force.com/spec?id=01ta0000005yKri,"//media.digikey.com/Photos/Globtek,%20Inc/WR9HB1680LCP-F(R6B).jpg",1939-1463-ND,WR9HE2000L9P-F(R6B),"GlobTek, Inc.","24W, 12.0V 2A, WALL PLUG-IN, .17",381,0,"14.43000","0","1","GT-86240-WWVV-X.X-W2","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","12V","2A","24W","75mW (Max)","Positive Center","ITE (Commercial)","Level VI","0°C ~ 40°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 9.5mm","60.2"" (1.53m)","NEMA 1-15P","2.89"" L x 1.38"" W x 2.24"" H (73.5mm x 35.0mm x 57.0mm)","CE"
https://www.slpower.com/data/collateral/TE10_DS.pdf,//media.digikey.com/Photos/SL%20Pwr%20Elect%20Mfg%20of%20Condor/MFG_TE60A4803Q01.JPG,271-2902-ND,TE10A1203F01,SL Power Electronics Manufacture of Condor/Ault Brands,AC/DC DESKTOP ADAPTER 12V 12W,380,0,"14.43000","0","1","TE10 (10W)","Active","International","Desktop (Class I)","Cord (Sold Separately)","90 ~ 264 VAC","12V","1A","12W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","-20°C ~ 50°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C14","3.31"" L x 1.85"" W x 1.22"" H (84.0mm x 47.0mm x 31.0mm)","CB, CE, DEMKO, UL"
https://www.xppower.com/Portals/0/pdfs/SF_VEL24.pdf,//media.digikey.com/Photos/XP%20Power/VEL24-Series-US.JPG,1470-3168-ND,VEL24US240-US-JA,XP Power,AC/DC WALL MOUNT ADAPTER 24V 24W,898,0,"14.50000","0","1","VEL24 (24W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","24V","1A","24W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 12.0mm","59"" (1.50m)","NEMA 1-15P","3.54"" L x 1.34"" W x 1.87"" H (90.0mm x 34.0mm x 47.5mm)","CB, TUV, UL"
https://www.xppower.com/Portals/0/pdfs/SF_VEL24.pdf,//media.digikey.com/Photos/XP%20Power/VEL24-Series-EU.JPG,1470-3160-ND,VEL24US120-EU-JA,XP Power,AC/DC WALL MOUNT ADAPTER 12V 24W,319,0,"14.50000","0","1","VEL24 (24W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","12V","2A","24W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 12.0mm","59"" (1.50m)","CEE 7/16","3.54"" L x 1.34"" W x 2.26"" H (90.0mm x 34.0mm x 57.6mm)","CB, TUV, UL"
https://www.xppower.com/Portals/0/pdfs/SF_VEL24.pdf,//media.digikey.com/Photos/XP%20Power/VEL24-Series-EU.JPG,1470-3162-ND,VEL24US240-EU-JA,XP Power,AC/DC WALL MOUNT ADAPTER 24V 24W,138,0,"14.50000","0","1","VEL24 (24W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","24V","1A","24W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 12.0mm","59"" (1.50m)","CEE 7/16","3.54"" L x 1.34"" W x 2.26"" H (90.0mm x 34.0mm x 57.6mm)","CB, TUV, UL"
http://globtek.force.com/spec?id=01ta0000007c1R4,"//media.digikey.com/Photos/Globtek,%20Inc/WR9QA3000USBC-CIMR6B.jpg",1939-1507-ND,WR9QA3000USBC-CIMR6B,"GlobTek, Inc.","15W, 5V 3A, WALL PLUG-IN, .18 KG",134,0,"14.55000","0","1","GTM96180-18VV H/M","Active","International","Wall Mount","Multi-Blade (Sold Separately)","90 ~ 264 VAC","5V","3A","15W","75mW (Max)","-","ITE (Commercial), Medical","Level VI","-20°C ~ 40°C","USB C","47.2"" (1.20m)","Multi-Blade (Sold Separately)","2.91"" L x 1.71"" W x 1.45"" H (74.0mm x 43.5mm x 36.8mm)","CB, CE"
https://www.xppower.com/Portals/0/pdfs/SF_ACM18.pdf,"//media.digikey.com/Photos/XP%20Power/MFG_ACM18-Series,ACM24-Series.jpg",1470-3950-ND,ACM18US12,XP Power,AC/DC DESKTOP ADAPTER 12V 18W,728,0,"14.75000","0","1","ACM18 (18W)","Active","International","Wall Mount","Multi-Blade (Sold Separately)","90 ~ 264 VAC","12V","1.5A","18W","75mW (Max)","Positive Center","ITE (Commercial), Medical","Level VI, CoC Tier 2","0°C ~ 60°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 11.0mm","70.9"" (1.80m)","Multi-Blade","3.46"" L x 1.18"" W x 1.95"" H (88.0mm x 30.0mm x 49.5mm)","CB, CE"
https://www.xppower.com/Portals/0/pdfs/SF_VER18.pdf,//media.digikey.com/Photos/XP%20Power/MFG_VER18-Series.JPG,1470-3169-ND,VER18US090-JA,XP Power,AC/DC WALL MOUNT ADAPTER 9V 18W,285,0,"14.75000","0","1","VER18 (18W)","Active","International","Wall Mount","Multi-Blade (Included)","90 ~ 264 VAC","9V","2A","18W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","0°C ~ 60°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 12.0mm","59"" (1.50m)","Multi-Blade","3.54"" L x 1.69"" W x 1.68"" H (90.0mm x 43.0mm x 42.7mm)","CB"
https://www.cui.com/product/resource/digikeypdf/sdi12-ud.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SDI12-UD.jpg,102-3633-ND,SDI12-5-UD-P6,CUI Inc.,AC/DC DESKTOP ADAPTER 5V 12W,1085,0,"15.02000","0","1","SDI12-UD (12W)","Active","International","Desktop (Class II)","Cord (Sold Separately)","90 ~ 264 VAC","5V","2A","10W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug, 2.5mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C8","2.95"" L x 1.89"" W x 1.18"" H (75.0mm x 48.0mm x 30.0mm)","CE, cULus, GS, PSE"
https://www.cui.com/product/resource/digikeypdf/sdi12-ud.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SDI12-UD.jpg,102-3636-ND,SDI12-5.9-UD-P5,CUI Inc.,AC/DC DESKTOP ADAPTER 5.9V 12W,275,0,"15.02000","0","1","SDI12-UD (12W)","Active","International","Desktop (Class II)","Cord (Sold Separately)","90 ~ 264 VAC","5.9V","2A","12W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C8","2.95"" L x 1.89"" W x 1.18"" H (75.0mm x 48.0mm x 30.0mm)","CE, cULus, GS, PSE"
https://www.cui.com/product/resource/digikeypdf/sdi12-ud.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SDI12-UD.jpg,102-3632-ND,SDI12-5-UD-P5,CUI Inc.,AC/DC DESKTOP ADAPTER 5V 12W,224,0,"15.02000","0","1","SDI12-UD (12W)","Active","International","Desktop (Class II)","Cord (Sold Separately)","90 ~ 264 VAC","5V","2A","10W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C8","2.95"" L x 1.89"" W x 1.18"" H (75.0mm x 48.0mm x 30.0mm)","CE, cULus, GS, PSE"
https://www.cui.com/product/resource/digikeypdf/sdi12-ud.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SDI12-UD.jpg,102-3634-ND,SDI12-12-UD-P5,CUI Inc.,AC/DC DESKTOP ADAPTER 12V 12W,410,0,"15.44000","0","1","SDI12-UD (12W)","Active","International","Desktop (Class II)","Cord (Sold Separately)","90 ~ 264 VAC","12V","1A","12W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 9.5mm","59"" (1.50m)","IEC 320-C8","2.95"" L x 1.89"" W x 1.18"" H (75.0mm x 48.0mm x 30.0mm)","CE, cULus, GS, PSE"
http://www.qualtekusa.com/images/Power%20Supplies/pdf_files/QAWA-24%20Series.pdf,//media.digikey.com/Photos/Qualtek%20Photos/MFG_QAWA-24.jpg,Q979-ND,QAWA-24-12-US01,Qualtek,AC/DC WALL MOUNT ADAPTER 12V 24W,133,300,"15.45000","0","1","QAWA-24 (24W)","Active","North America","Wall Mount","Fixed Blade","100 ~ 240 VAC","12V","2A","24W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","59"" (1.50m)","NEMA 1-15P","2.83"" L x 1.34"" W x 2.05"" H (72.0mm x 34.0mm x 52.0mm)","BSMI, CB, CCC, CE, cULus, FCC, GS, PSE"
