Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-20H&lang=en,//media.digikey.com/Renders/Fox%20Elect%20Renders/4-SMD.jpg,SER4238DKR-ND,FA-20H 25.0000MD30Y-C5,EPSON,CRYSTAL 25.00 MHZ 18.0PF SMD,8370,0,"Digi-Reel","0","1","Digi-Reel®","FA-20H","Active","MHz Crystal","25MHz","±30ppm","±30ppm","18pF","80 Ohms","Fundamental","-30°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.022"" (0.55mm)"
http://www.ecsxtal.com/store/pdf/CSM-3X.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-270-20-3X-EN-TR.jpg,XC1792TR-ND,ECS-147.4-20-3X-EN-TR,ECS Inc.,CRYSTAL 14.7456MHZ 20PF SMD,3000,6000,"0.21000","0","3000","Tape & Reel (TR)","CSM-3X","Active","MHz Crystal","14.7456MHz","±50ppm","±30ppm","20pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.276"" L x 0.161"" W (7.00mm x 4.10mm)","0.091"" (2.30mm)"
http://www.ecsxtal.com/store/pdf/CSM-3X.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-270-20-3X-EN-TR.jpg,XC1792CT-ND,ECS-147.4-20-3X-EN-TR,ECS Inc.,CRYSTAL 14.7456MHZ 20PF SMD,4101,7000,"0.46000","0","1","Cut Tape (CT)","CSM-3X","Active","MHz Crystal","14.7456MHz","±50ppm","±30ppm","20pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.276"" L x 0.161"" W (7.00mm x 4.10mm)","0.091"" (2.30mm)"
http://www.ecsxtal.com/store/pdf/CSM-3X.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-270-20-3X-EN-TR.jpg,XC1792DKR-ND,ECS-147.4-20-3X-EN-TR,ECS Inc.,CRYSTAL 14.7456MHZ 20PF SMD,4101,7000,"Digi-Reel","0","1","Digi-Reel®","CSM-3X","Active","MHz Crystal","14.7456MHz","±50ppm","±30ppm","20pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.276"" L x 0.161"" W (7.00mm x 4.10mm)","0.091"" (2.30mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3634TR-ND,TSX-3225 24.0000MF20G-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,48500,0,"0.22000","0","250","Tape & Reel (TR)","TSX-3225","Active","MHz Crystal","24MHz","±20ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 105°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3634CT-ND,TSX-3225 24.0000MF20G-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,49012,0,"0.36000","0","1","Cut Tape (CT)","TSX-3225","Active","MHz Crystal","24MHz","±20ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 105°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3634DKR-ND,TSX-3225 24.0000MF20G-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,49012,0,"Digi-Reel","0","1","Digi-Reel®","TSX-3225","Active","MHz Crystal","24MHz","±20ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 105°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3635TR-ND,TSX-3225 24.0000MF15X-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,47250,0,"0.22000","0","250","Tape & Reel (TR)","TSX-3225","Active","MHz Crystal","24MHz","±15ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3635CT-ND,TSX-3225 24.0000MF15X-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,47834,0,"0.36000","0","1","Cut Tape (CT)","TSX-3225","Active","MHz Crystal","24MHz","±15ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3635DKR-ND,TSX-3225 24.0000MF15X-AC3,EPSON,CRYSTAL 24.0000MHZ 9PF SMD,47834,0,"Digi-Reel","0","1","Digi-Reel®","TSX-3225","Active","MHz Crystal","24MHz","±15ppm","±10ppm","9pF","40 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
